,题目
0,  成绩： 100.0分
1,
2,一、 单选题（题数：50，共 50.0 分）
3,1.传统的史学研究对于死亡表现出的态度是（）。（1.0分）1.0 分
4,A、
5,批判
6,B、
7,惋惜
8,C、
9,麻木
10,D、
11,赞扬
12,正确答案： C 我的答案：C
13,2.托马斯·库恩认为范式形成于（）阶段。（1.0分）1.0 分
14,A、
15,前科学
16,B、
17,后科学
18,C、
19,常规科学
20,D、
21,特例科学
22,正确答案： C 我的答案：C
23,3.中国历史分期过程中，涉及到问题最多的是（）。（1.0分）1.0 分
24,A、
25,从原始社会到奴隶社会
26,B、
27,从奴隶社会到封建社会
28,C、
29,从封建社会到近代史
30,D、
31,以上都不正确
32,正确答案： B 我的答案：B
33,4.社会史研究具有的独特的方法是指（）的方法。（1.0分）1.0 分
34,A、
35,逻辑分析
36,B、
37,材料罗列
38,C、
39,考古学研究
40,D、
41,文献学研究
42,正确答案： D 我的答案：D
43,5要对明代政策进行全方位深入的了解，需要结合（）史料进行研究。（1.0分）1.0 分
44,A、
45,西藏
46,B、
47,东南亚
48,C、
49,蒙古
50,D、
51,女真
52,正确答案： C 我的答案：C
53,6.有关孟姜女的原型杞梁妻子哭泣的记载最早出现于（）时期。（1.0分）1.0 分
54,A、
55,春秋
56,B、
57,战国
58,C、
59,西汉
60,D、
61,东汉
62,正确答案： B 我的答案：B
63,7.在材料相同的情况下，在（）提出对传统研究结果的质疑是最困难的。（1.0分）1.0 分
64,A、
65,方法论意义上
66,B、
67,具体史实细节上
68,C、
69,材料真伪考证上
70,D、
71,连续历史时间线上
72,正确答案： A 我的答案：A
73,8.历史学的社会科学化是新史学在（）以来很重要的特征之一。（1.0分）1.0 分
74,A、
75,19世纪上半叶
76,B、
77,19世纪下半叶
78,C、
79,20世纪上半叶
80,D、
81,20世纪下半叶
82,正确答案： C 我的答案：C
83,9.后现代主义思潮的立场实际上是建立在（）的发展基础上的。（1.0分）1.0 分
84,A、
85,哲学
86,B、
87,经济学
88,C、
89,社会学
90,D、
91,语言学
92,正确答案： D 我的答案：D
93,10.《创造奇迹的国王们》中描写人们相信国王可以治愈疾病的现象其实是为了讨论当时人们的（）。（1.0分）1.0 分
94,A、
95,治病信仰
96,B、
97,王权信仰
98,C、
99,神权信仰
100,D、
101,理性信仰
102,正确答案： B 我的答案：B
103,11.海登·怀特的作品《元史学》对比分析了四位历史学家和四位（）的作品后认为，这两组人的文本并没有根本区别。（1.0分）1.0 分
104,A、
105,哲学家
106,B、
107,经济学家
108,C、
109,社会学家
110,D、
111,语言学家
112,正确答案： A 我的答案：A
113,12.认为历史研究应该一层一层地剥离累积的信息，回到历史的本来面目的观点在中国起源于（）。（1.0分）1.0 分
114,A、
115,清代
116,B、
117,明代
118,C、
119,元代
120,D、
121,宋代
122,正确答案： A 我的答案：A
123,13.受客观环境变化影响，社会史在中国于20世纪（）年代开始又重新受到了重视。（1.0分）1.0 分
124,A、
125,60年代
126,B、
127,70年代
128,C、
129,80年代
130,D、
131,90年代
132,正确答案： C 我的答案：C
133,14.现代性的表现是（）。（1.0分）1.0 分
134,A、
135,自然主义和感性主义
136,B、
137,自然主义和理性主义
138,C、
139,科学主义和感性主义
140,D、
141,科学主义和理性主义
142,正确答案： D 我的答案：D
143,15.武雅士认为中国传统社会的信仰体系之中有三种象征，其中不包括（）。（1.0分）1.0 分
144,A、
145,神
146,B、
147,鬼
148,C、
149,祖先
150,D、
151,来世
152,正确答案： D 我的答案：D
153,16.研究历史的目标应该是让（）认为历史学的研究成果是对其有益的。（1.0分）1.0 分
154,A、
155,研究者自己
156,B、
157,其他研究历史的人
158,C、
159,研究其他学科的人
160,D、
161,与研究者持不同意见的人
162,正确答案： C 我的答案：C
163,17.孔子由于鲁哀公狩猎过程中家臣打伤了（）视为乱世将要开始的标志。（1.0分）1.0 分
164,A、
165,凤凰
166,B、
167,麒麟
168,C、
169,金龙
170,D、
171,白虎
172,正确答案： B 我的答案：B
173,18.根据费弗尔对德国宗教改革的相关研究，德国宗教改革的主角是（）。（1.0分）1.0 分
174,A、
175,教皇
176,B、
177,加尔文
178,C、
179,马丁·路德
180,D、
181,各个不同的社会群体
182,正确答案： D 我的答案：D
183,19.对于历史学来讲，求真、求善和求美的关系是（）。（1.0分）1.0 分
184,A、
185,求真和求善是求美的基础
186,B、
187,求美和求善是求真的基础
188,C、
189,求美是求真和求善的基础
190,D、
191,求真是求善和求美的基础
192,正确答案： D 我的答案：D
193,20.下列关于托马斯·库恩定义的范式的说法错误的是（）。（1.0分）1.0 分
194,A、
195,一个科学群体的内部
196,B、
197,一定时期内
198,C、
199,所有人都认同并且加以遵循
200,D、
201,是一种学术基础和原则体系
202,正确答案： C 我的答案：C
203,21.（）开始，单线进化论的思想逐渐在西方开始转变。（1.0分）1.0 分
204,A、
205,20世纪30年代
206,B、
207,20世纪40年代
208,C、
209,20世纪50年代
210,D、
211,20世纪60年代
212,正确答案： C 我的答案：C
213,22.（）以前，年鉴学派和马克思主义史学对史学发展产生了巨大影响。（）（1.0分）1.0 分
214,A、
215,19世纪中叶
216,B、
217,19世纪末期
218,C、
219,20世纪初期
220,D、
221,20世纪中叶
222,正确答案： D 我的答案：D
223,23.认为社会史是一门综合的历史的学者认为社会史类似于（）。（1.0分）1.0 分
224,A、
225,社会政治史
226,B、
227,社会经济史
228,C、
229,社会生活史
230,D、
231,社会发展史
232,正确答案： D 我的答案：D
233,24.汤普森分析working class形成的原因是从（）以来民众的传统开始的。（1.0分）1.0 分
234,A、
235,启蒙运动
236,B、
237,文艺复兴
238,C、
239,中世纪
240,D、
241,古希腊罗马
242,正确答案： C 我的答案：C
243,25.中国以往对人民群众作用的研究往往集中于（）在历史上的作用。（1.0分）1.0 分
244,A、
245,个人
246,B、
247,群体
248,C、
249,上层阶级
250,D、
251,下层阶级
252,正确答案： A 我的答案：A
253,26.认为社会史是历史学分支的学者一般认为社会史是（）。（1.0分）1.0 分
254,A、
255,社会政治史
256,B、
257,社会经济史
258,C、
259,社会生活史
260,D、
261,社会发展史
262,正确答案： C 我的答案：C
263,27.北京地区大量宦官修建寺庙主要是为了（）。（1.0分）1.0 分
264,A、
265,建立良好的形象
266,B、
267,消除现世的罪孽
268,C、
269,寻找死后的归宿
270,D、
271,收敛信徒的钱财
272,正确答案： C 我的答案：C
273,28.法国年鉴学派主要研究的历史时段是（）。（1.0分）1.0 分
274,A、
275,中世纪之前
276,B、
277,中世纪早期到中期
278,C、
279,中世纪晚期到近代早起
280,D、
281,近代中晚期
282,正确答案： C 我的答案：C
283,29.下列不属于英国马克思主义史学家的是（）。（1.0分）1.0 分
284,A、
285,克里斯托弗·希尔
286,B、
287,爱德华·汤普森
288,C、
289,埃里克·霍布斯鲍姆
290,D、
291,狄奥多·阿多诺
292,正确答案： D 我的答案：D
293,30.一旦完全否认了历史的客观性，那么历史学（）。（1.0分）1.0 分
294,A、
295,研究会更侧重于整体性
296,B、
297,研究会更侧重于局部性
298,C、
299,才能完全确立其必要性
300,D、
301,丧失了存在的必要性
302,正确答案： D 我的答案：D
303,31.彝族在（）时期被称作为猡猡。（1.0分）1.0 分
304,A、
305,秦汉
306,B、
307,唐宋
308,C、
309,元明
310,D、
311,清末
312,正确答案： C 我的答案：C
313,32.水能载舟亦能覆舟提出时重点关注的是（）。（1.0分）1.0 分
314,A、
315,水
316,B、
317,舟
318,C、
319,载
320,D、
321,覆
322,正确答案： B 我的答案：B
323,33.20世纪（）以后，社会史学者提出“自下而上”的问题意识。（1.0分）1.0 分
324,A、
325,60年代
326,B、
327,70年代
328,C、
329,80年代
330,D、
331,90年代
332,正确答案： D 我的答案：D
333,34.施坚雅借用德国地理学家瓦尔特·克里斯塔勒的理论来分析中国清朝前后中国城市的（）。（1.0分）1.0 分
334,A、
335,经济基础
336,B、
337,发展方向
338,C、
339,区域分布
340,D、
341,人口组成
342,正确答案： C 我的答案：C
343,35.在山西南部发现的陶寺遗址被认为是与（）有关。（1.0分）1.0 分
344,A、
345,黄帝
346,B、
347,炎帝
348,C、
349,尧
350,D、
351,舜
352,正确答案： C 我的答案：C
353,36.从古希腊到马基雅维利时代的史学范式是（）。（1.0分）1.0 分
354,A、
355,资讯型
356,B、
357,理论型
358,C、
359,叙事型
360,D、
361,逻辑型
362,正确答案： A 我的答案：A
363,37.中国计量史学发展较为缓慢的原因不包括（）。（1.0分）1.0 分
364,A、
365,中国数理学科发展现状无法支撑历史学研究
366,B、
367,中国历史学家缺乏数理知识基础
368,C、
369,中国数学家不关心人文领域
370,D、
371,中国历史上可用于计量的统计资料极少
372,正确答案： A 我的答案：A
373,38.（），年鉴学派发展到了第三代。（1.0分）1.0 分
374,A、
375,20世纪50年代末
376,B、
377,20世纪60年代末
378,C、
379,20世纪70年代末
380,D、
381,20世纪80年代末
382,正确答案： B 我的答案：B
383,39.社会史研究出现的根本原因是（）。（1.0分）1.0 分
384,A、
385,人们对历史真实的绝对追求和对历史的认识相对接近真实
386,B、
387,人们对历史真实的绝对追求和对历史的认识无法接近真实
388,C、
389,人们对历史真实的相对主观和对历史的认识相对接近真实
390,D、
391,人们对历史真实的相对主观和对历史的认识无法接近真实
392,正确答案： A 我的答案：A
393,40.20世纪的年鉴派学者研究区域主要集中于（）。（1.0分）1.0 分
394,A、
395,北欧
396,B、
397,西欧
398,C、
399,地中海
400,D、
401,东欧
402,正确答案： C 我的答案：C
403,41.下列理论中属于历史学提出的是（）。（1.0分）1.0 分
404,A、
405,国家与社会的关系理论
406,B、
407,现代化理论
408,C、
409,中心地理论
410,D、
411,以上都不正确
412,正确答案： D 我的答案：D
413,42.关于何伟亚的《怀柔远人》，下列说法错误的是（）。（1.0分）1.0 分
414,A、
415,背景发生于清乾隆时期
416,B、
417,作者自认为含有后现代倾向
418,C、
419,其研究方法受到了广泛的肯定
420,D、
421,以档案作为主要研究资料
422,正确答案： C 我的答案：C
423,43.传统的角度研究中世纪史学是以（）的方式进行的。（1.0分）1.0 分
424,A、
425,微观
426,B、
427,阶段
428,C、
429,渐进
430,D、
431,倒推
432,正确答案： D 我的答案：D
433,44.传统对少数民族的研究主要集中于（）方面。（1.0分）1.0 分
434,A、
435,民族的分化和中央王朝对其的控制
436,B、
437,民族的同化和中央王朝对其的控制
438,C、
439,民族的分化和中央王朝与其的分裂
440,D、
441,民族的同化和中央王朝与其的分裂
442,正确答案： B 我的答案：B
443,45.对于闲暇时间的研究主要得益于（）的理论。（1.0分）1.0 分
444,A、
445,亚当·斯密
446,B、
447,马克斯·韦伯
448,C、
449,卡尔·马克思
450,D、
451,大卫·李嘉图
452,正确答案： C 我的答案：C
453,46.当使用近代社会史这个概念时，往往还牵扯到了（）的相关内容。（1.0分）1.0 分
454,A、
455,民族
456,B、
457,文化
458,C、
459,经济
460,D、
461,政治
462,正确答案： D 我的答案：D
463,47.费弗尔的著作《十六世纪的不信神问题——拉伯雷的宗教》一书中，从拉伯雷展开主要是因为（）。（1.0分）1.0 分
464,A、
465,拉伯雷是中世纪宗教的代表人物
466,B、
467,拉伯雷对中世纪宗教持肯定态度
468,C、
469,拉伯雷对中世纪宗教展开了批判
470,D、
471,拉伯雷领导了十六世纪宗教改革
472,正确答案： C 我的答案：C
473,48.马克思主义史学要求（）。（1.0分）1.0 分
474,A、
475,研究重点放在下层社会
476,B、
477,研究重点放在上层社会
478,C、
479,研究要能够贯通上下层社会
480,D、
481,研究要把上下层社会分离开来
482,正确答案： C 我的答案：C
483,49.（）是还原历史唯一的中介与桥梁。（）（1.0分）1.0 分
484,A、
485,文物
486,B、
487,史料
488,C、
489,遗址
490,D、
491,文学
492,正确答案： B 我的答案：B
493,50.美国女性历史研究热潮发生于（）。（1.0分）1.0 分
494,A、
495,19世纪70年代到80年代
496,B、
497,19世纪80年代到90年代
498,C、
499,20世纪70年代到80年代
500,D、
501,20世纪80年代到90年代
502,正确答案： D 我的答案：D
503,二、 判断题（题数：50，共 50.0 分）
504,1.历史不是一门求真的学问，因为绝对的历史的真实是不可能求得的。（）（1.0分）1.0 分
505,正确答案： × 我的答案： ×
506,2.根据杨念群的理论，一般而言，宏大的理论对具体的历史研究实践的指导性更强。（）（1.0分）1.0 分
507,正确答案： × 我的答案： ×
508,3.社会经济史范式的萌芽起源于十九世纪马克思主义的产生。（）（1.0分）1.0 分
509,正确答案： √ 我的答案： √
510,4.中国各地的地方志可以从一定程度上否认梁启超四弊二病的四弊中的知有朝廷而不知有国家并不完全成立。（）（1.0分）1.0 分
511,正确答案： × 我的答案： ×
512,5.费尔南·勃罗代尔认为影响历史的时间因素不是单纯的一个，而是存在双重的因素。（）（1.0分）1.0 分
513,正确答案： × 我的答案： ×
514,6.都市研究应该是一项综合性的研究，可能涉及到历史、地理、经济、社会学等方面的学科。（）（1.0分）1.0 分
515,正确答案： √ 我的答案： √
516,7.费尔南·勃罗代尔属于年鉴学派第二代代表人物。（）（1.0分）1.0 分
517,正确答案： √ 我的答案： √
518,8.历史学家只能永远位于求真的道路中，无法达到求真的目标。（）（1.0分）1.0 分
519,正确答案： √ 我的答案： √
520,9.社会史是取代以政治史为基本特征的传统史学研究的新的历史研究范式。（）（1.0分）1.0 分
521,正确答案： √ 我的答案： √
522,10.大多数极力倡导后现代史学的学者大多数只局限于具体研究，不重视理论。（）（1.0分）1.0 分
523,正确答案： × 我的答案： ×
524,11.翦伯赞认为对于中国20世纪二三十年代社会性质讨论的社会大论战双方都忘记了奴隶社会、封建社会的单一性。（）（1.0分）1.0 分
525,正确答案： × 我的答案： ×
526,12.从传统角度看，政治史就是政治制度史。（）（1.0分）1.0 分
527,正确答案： √ 我的答案： √
528,13.杜赞奇否定了发现历史的可能性。（）（1.0分）1.0 分
529,正确答案： × 我的答案： ×
530,14.后现代史学和现代史学实际上并没有连续性，而只是完全对立的。（）（1.0分）1.0 分
531,正确答案： × 我的答案： ×
532,15.费尔南·勃罗代尔三个时间段理论中，短时段被称为结构的历史。（）（1.0分）1.0 分
533,正确答案： × 我的答案： ×
534,16.杨念群认为，一个共同的讨论平台能够有效促进研究水平的提升。（）（1.0分）1.0 分
535,正确答案： √ 我的答案： √
536,17.《资治通鉴》属于结构功能型的史学范式，主要为统治者提供借鉴。（）（1.0分）1.0 分
537,正确答案： × 我的答案： ×
538,18.以现代性为特征的历史发展进程，它是以牺牲人和人的个性为代价来实现的。（）（1.0分）1.0 分
539,正确答案： √ 我的答案： √
540,19.传统史学的研究观点主张把人们的目光从研究一些重大的事件、重要的人物和制度，转移到研究更加普通的、日常的、下层的方面。（）（1.0分）1.0 分
541,正确答案： × 我的答案： ×
542,20.西方近代兴起的城市基本上都是古典时代的城市延续下来的。（）（1.0分）1.0 分
543,正确答案： × 我的答案： ×
544,21.劳伦斯·斯通在提倡叙事史复兴时收到了后现代史学的极大影响，其研究和后现代史学界限并不明显。（）（1.0分）1.0 分
545,正确答案： × 我的答案： ×
546,22.时间尺度古今有所不同，朝代规定不一。（）（1.0分）1.0 分
547,正确答案： √ 我的答案： √
548,23.根据克里斯托弗·希尔的理论，资产阶级革命的主要参与者在最初参与之时并没有意识到战争的结果。（）（1.0分）1.0 分
549,正确答案： √ 我的答案： √
550,24.布洛赫与费弗尔同是法国年鉴学派的代表人物。（）（1.0分）1.0 分
551,正确答案： √ 我的答案： √
552,25.现阶段社会史关于农民战争研究的数量已经远远超出了改革开放前研究的数量。（）（1.0分）1.0 分
553,正确答案： × 我的答案： ×
554,26.每个人对于历史真实的认识都是绝对的。（）（1.0分）1.0 分
555,正确答案： × 我的答案： ×
556,27.顾颉刚认为传统史学中倾向于将上古时代无法完全解释的东西或现象人化。（）（1.0分）1.0 分
557,正确答案： √ 我的答案： √
558,28.彼得·伯克赞同后现代主义彻底的怀疑论。（）（1.0分）1.0 分
559,正确答案： × 我的答案： ×
560,29.罗伯特·达恩顿认为对于历史学家而言，证据是极其重要的。（）（1.0分）1.0 分
561,正确答案： √ 我的答案： √
562,30.法国年鉴学派被认为是社会科学史学的代表。（）（1.0分）1.0 分
563,正确答案： √ 我的答案： √
564,31.史学作品的内容有一定的选择性。（）（1.0分）1.0 分
565,正确答案： √ 我的答案： √
566,32.海登·怀特认为历史学家面对的过去不是一个客观真实的世界。（1.0分）1.0 分
567,正确答案： √ 我的答案： √
568,33.费弗尔通过其著作证明拉伯雷是一位无神论者。（）（1.0分）1.0 分
569,正确答案： × 我的答案： ×
570,34.年鉴学派第三代代表人物包括雅克·勒高夫、马克·费罗以及马克·布洛赫。（）（1.0分）1.0 分
571,正确答案： × 我的答案： ×
572,35.宏观区系理论在一定程度上证明了中层理论的正确性。（）（1.0分）1.0 分
573,正确答案： √ 我的答案： √
574,36.雅克·勒高夫描写战争的材料决定了其作品更多关注于个体而非整体。（）（1.0分）1.0 分
575,正确答案： √ 我的答案： √
576,37.潘光旦的著作《明清两代嘉兴的望族》一书从历史学角度讨论了当时成功的商人家庭。（）（1.0分）1.0 分
577,正确答案： × 我的答案： ×
578,38.随着越来越多考古材料的发现，针对顾颉刚为代表的疑古派的质疑已经越来越少了。（）（1.0分）1.0 分
579,正确答案： × 我的答案： ×
580,39.束世澂认为中国早在唐末就已经存在了资本主义萌芽。（）（1.0分）1.0 分
581,正确答案： × 我的答案： ×
