,题目
0,
1,得分　100 
2,
3,一、单选题
4,
5,1
6,朱元璋在咨询刘基之后决定以谁取代李善长的左丞相职位:()
7,A、
8,汪广洋
9,B、
10,杨宪
11,C、
12,胡惟庸
13,D、
14,刘基
15,我的答案：C
16,2
17,以下哪一项戏曲的主题与严嵩无关：（）
18,A、
19,《宝剑记》
20,B、
21,《鸣凤记》
22,C、
23,《凤求凰》
24,D、
25,《一捧雪》
26,我的答案：C
27,3
28,以下哪一位不属于东林书院的创建者：（）
29,A、
30,高攀龙
31,B、
32,王夫之
33,C、
34,顾宪成
35,D、
36,钱一本
37,我的答案：B
38,4
39,以下哪一项是朱元璋时期发生的政治事件：（）
40,A、
41,一条鞭法
42,B、
43,大礼仪事件
44,C、
45,胡蓝党案
46,D、
47,土木堡事变
48,我的答案：C
49,5
50,明朝朝贡体制的本质是（）。
51,A、
52,种族行为
53,B、
54,经济行为
55,C、
56,军事行为
57,D、
58,政治行为
59,我的答案：D
60,6
61,明朝继承了以下哪一朝代的政治制度：（）
62,A、
63,清朝
64,B、
65,元朝
66,C、
67,西汉
68,D、
69,秦朝
70,我的答案：B
71,7
72,李自成攻克北京城的时间是（）。
73,A、
74,崇祯七年
75,B、
76,崇祯十年
77,C、
78,崇祯十七年
79,D、
80,崇祯二十七年
81,我的答案：C
82,8
83,徐阶对审判严嵩父子的文件的评价是（）。
84,A、
85,彰上过
86,B、
87,彰下过
88,C、
89,彰上仁
90,D、
91,彰下仁
92,我的答案：A
93,9
94,以下哪一位没有在张居正改革时期上疏弹劾张居正：（）
95,A、
96,
97,余懋学
98,
99,B、
100,
101,傅应祯
102,
103,C、
104,
105,刘台
106,
107,D、
108,
109,钱谦益
110,
111,我的答案：D
112,10
113,以下哪一位不属于天启年间阉党的成员：（）
114,A、
115,崔呈秀
116,B、
117,田尔耕
118,C、
119,郑芝龙
120,D、
121,曹钦程
122,我的答案：C
123,11
124,向朱元璋提出“高筑墙广积粮缓称王”的谋士是（）。
125,A、
126,吴晗
127,B、
128,蓝玉
129,C、
130,刘基
131,D、
132,朱升
133,我的答案：D
134,12
135,“太使乖”是对崇祯朝哪一位内阁首辅的评价：（）
136,A、
137,左良玉
