,题目
0, 成绩： 92.0分
1,
2,一、 单选题（题数：50，共 50.0 分）
3,1女娲神没有男性陪伴独立出现在庙中开始于（）。1.0 分
4,A、
5,秦朝
6,B、
7,两汉
8,C、
9,唐代
10,D、
11,隋代
12,正确答案： D 我的答案：D
13,2中国古代最长的叙事诗是（）。1.0 分
14,A、
15,《离骚》
16,B、
17,《天问》
18,C、
19,《春江花月夜》
20,D、
21,《孔雀东南飞》
22,正确答案： D 我的答案：D
23,3在“后羿射日”的神话传说中，后羿是以（）的后代为原型的。1.0 分
24,A、
25,太阳神
26,B、
27,夸父
28,C、
29,玉皇大帝
30,D、
31,月神
32,正确答案： A 我的答案：A
33,4赫哲族的熊图腾信物往往是用什么材料制作的？（）1.0 分
34,A、
35,玉
36,B、
37,石头
38,C、
39,鱼皮
40,D、
41,牛皮
42,正确答案： C 我的答案：C
43,5以下关于三星堆博物馆的出土文物，说法错误的是（）。0.0 分
44,A、
45,与中原文化不是一个源头
46,B、
47,与甘肃南部文化有联系
48,C、
49,羊头龙具有神圣性
50,D、
51,“羽人”是一种玉器
52,正确答案： D 我的答案：C
53,6（）将“神话”一词引入中国。1.0 分
54,A、
55,鲁迅
56,B、
57,郑振铎
58,C、
59,茅盾
60,D、
61,蒋观云
62,正确答案： D 我的答案：D
63,7下列关于后羿射日说法不正确的是（）。1.0 分
64,A、
65,其轨迹是一种自西向东的旅程
66,B、
67,表现了太阳神家族的内讧夺权
68,C、
69,整合过后类似于完整的事诗叙事的框架
70,D、
71,主人公属于战马型英雄
72,正确答案： D 我的答案：D
73,8亚里士多德认为哪种戏剧样式能够使人产生怜悯和净化的情感？（）1.0 分
74,A、
75,历史剧
76,B、
77,荒诞剧
78,C、
79,喜剧
80,D、
81,悲剧
82,正确答案： D 我的答案：D
83,9《纯净与危险》的研究内容属于人类学中的哪一个学派？（）1.0 分
84,A、
85,反思人类学
86,B、
87,阐释人类学
88,C、
89,生态人类学
90,D、
91,宗教人类学
92,正确答案： D 我的答案：D
93,10在《山海经》、《尚书》这些传世文献中，不可能出现的动物是（）。0.0 分
94,A、
95,老虎
96,B、
97,豹子
98,C、
99,狮子
100,D、
101,熊
102,正确答案： C 我的答案：D
103,11在“完璧归赵”的故事中，（）把和氏璧完好无损地送回赵国。1.0 分
104,A、
105,张仪
106,B、
107,廉颇
108,C、
109,蔺相如
110,D、
111,苏秦
112,正确答案： C 我的答案：C
113,12《开放社会科学》的作者是（）。1.0 分
114,A、
115,福柯
116,B、
117,弗雷泽
118,C、
119,华勒斯坦
120,D、
121,波普尔
122,正确答案： C 我的答案：C
123,13艾略特的（）被誉为“现代英美诗歌的里程碑”。1.0 分
124,A、
125,《空心人》
126,B、
127,《恶之花》
128,C、
129,《四个四重奏》
130,D、
131,《荒原》
132,正确答案： D 我的答案：D
133,14佛洛依德所写的和“叙事治疗”有关的文章是（）。1.0 分
134,A、
135,《性学三论》
136,B、
137,《意识与潜意识》
138,C、
139,《创作家与白日梦》
140,D、
141,《梦的解析》
142,正确答案： C 我的答案：C
143,15《吉尔伽美什》中描述英雄经历种种艰难，终于找到了人类的始祖，这位始祖是（）。1.0 分
144,A、
145,朱庇特
146,B、
147,加拉
148,C、
149,达摩
150,D、
151,乌特那庇什提牟
152,正确答案： D 我的答案：D
153,16神话原型批评学派的创始人是（）。1.0 分
154,A、
155,弗雷泽
156,B、
157,亨利·摩尔根
158,C、
159,弗莱
160,D、
161,爱德华·泰勒
162,正确答案： C 我的答案：C
163,17夏代文化是以（）为祖先的。0.0 分
164,A、
165,神龙
166,B、
167,女娲
168,C、
169,颛顼
170,D、
171,鲧禹启
172,正确答案： D 我的答案：B
173,18从人类学的意义上讲，最早的文学就是最早行使什么权力的产物？（）1.0 分
174,A、
175,一夫多妻
176,B、
177,首先享用事物
178,C、
179,祈祷和祝福
180,D、
181,降罪
182,正确答案： C 我的答案：C
183,19大体而言，文学在各个不同民族的现实社会生活中，其中最主要的功能是（）。1.0 分
184,A、
185,治病和祈福
186,B、
187,祈福和禳灾
188,C、
189,祈福和祭祀
190,D、
191,治病和禳灾
192,正确答案： D 我的答案：D
193,20在甲骨文遗留下的记载中，巫往往和（）不相区分。1.0 分
194,A、
195,国师
196,B、
197,神子
198,C、
199,智者
200,D、
201,医者
202,正确答案： D 我的答案：D
203,21今天的考古学家一致认为，齐家文化、马家窑文化都是古代（）的流传。1.0 分
204,A、
205,秦文化
206,B、
207,藏文化
208,C、
209,吴文化
210,D、
211,氐羌文化
212,正确答案： D 我的答案：D
