,题目
0,1“吾虽大字不识一个，也可以堂堂正正做人。”出自（）。1.0 分
1,A、
2,陆九渊
3,B、
4,陆九龄
5,C、
6,朱熹
7,D、
8,王阳明
9,我的答案：A
10,2《通过孔子而思》的作者是（）。1.0 分
11,A、
12,汪德迈
13,B、
14,孔汉思
15,C、
16,余英时
17,D、
18,郝大维和安乐哲
19,我的答案：D
20,3“世事洞明皆学问，人情练达即文章”，这句话出自名著（）。1.0 分
21,A、
22,《西厢记》
23,B、
24,《水浒传》
25,C、
26,《三国演义》
27,D、
28,《红楼梦》
29,我的答案：D
30,4高行健的代表作品不包括（）。1.0 分
31,A、
32,《灵山》
33,B、
34,《一个人的圣经》
35,C、
36,《绝对信号》
37,D、
38,《丰乳肥臀》
39,我的答案：D
40,5提出中国社会主义市场经济理论的第一人是（）。1.0 分
41,A、
42,刘少奇
43,B、
44,顾准
45,C、
46,邓小平
47,D、
48,朱镕基
49,我的答案：B
50,6《我者与他者》的作者是（）。1.0 分
51,A、
52,余英时
53,B、
54,许倬云
55,C、
56,章炳麟
57,D、
58,蒋介石
59,我的答案：B
60,7“修身齐家治国平天下”的观念出自（）。1.0 分
61,A、
62,《中庸》
63,B、
64,《孟子》
65,C、
66,《大学》
67,D、
68,《诗经》
69,我的答案：C
70,8（）认为“每个人的自由是一切人自由的前提”。1.0 分
71,A、
72,马克思
73,B、
74,波普尔
75,C、
76,高行健
77,D、
78,鲁迅
79,我的答案：A
80,9被称为中华民国国父的人是（）。1.0 分
81,A、
82,蒋介石
83,B、
84,廖仲恺
85,C、
86,袁世凯
87,D、
88,孙中山
89,我的答案：D
90,10孔汉思是（）著名哲学家、神学家。1.0 分
91,A、
92,美国
93,B、
94,瑞士
95,C、
96,中国
97,D、
98,意大利
99,我的答案：B
100,11“礼之用，和为贵”出自（）。1.0 分
101,A、
102,《中庸》
103,B、
104,《礼记》
105,C、
106,《论语》
107,D、
108,《尚书》
109,我的答案：C
110,12白鲁恂是（）的著名汉学家。1.0 分
111,A、
112,法国
113,B、
114,越南
115,C、
116,德国
117,D、
118,美国
119,我的答案：D
120,13《文明的冲突与世界秩序的重建》的作者是（）。1.0 分
121,A、
122,福山
123,B、
124,福柯
125,C、
126,齐泽克
127,D、
128,亨廷顿
129,我的答案：D
130,14第一位获得自然科学类诺贝尔奖的中国人是（）。1.0 分
131,A、
132,杨振宁
133,B、
134,李政道
135,C、
136,莫言
137,D、
138,屠呦呦
139,我的答案：D
140,15世界三大宗教不包括（）。1.0 分
141,A、
142,佛教
143,B、
144,基督教
145,C、
146,犹太教
147,D、
148,伊斯兰教
149,我的答案：C
150,16“恻隐之心，人皆有之”是（）提出的思想。1.0 分
151,A、
152,孔子
153,B、
154,孟子
155,C、
156,荀子
157,D、
158,董仲舒
159,我的答案：B
160,17“三鹿奶粉事件”发生于（）。1.0 分
161,A、
162,2005年
163,B、
164,2007年
165,C、
166,2008年
167,D、
168,2010年
169,我的答案：C
170,18《新唯识论》的作者是哲学家（）。1.0 分
171,A、
172,梁簌溟
173,B、
174,张君劢
175,C、
176,冯友兰
177,D、
178,熊十力
179,我的答案：D
180,19“知识就是力量”出自（）。1.0 分
181,A、
182,雨果
183,B、
184,莎士比亚
185,C、
186,培根
187,D、
188,纪伯伦
189,我的答案：C
190,20“三纲五常”中的“五常”不包括（）。1.0 分
191,A、
192,仁
193,B、
194,义
195,C、
196,礼
197,D、
198,慧
199,我的答案：D
200,21（）认为“古代东方的专制主义是‘一个人的自由’”。1.0 分
201,A、
202,康德
203,B、
204,卢梭
205,C、
206,黑格尔
207,D、
208,福柯
209,我的答案：C
210,22（）提出了“我思故我在”的哲学命题。1.0 分
211,A、
212,卢梭
213,B、
214,康德
215,C、
216,黑格尔
217,D、
218,笛卡尔
219,我的答案：D
220,23“历史终结论”的观点提出者是（）。1.0 分
221,A、
222,亨廷顿
223,B、
224,福柯
225,C、
226,福山
227,D、
228,德里达
