,题目
0,
1,
2,一、单选题
3,
4,1
5,
6,下面哪一项是亚里士多德提出哲学产生的两个原因？（）
7,A、
8,惊异；闲暇
9,
10,B、
11,惊异；论辩
12,
13,C、
14,闲暇；论辩
15,
16,D、
17,知识；态度
18,
19,我的答案：A
20,2
21,
22,下面哪一位皇帝是历史上第一位信仰基督教的皇帝？（）
23,A、
24,希特勒
25,
26,B、
27,拿破仑
28,
29,C、
30,亚历山大大帝
31,
32,D、
33,君士坦丁大地
34,
35,我的答案：D
36,3
37,
38,麦加拉学派的创立者是下面哪一位？（）
39,A、
40,第欧根尼
41,
42,B、
43,亚当斯密
44,
45,C、
46,欧几里得
47,
48,D、
49,阿基米德
50,
51,我的答案：C
52,4
53,
54,奥尔弗斯神秘祭宣扬下面哪一种思想？（）
55,A、
56,时间是检验真理的唯一标准
57,
58,B、
59,灵魂轮回转世
60,
61,C、
62,唯物主义
63,
64,D、
65,唯心主义
66,
67,我的答案：B
68,5
69,
70,下面哪一项是哲学与神学的相同点？（）
71,A、
72,关于确定性的知识范围之内的问题
73,
74,B、
75,关于诡辩的知识范围之内的问题
76,
77,C、
78,关于抽象思维的知识范围之内的问题
79,
80,D、
81,关于确定性的知识范围之外的问题
82,
83,我的答案：D
84,6
85,
86,西方哲学注重下面哪一种的精神？（）
87,A、
88,逻辑分析
89,
90,B、
91,意蕴表达
92,
93,C、
94,感性表达
95,
96,D、
97,以上都正确
98,
99,我的答案：A
100,7
101,
102,《逻辑学》的作者是下面哪一位？（）
103,A、
104,亚当斯密
105,
106,B、
107,黑格尔
108,
109,C、
110,美诺
111,
112,D、
113,爱森斯坦
114,
115,我的答案：B
116,8
117,
118,普罗泰戈拉是下面哪一派的代表人物？（）
119,A、
120,维新派
121,
122,B、
123,智者派
124,
125,C、
126,愚者派
127,
128,D、
129,怀疑派
130,
131,我的答案：B
132,9
133,
134,“人的自然存在先于人的社会本质而存在”是下面哪一位的观点？（）
135,A、
136,萨特
137,
138,B、
139,芝诺
140,
141,C、
142,黑格尔
143,
144,D、
145,康德
146,
147,我的答案：A
148,10
149,
150,下面哪一学派是希腊自然哲学学派的代表？（）
151,A、
152,爱利亚学派
153,
154,B、
155,诡辩学派
156,
157,C、
158,艾菲斯学派
159,
160,D、
161,毕达哥拉斯学派
162,
163,我的答案：C
164,11
165,
166,Atom在古希腊语中指的是下面哪一项？（）
167,A、
168,不可分割
169,
170,B、
171,分割
172,
173,C、
174,知识
175,
176,D、
177,和谐
178,
179,我的答案：A
180,12
181,
182,亚里士多德将哲学体系分为几类？（）
183,A、
184,3
185,
186,B、
187,4
188,
189,C、
190,5
191,
192,D、
193,6
194,
195,我的答案：A
196,13
197,
198,下面哪一位是犬儒学派的创始人？（）
199,A、
200,芝诺
201,
202,B、
203,安提斯泰尼
204,
205,C、
206,第欧根尼
207,
208,D、
