,题目
0,一、 单选题（题数：50，共50.0分）
1,1
2,阿喀琉斯杀死的英雄是特洛伊王子（）。
3,A、帕里斯B帕涅罗帕C、奥德修斯D、赫克托耳
4,正确答案： D我的答案：D
5,2
6,古希腊最著名的医学家叫（）。
7,A、卡戎B、希波克拉底、C、阿里斯底波D、希扎库拉
8,正确答案： B我的答案：B
9,3
10,基督教从犹太教中脱胎而出，一开始其实就和希腊哲学，特别是（）有非常密切的关联。
11,A、斯多亚派B、伊壁鸠鲁哲学C、新柏拉图主义D、怀疑主义
12,正确答案： C我的答案：C
13,4
14,日神精神和酒神精神是（）关系。
15,A、对立B、互补C、相互抵消D、和谐
16,正确答案： B我的答案：A
17,5
18,《理想国》后来被人们加上一个副标题（）。
19,A、论道德B、论教育C、论政治D、论正义
20,正确答案： D我的答案：D
21,6
22,柏拉图在《法义》中更像一个（）。
23,A、智者B、诗人C哲人D、立法者
24,正确答案： D我的答案：D
25,7
26,阿里斯塔克是著名的（）。
27,窗体顶端
28,A、数学家B、物理学家C、天文学家D、化学家
29,正确答案： C我的答案：C
30,8
31,《理想国》后来被人们加上一个副标题（）。
32,A、论道德B、论教育  C论政治D、论正义
33,正确答案： D我的答案：D
34,9
35,哲学“philosophia”一词本义是（）。
36,A、拥有智慧B、代表智慧C、追求智慧D、享受智慧
37,正确答案： C我的答案：C
38,10
39,希腊罗马时期著名的皇帝哲学家马可·奥勒留的代表作是（）。
40,A、《理想国》B、《斐多》C、沉思录》D、忏悔录》
41,正确答案： C我的答案：C
42,11
43,柏拉图理念说中说的“三种床”不包括（）。
44,A现实中的床B、画家画的床C、床的理念D、不用形状的床
45,正确答案： D我的答案：C
46,12
47,希腊第一位杰出的立法者和政治家是（）。
48,窗体顶端
49,A、荷马B、赫西俄德
50,C、梭伦D、伯利克里
51,正确答案： C我的答案：D
52,13
53,提出原子论的哲学家是（）。
54,A、巴门尼德B、赫拉克利特
55,C、德谟克利特D、阿那克萨戈拉
56,正确答案： C我的答案：C
57,14
58,哪部著作不是柏拉图关于美学理论的著作？（）
59,窗体顶端
60,     A、《会饮》B、《斐德若》
61,C、《斐多》D、《理想国》
