,题目
0,成绩：100.0分
1,
2,一、 单选题（题数：50，共50.0分）
3,1
4,中日甲午战争时期，以下哪一位是奉旨出关收复海城的湘军统领：（）（1.0分）
5,1.0分
6,窗体顶端
7,A、
8,吴道子
9,B、
10,吴承恩
11,C、
12,吴三桂
13,D、
14,吴大澂
15,窗体底端
16,我的答案：D
17,2
18,以下哪一位属于北洋时期的直系军阀：（）（1.0分）
19,1.0分
20,窗体顶端
21,A、
22,段祺瑞
23,B、
24,郭松龄
25,C、
26,吴佩孚
27,D、
28,张学良
29,窗体底端
30,我的答案：C
31,3
32,1900年义和团事变时期，以下哪一位德国公使被清军枪杀：（）（1.0分）
33,1.0分
34,窗体顶端
35,A、
36,白斯德
37,B、
38,贾尔牒
39,C、
40,哈豪森
41,D、
42,克林德
43,窗体底端
44,我的答案：D
45,4
46,与前装枪相比，后膛枪的优势不包括（）。（1.0分）
47,1.0分
48,窗体顶端
49,A、
50,火药和弹石手动填充
51,B、
52,射速快
53,C、
54,精度高
55,D、
56,程序简单
57,窗体底端
58,我的答案：A
59,5
60,晚清时期，以下哪一位是八国联军总司令：（）（1.0分）
61,1.0分
62,窗体顶端
63,A、
64,海森堡
65,B、
66,戈培尔
67,C、
68,瓦德西
69,D、
70,脾斯麦
71,窗体底端
72,我的答案：C
73,6
74,十九世纪初中英贸易由英国的哪一部门全权负责：（）（1.0分）
75,1.0分
76,窗体顶端
77,A、
78,众议院
79,B、
80,参议院
81,C、
82,皇室
83,D、
84,东印度公司
85,窗体底端
86,我的答案：D
87,7
88,中华民国初期纪念一战胜利的“公理战胜”碑是以下哪一碑的重塑品：（）（1.0分）
89,1.0分
90,窗体顶端
91,A、
92,俄国契诃夫碑
93,B、
94,英国约翰逊碑
95,C、
96,德国克林德碑
97,D、
98,法国让雷诺碑
99,窗体底端
100,我的答案：C
101,8
102,1917年9月1日，国会非常会议选举以下哪一位为中华民国军政府还陆军大元帅：（）（1.0分）
103,1.0分
104,窗体顶端
105,A、
106,冯国璋
107,B、
108,段祺瑞
109,C、
110,吴佩孚
111,D、
112,孙中山
113,窗体底端
114,我的答案：D
115,9
116,以下哪一种学问成为日本开国后迅速且成功地推行现代化的科学基础：（）（1.0分）
117,1.0分
118,窗体顶端
119,A、
120,佛学
121,B、
122,儒学
123,C、
124,兰学
125,D、
126,道学
127,窗体底端
128,我的答案：C
129,10
130,《杨乃武与小白菜》的事件原型发生在以下哪一时期：（）（1.0分）
131,1.0分
132,窗体顶端
133,A、
134,清末
135,B、
136,清初
137,C、
138,明末
139,D、
140,明初
141,窗体底端
142,我的答案：A
143,11
144,太平天国中后期，淮军主力着重围剿以下哪一太平军重镇：（）（1.0分）
145,1.0分
146,窗体顶端
147,A、
148,桂林
149,B、
150,铜仁
151,C、
152,安庆
153,D、
154,武昌
155,窗体底端
156,我的答案：C
157,12
158,晚清时期，以下哪一位创办了号称“亚洲第一大钢铁厂”的汉阳铁厂：（）（1.0分）
159,1.0分
160,窗体顶端
161,A、
162,曾国藩
163,B、
164,李鸿章
165,C、
166,左宗棠
167,D、
168,张之洞
169,窗体底端
170,我的答案：D
171,13
172,晚清时期研究日本维新的名作《日本国志》的作者是（）。（1.0分）
173,1.0分
174,窗体顶端
175,A、
176,黄遵宪
177,B、
178,何如璋
179,C、
180,汪凤藻
181,D、
182,李盛铎
183,窗体底端
184,我的答案：A
185,14
186,戊戌变法的必然性因素不包括（）。（1.0分）
187,1.0分
188,窗体顶端
189,A、
190,战败促使统治者意识到亡国的严重性
191,B、
192,慈禧受到各个阶层的舆论压力
193,C、
194,光绪帝接管权力，为国负责
195,D、
196,洋务运动全面失败
197,窗体底端
198,我的答案：D
199,15
200,段祺瑞大权独揽时期的北洋政权又被称为（）。（1.0分）
201,1.0分
202,窗体顶端
203,A、
204,豫系政权
205,B、
206,奉系政权
207,C、
208,皖系政权
209,D、
210,滇系政权
211,窗体底端
212,我的答案：C
213,16
214,清末中日甲午战争爆发的时间是（）。（1.0分）
215,1.0分
216,窗体顶端
217,A、
218,1892年
219,B、
220,1893年
221,C、
222,1894年
223,D、
224,1895年
225,窗体底端
226,我的答案：C
227,17
228,晚清时期“同光中兴”的起止时间是（）。（1.0分）
229,1.0分
230,窗体顶端
231,A、
232,1860-1890年
233,B、
234,1854-1884年
235,C、
236,1864-1894年
237,D、
238,1869-1900年
239,窗体底端
240,我的答案：C
241,18
242,以下哪一学堂创办于戊戌变法时期：（）（1.0分）
243,1.0分
244,窗体顶端
245,A、
246,复旦公学
247,B、
248,辅仁社
249,C、
250,京师大学堂
251,D、
252,清华学堂
253,窗体底端
254,我的答案：C
255,19
256,在第一次鸦片战争时期，英国首先选中的割让地是（）。（1.0分）
257,1.0分
258,窗体顶端
259,A、
260,舟山
261,B、
262,香港
263,C、
264,澳门
265,D、
266,厦门
267,窗体底端
268,我的答案：A
269,20
270,清末湖广总督瑞澄是哪一民族的政治家：（）（1.0分）
271,1.0分
272,窗体顶端
273,A、
274,苗族
275,B、
276,回族
277,C、
278,满族
279,D、
280,藏族
281,窗体底端
282,我的答案：C
283,21
284,戊戌变法之后，光绪帝被慈禧太后幽禁于以下哪一地区：（）（1.0分）
285,1.0分
286,窗体顶端
287,A、
288,瀛台
289,B、
290,颐和园
291,C、
292,天坛
293,D、
294,圆明园
295,窗体底端
296,我的答案：A
297,22
298,以下哪一项是清末最早设立的洋务学堂：（）（1.0分）
299,1.0分
300,窗体顶端
301,A、
302,上海震旦学院
303,B、
304,京师大学堂
305,C、
306,武汉自强学堂
307,D、
308,京师同文馆
309,窗体底端
310,我的答案：D
311,23
312,晚清时期，康有为在广州哪一场所聚徒讲学：（）（1.0分）
313,1.0分
314,窗体顶端
315,A、
316,杜甫草堂
317,B、
318,应天书院
319,C、
320,三味书屋
321,D、
322,万木草堂
323,窗体底端
324,我的答案：D
325,24
326,义和团运动前期，李鸿章的官职是（）。（1.0分）
327,1.0分
328,窗体顶端
329,A、
330,两广总督
331,B、
332,总理大臣
333,C、
334,驻藏大臣
335,D、
336,赋闲在家
337,窗体底端
338,我的答案：A
339,25
340,以下哪一项是中国第一所陆军学堂：（）（1.0分）
341,1.0分
342,窗体顶端
343,A、
344,京都兵学校
345,B、
346,北洋武备学堂
347,C、
348,黄埔军校
349,D、
350,南京陆军指挥学院
351,窗体底端
352,我的答案：B
353,26
354,晚清时期，慈禧太后权力正当性的主要来源是（）。（1.0分）
355,1.0分
356,窗体顶端
357,A、
358,道光帝
359,B、
360,咸丰帝
361,C、
362,光绪帝
363,D、
364,宣统帝
365,窗体底端
366,我的答案：B
367,27
368,以下哪一项是西方列强在清末并未瓜分中国的原因：（）（1.0分）
369,1.0分
370,窗体顶端
371,A、
372,西方整体文明程度下降
373,B、
374,美国提出门户开放政策
375,C、
376,第一次世界大战的爆发
377,D、
378,义和团对外国人士的友好
379,窗体底端
380,我的答案：B
381,28
382,戊戌变法时期，维新派的主要人物具有以下哪一种思想倾向：（）（1.0分）
383,1.0分
384,窗体顶端
385,A、
386,男权恐怖主义
387,B、
388,女权恐怖主义
389,C、
390,男权道德主义
391,D、
392,女权道德主义
393,窗体底端
394,我的答案：C
395,29
396,清末新政期间国家整体状况改善的具体体现不包括（）。（1.0分）
397,1.0分
398,窗体顶端
399,A、
400,国家秩序变好
401,B、
402,国家财政收入提升
403,C、
404,西方列强退还殖民地
405,D、
406,地方吏治得到改善
407,窗体底端
408,我的答案：C
409,30
410,以下哪一地区不属于晚清义和团运动兴盛的区域：（）（1.0分）
411,1.0分
412,窗体顶端
413,A、
414,天津
415,B、
416,南宁
417,C、
418,北京
419,D、
420,济南
421,窗体底端
422,我的答案：B
423,31
424,清末洋务运动中后期，以下哪一项的军事改革处于基本停滞的状态：（）（1.0分）
425,1.0分
426,窗体顶端
427,A、
428,八旗军
429,B、
430,绿营军
431,C、
432,湘淮军
433,D、
434,以上都是
435,窗体底端
436,我的答案：D
437,32
438,以下哪一位是向袁世凯提出“称帝”建议的政治家：（）（1.0分）
439,1.0分
440,窗体顶端
441,A、
442,杨度
443,B、
444,钱穆
445,C、
446,刘沅
447,D、
448,廖平
449,窗体底端
450,我的答案：A
451,33
452,1851年底，洪秀全于以下哪一地区分封诸王：（）（1.0分）
453,1.0分
454,窗体顶端
455,A、
456,南京
457,B、
458,武汉
459,C、
460,岳州
461,D、
462,永安
463,窗体底端
464,我的答案：D
465,34
466,中日甲午战争时期，以下哪一艘是北洋水师旗舰：（）（1.0分）
467,1.0分
468,窗体顶端
469,A、
470,致远号
471,B、
472,靖远号
473,C、
474,定远号
475,D、
476,镇远号
477,窗体底端
478,我的答案：C
479,35
480,从土地割让的角度而言，以下哪一国家是北京条约与天津条约的最大受益者：（）（1.0分）
481,1.0分
482,窗体顶端
483,A、
484,英国
485,B、
486,俄国
487,C、
488,法国
489,D、
490,美国
491,窗体底端
492,我的答案：B
493,36
494,在清朝中晚期，以下哪一事件标志着中西方彻底失去了和平通商的机会：（）（1.0分）
495,1.0分
496,窗体顶端
497,A、
498,华若翰访华
499,B、
500,马戛尔尼访华
501,C、
502,阿美士德访华
503,D、
504,张伯伦访华
505,窗体底端
506,我的答案：A
507,37
508,戊戌变法实施的困难不包括（）。（1.0分）
509,1.0分
510,窗体顶端
511,A、
512,太平天国运动的爆发
513,B、
514,慈禧太后干涉变法
515,C、
516,改革触动部分人的既得利益
517,D、
518,变法无人才可用
519,窗体底端
520,我的答案：A
521,38
522,“五四运动”时期学生主张抵制以下哪一国家的商品：（）（1.0分）
523,1.0分
524,窗体顶端
525,A、
526,泰国
527,B、
528,日本
529,C、
530,巴西
531,D、
532,南非
533,窗体底端
534,我的答案：B
535,39
536,晚清时期，义和团运动的导火索之一是（）。（1.0分）
537,1.0分
538,窗体顶端
539,A、
540,西昌教案
541,B、
542,南昌教案
543,C、
544,冠县教案
545,D、
546,灌县教案
547,窗体底端
548,我的答案：C
549,40
550,中国空军第一次参战是发生在以下哪一时期：（）（1.0分）
551,1.0分
552,窗体顶端
553,A、
554,辛亥革命
555,B、
556,二十一条签订
557,C、
558,张勋复辟
559,D、
560,袁世凯称帝
561,窗体底端
562,我的答案：C
563,41
564,中日甲午战争爆发的原因不包括（）。（1.0分）
565,1.0分
566,窗体顶端
567,A、
568,中国并未顺应世界大势变革国家制度
569,B、
570,朝鲜东学党起义
571,C、
572,日本大力推行侵略扩展的大陆政策
573,D、
574,中国意图称霸东亚
575,窗体底端
576,我的答案：D
577,42
578,根据古代中国的观点，世界中心位于（）。（1.0分）
579,1.0分
580,窗体顶端
581,A、
582,陕西西安
583,B、
584,湖北武汉
585,C、
586,江苏南京
587,D、
588,河南洛阳
589,窗体底端
590,我的答案：D
591,43
592,袁世凯在共和之后所面临的问题不包括（）。（1.0分）
593,1.0分
594,窗体顶端
595,A、
596,日本人的热情支持
597,B、
598,人民对体制改变不适应
599,C、
600,无法建构一种统治体系
601,D、
602,中央无法有效管理地方
603,窗体底端
604,我的答案：A
605,44
606,洪秀全创立了以下哪一宗教组织：（）
607,（1.0分）
608,1.0分
609,窗体顶端
610,A、
611,
612,拜摩西教
613,
614,B、
615,
616,拜雅各教
617,
618,C、
619,
620,拜上帝教
621,
622,D、
623,
624,拜耶稣教
625,
626,窗体底端
627,我的答案：C
628,45
629,1919年巴黎和会上中国代表团拒绝在以下哪一合约上签字：（）（1.0分）
630,1.0分
631,窗体顶端
632,A、
633,对泰合约
634,B、
635,对韩合约
636,C、
637,对德和约
638,D、
639,对日和约
640,窗体底端
641,我的答案：C
642,46
643,义和团事变后，慈禧太后在宣战诏书中称义和团为（）。（1.0分）
644,1.0分
645,窗体顶端
646,A、
647,愚民
648,B、
649,反民
650,C、
651,义民
652,D、
653,刁民
654,窗体底端
655,我的答案：C
656,47
657,清末新政时期地方骚乱的主要内容是（）。（1.0分）
658,1.0分
659,窗体顶端
660,A、
661,西方入侵
662,B、
663,军队哗变
664,C、
665,农村内斗
666,D、
667,烟民反抗
668,窗体底端
669,我的答案：D
670,48
671,以下哪一项不属于清末新旧军队之间的差异：（）（1.0分）
672,1.0分
673,窗体顶端
674,A、
675,旧部队兵为国有
676,B、
677,新部队将领战死，军队解散
678,C、
679,新部队兵为将有
680,D、
681,旧部队士兵战死，将军自杀
682,窗体底端
683,我的答案：D
684,49
685,太平天国运动时期，以下哪一位是《天王诗》的作者：（）（1.0分）
686,1.0分
687,窗体顶端
688,A、
689,石达开
690,B、
691,冯云山
692,C、
693,洪秀全
694,D、
695,杨秀清
696,窗体底端
697,我的答案：C
698,50
699,以下哪一位是晚清时期清廷顽固派代表：（）（1.0分）
700,1.0分
701,窗体顶端
702,A、
703,裕仁
704,B、
705,康有为
706,C、
707,倭仁
708,D、
709,康广仁
710,窗体底端
711,我的答案：C
712,二、 判断题（题数：50，共50.0分）
713,1
714,黄花岗起义的发生地是广东省广州市。（）（1.0分）
715,1.0分
716,窗体顶端
717,我的答案：√
718,窗体底端
719,2
720,武昌起义时期，革命军军人军饷普遍低于清廷新军军人军饷。（）（1.0分）
721,1.0分
722,窗体顶端
723,我的答案：×
724,窗体底端
725,3
726,“五四运动”在农村地区的影响要低于城市地区。（）（1.0分）
727,1.0分
728,窗体顶端
729,我的答案：√
730,窗体底端
731,4
732,晚清时期，清政府并不认为西摩尔联军是一支正式的西方侵略军队。（）（1.0分）
733,1.0分
734,窗体顶端
735,我的答案：×
736,窗体底端
737,5
738,第一次鸦片战争时期，清廷内部不存在任何的满汉之争。（）（1.0分）
739,1.0分
740,窗体顶端
741,我的答案：×
742,窗体底端
743,6
744,清朝中后期人头税的取消，间接促进了国家人口的增长。（）（1.0分）
745,1.0分
746,窗体顶端
747,我的答案：√
748,窗体底端
749,7
750,晚清时期，西方列强总体而言对中国实施变法持肯定和赞许的态度。（）（1.0分）
751,1.0分
752,窗体顶端
753,我的答案：√
754,窗体底端
755,8
756,留美幼童计划是在晚清重臣曾国藩等人支持下的中国最早的官派留学生。（）（1.0分）
757,1.0分
758,窗体顶端
759,我的答案：√
760,窗体底端
761,9
762,清末著名思想家章太炎的“太炎”与明末著名思想家顾炎武有关。（）（1.0分）
763,1.0分
764,窗体顶端
765,我的答案：√
766,窗体底端
767,10
768,晚清时期，义和团是反对西方列强的民间军事组织的唯一称呼。（）（1.0分）
769,1.0分
770,窗体顶端
771,我的答案：×
772,窗体底端
773,11
774,从医学的角度而言，鸦片能够在某种程度上治疗痢疾、咳嗽等。（）（1.0分）
775,1.0分
776,窗体顶端
777,我的答案：×
778,窗体底端
779,12
780,晚清时期，中国民教冲突只存在于文化层面。（）（1.0分）
781,1.0分
782,窗体顶端
783,我的答案：×
784,窗体底端
785,13
786,阎锡山在国民党北伐战争中拥护国民党北伐军。（）（1.0分）
787,1.0分
788,窗体顶端
789,我的答案：√
790,窗体底端
791,14
792,英国政府在工业革命后取消了东印度公司对印度和中国的贸易垄断权。（）（1.0分）
793,1.0分
794,窗体顶端
795,我的答案：√
796,窗体底端
797,15
798,“同光中兴”中的“同光”指的是同治帝和光绪帝。（）（1.0分）
799,1.0分
800,窗体顶端
801,我的答案：√
802,窗体底端
803,16
804,北洋水师的服饰和发饰并未对日常操练造成任何影响。（）（1.0分）
805,1.0分
806,窗体顶端
807,我的答案：×
808,窗体底端
809,17
810,“府院之争”时期，黎元洪并没有实际的军事实权。（）（1.0分）
811,1.0分
812,窗体顶端
813,我的答案：√
814,窗体底端
815,18
816,第一次鸦片战争时期两广总督因罪抄家，其财产充入内务府。（）（1.0分）
817,1.0分
818,窗体顶端
819,我的答案：√
820,窗体底端
821,19
822,一战结束后巴黎会谈的结果，充分证明了丛林法则时代“弱国无外交”。（）（1.0分）
823,1.0分
824,窗体顶端
825,我的答案：√
826,窗体底端
827,20
828,火烧圆明园发生在英法联军进入北京城之后。（）（1.0分）
829,1.0分
830,窗体顶端
831,我的答案：×
832,窗体底端
833,21
834,戊戌变法时期，满清重臣荣禄的直属上司是袁世凯。（）（1.0分）
835,1.0分
836,窗体顶端
837,我的答案：×
838,窗体底端
839,22
840,根据清朝科举制度的规定，学子在通过乡试并获得举人的身份后才有资格参加科举考试。（）（1.0分）
841,1.0分
842,窗体顶端
843,我的答案：×
844,窗体底端
845,23
846,清末中日甲午战争只爆发了大规模的海战，而不涉及任何陆战。（）（1.0分）
847,1.0分
848,窗体顶端
849,我的答案：×
850,窗体底端
851,24
852,清末江南制造总局曾翻译了部分西方典籍。（）（1.0分）
853,1.0分
854,窗体顶端
855,我的答案：√
856,窗体底端
857,25
858,晚清时期，戊戌变法受到了中国所有阶层的拥护和理解。（）（1.0分）
859,1.0分
860,窗体顶端
861,我的答案：×
862,窗体底端
863,26
864,清末“沈荩事件”中的沈荩是中国历史上第一位因言获罪的新闻记者。（）（1.0分）
865,1.0分
866,窗体顶端
867,我的答案：√
868,窗体底端
869,27
870,晚清时期，《辛丑条约》是赔款额度最大的不平等条约。（）（1.0分）
871,1.0分
872,窗体顶端
873,我的答案：√
874,窗体底端
875,28
876,根据康有为的著作，日本明治维新成功的主要原因是明治天皇乾纲独断。（）（1.0分）
877,1.0分
878,窗体顶端
879,我的答案：√
880,窗体底端
881,29
882,清末洋务运动时期，中国缺乏发展近现代完整工业体系所需的政治条件。（）（1.0分）
883,1.0分
884,窗体顶端
885,我的答案：√
