,题目
0,
1,1
2,（1.0分）
3,1.0分
4,窗体顶端
5,A、
6,76%
7,
8,B、
9,70%
10,
11,C、
12,51%
13,
14,D、
15,40%
16,
17,窗体底端
18,正确答案： A我的答案：A
19,2
20,（1.0分）
21,1.0分
22,窗体顶端
23,A、
24,the UK
25,
26,B、
27,the USA
28,
29,C、
30,France
31,
32,D、
33,Japan
34,
35,窗体底端
36,正确答案： B我的答案：B
37,3
38,（1.0分）
39,1.0分
40,窗体顶端
41,A、
42,Vladimir Putin
43,
44,B、
45,Barack Obama
46,
47,C、
48,Xi Jinping
49,
50,D、
51,Pope Francis
52,
53,窗体底端
54,正确答案： A我的答案：A
55,4
56,（1.0分）
57,1.0分
58,窗体顶端
59,A、
60,44th
61,
62,B、
63,45th
64,
65,C、
66,46th
67,
68,D、
69,47th
70,
71,窗体底端
72,正确答案： A我的答案：A
73,5
74,（1.0分）
75,1.0分
76,窗体顶端
77,A、
78,1971
79,
80,B、
81,1972
82,
83,C、
84,1973
85,
86,D、
87,1974
88,
89,窗体底端
90,正确答案： B我的答案：B
91,6
92,（1.0分）
93,1.0分
94,窗体顶端
95,A、
96,Because car is expensive in New York City.
97,
98,B、
99,Because traffic is bad in New York City.
100,
101,C、
102,Because there is no place to park cars in New York City.
103,
104,D、
105,Because the number of cars is limited by government.
106,
107,窗体底端
108,正确答案： C我的答案：C
109,7
110,（1.0分）
111,1.0分
112,窗体顶端
113,A、
114,Sweden
115,
116,B、
117,Switzerland
118,
119,C、
120,USA
121,
122,D、
123,UK
124,
125,窗体底端
126,正确答案： A我的答案：A
127,8
128,（1.0分）
129,1.0分
130,窗体顶端
131,A、
132,China has more railways than America.
133,
134,B、
135,"America has two neighbour countries, Canada and Mexico."
136,
137,C、
138,Both America and China's climates vary greatly.
139,
140,D、
141,"America's land is less than China's, but water in America is more than China."
142,
143,窗体底端
144,正确答案： A我的答案：A
145,9
146,（1.0分）
147,1.0分
148,窗体顶端
149,A、
150,3 years
151,
152,B、
153,4 years
154,
155,C、
156,5 years
157,
158,D、
159,6 years
160,
161,窗体底端
162,正确答案： B我的答案：B
163,10
164,（1.0分）
165,1.0分
166,窗体顶端
167,A、
168,Seperation of church and state
169,
170,B、
171,Variety of belief
172,
173,C、
174,Concerned with morality
175,
176,D、
177,Helping everyone in the world
178,
179,窗体底端
180,正确答案： D我的答案：D
181,11
182,（1.0分）
183,1.0分
184,窗体顶端
185,A、
186,"There are two kinds of wedding, civil ceremony or church wedding."
187,
188,B、
189,"Almost all couples are “naked marriages""."
190,
191,C、
192,Divorce rate in western countries is high.
193,
194,D、
195,Woman must take husband's family name.
196,
197,窗体底端
198,正确答案： D我的答案：D
199,12
200,（1.0分）
201,1.0分
202,窗体顶端
203,A、
204,America was kept as one country.
205,
206,B、
207,Slavery was abolished.
208,
209,C、
210,"After the Battle of Gettysburg, the North started to win."
211,
212,D、
213,"The South was strong in ""hard power""."
214,
215,窗体底端
216,正确答案： D我的答案：D
217,13
218,（1.0分）
219,1.0分
220,窗体顶端
221,A、
222,The offensive back
223,
224,B、
225,The running back
226,
227,C、
228,The quarterback
229,
230,D、
231,The receiver
232,
233,窗体底端
234,正确答案： C我的答案：C
235,14
236,（1.0分）
237,1.0分
238,窗体顶端
239,A、
240,China
241,
242,B、
243,Japan
244,
245,C、
246,South Korea
247,
248,D、
249,Germany
250,
251,窗体底端
252,正确答案： A我的答案：A
253,15
254,（1.0分）
255,1.0分
256,窗体顶端
257,A、
258,Because it was too expensive.
259,
260,B、
261,Because many people died.
262,
263,C、
264,Because the topography in Panama was difficult to build a canal.
265,
266,D、
267,Because the American government decidded to buld it by themselves.
268,
269,窗体底端
270,正确答案： C我的答案：C
271,16
272,（1.0分）
273,1.0分
274,窗体顶端
275,A、
276,Main course
277,
278,B、
279,Dessert
280,
281,C、
282,Cuisine
283,
284,D、
285,Appetiser
286,
287,窗体底端
288,正确答案： D我的答案：D
289,17
290,（1.0分）
291,1.0分
292,窗体顶端
293,A、
294,Interpret laws
295,
296,B、
297,Execute laws
298,
299,C、
300,Make laws
301,
302,D、
303,Change laws
304,
305,窗体底端
306,正确答案： D我的答案：D
307,18
308,（1.0分）
309,1.0分
310,窗体顶端
311,A、
312,Large family farms are much more productive.
313,
314,B、
315,"In 2000, farm jobs are very few in America."
316,
317,C、
318,Most income of farm households is from non-farm sources.
319,
320,D、
321,"In America, all farmers have jobs in cities."
322,
323,窗体底端
324,正确答案： D我的答案：D
325,19
326,（1.0分）
327,1.0分
328,窗体顶端
329,A、
330,It is in the Atlantic Ocean.
331,
332,B、
