,题目
0,
1,
2,一、 单选题（题数：50，共50.0分） 
3,1 
4,顺治九年，章京海色和沙俄在（）展开了对抗。
5,1.0分 
6,窗体顶端
7,A、 
8,乌苏里江口 
9,B、 
10,嫩江流域 
11,C、 
12,外兴安岭 
13,D、 
14,黑龙江以北 
15,窗体底端
16,正确答案： A 我的答案：A 
17,2 
18,沙俄的首批殖民军最早于（）出现在中国东北地区。
19,1.0分 
20,窗体顶端
21,A、 
22,1638年 
23,B、 
24,1643年 
25,C、 
26,1657年 
27,D、 
28,1669年 
29,窗体底端
30,正确答案： B 我的答案：B 
31,3 
32,（）是努尔哈赤的次子。
33,1.0分 
34,窗体顶端
35,A、 
36,代善 
37,B、 
38,褚英 
39,C、 
40,皇太极 
41,D、 
42,莽古尔泰 
43,窗体底端
44,正确答案： A 我的答案：A 
45,4 
46,（）首创了千叟宴。
47,1.0分 
48,窗体顶端
49,A、 
50,顺治 
51,B、 
52,康熙 
53,C、 
54,雍正 
55,D、 
56,乾隆 
57,窗体底端
58,正确答案： B 我的答案：B 
59,5 
60,（）收录了胤禛继位的遗嘱。
61,1.0分 
62,窗体顶端
63,A、 
64,清圣祖实录 
65,B、 
66,满洲实录 
67,C、 
68,清实录 
69,D、 
70,清太宗书 
71,窗体底端
72,正确答案： A 我的答案：A 
73,6 
74,对明清战争起到决定性作用的是（）。
75,1.0分 
76,窗体顶端
77,A、 
78,铁岭之战 
79,B、 
80,辽阳之战 
81,C、 
82,萨尔浒战争 
83,D、 
84,抚顺之战 
85,窗体底端
86,正确答案： C 我的答案：C 
87,7 
88,萨尔浒位于（）。
89,1.0分 
90,窗体顶端
91,A、 
92,沈阳西 
93,B、 
94,抚顺东 
95,C、 
96,辽阳南 
97,D、 
98,山海关附近 
99,窗体底端
100,正确答案： B 我的答案：B 
101,8 
102,乾隆时期没有出现的现象是（）。
103,1.0分 
104,窗体顶端
105,A、 
106,垦地总数饱和 
107,B、 
108,土地紧缺 
109,C、 
110,人数猛增 
111,D、 
112,人口爆炸 
113,窗体底端
114,正确答案： B 我的答案：B 
115,9 
116,公元1644年是历史上的（）。
117,1.0分 
118,窗体顶端
119,A、 
120,顺治三年 
121,B、 
122,崇祯18年 
123,C、 
124,顺治元年 
125,D、 
126,崇祯16年 
127,窗体底端
128,正确答案： C 我的答案：C 
129,10 
130,（）解决了三藩问题。
131,1.0分 
132,窗体顶端
133,A、 
134,顺治 
135,B、 
136,康熙 
137,C、 
138,雍正 
139,D、 
140,乾隆 
141,窗体底端
142,正确答案： B 我的答案：B 
143,11 
144,（）是由朱聿键监国、称帝的政权。
145,1.0分 
146,窗体顶端
147,A、 
148,弘光政权 
149,B、 
150,绍武政权 
151,C、 
152,永历政权 
153,D、 
154,隆武政权 
155,窗体底端
156,正确答案： D 我的答案：D 
157,12 
158,广宁之战不包括（）。
