,题目
0,一、 单选题（题数：50，共50.0分）
1,1莺莺唱到“吓得我荆棘剌怎动那”是（）中明确提到的。（1.0分）1.0分
2,窗体顶端
3,A、王季思本
4,B、刘龙田本
5,C、张深之本
6,D、金圣叹本
7,窗体底端
8,我的答案：B
9,2“调笑转踏”是（）歌舞表演形式的一种。（1.0分）1.0分
10,窗体顶端
11,A、唐代
12,B、宋代
13,C、元代
14,D、明代
15,窗体底端
16,我的答案：B
17,3下列不属于“五便三计”的“三计”是（）。（1.0分）1.0分
18,窗体顶端
19,A、献与贼人
20,B、削发为尼
21,C、自杀
22,D、许配给退兵之人
23,窗体底端
24,我的答案：B
25,4下列关于元杂剧兴盛原因的表述，错误的是（）。（1.0分）1.0分
26,窗体顶端
27,A、社会生活安定
28,B、大批的文人参与杂剧的创作
29,C、元朝统治者的重视
30,D、具备一定的经济基础
31,窗体底端
32,我的答案：A
33,5莺莺通过红娘给张生回简，目的是（）。（1.0分）1.0分
34,窗体顶端
35,A、试探红娘
36,B、警告张生
37,C、约会张生
38,D、与红娘赌气
39,窗体底端
40,我的答案：C
41,6元杂剧每本戏的主唱是（）角。（1.0分）1.0分
42,窗体顶端
43,A、旦和末
44,B、旦和生
45,C、旦、生和末
46,D、旦或末
47,窗体底端
48,我的答案：D
49,7《西厢记》中被认为是一个重要的悬念情节是（）。（1.0分）1.0分
50,窗体顶端
51,A、《寺警》
52,B、《许婚》
53,C、《赖婚》
54,D、《闹简》
55,窗体底端
56,我的答案：C
57,8元杂剧流行的宫调是（）。（1.0分）1.0分
58,窗体顶端
59,A、六宫十一调
60,B、十七宫调
61,C、五宫四调
62,D、四宫五调
63,窗体底端
64,我的答案：C
65,9现存最早的《西厢记》刊本是（）。（1.0分）1.0分
66,窗体顶端
67,A、大德本
68,B、闵齐伋本
69,C、弘治本
70,D、万历本
71,窗体底端
72,我的答案：C
73,10《董西厢》中孙飞虎抢夺崔莺莺是为了（）。（1.0分）1.0分
74,窗体顶端
75,A、占为己有
76,B、报复张生
77,C、送与郑恒
78,D、献给上司
79,窗体底端
80,我的答案：D
