,题目
0,
1,1 
2,大致估计，到1945年1月为止，在奥斯维辛集中营中的被害人数多达（）人。（1.0分）
3,1.0分 
4,窗体顶端
5,
6,A、 
7,90-100万 
8,
9,B、 
10,100-150万 
11,
12,C、 
13,150-300万 
14,
15,D、 
16,200-400万 
17,
18,窗体底端
19,我的答案：D 
20,2 
21,墨索里尼的法西斯组织迅速壮大的社会原因不包括以下哪个方面？（）（1.0分）
22,1.0分 
23,窗体顶端
24,
25,A、 
26,战争之后，社会凋敝 
27,
28,B、 
29,贫富差别巨大 
30,
31,C、 
32,民族主义在全国范围内膨胀 
33,
34,D、 
35,社会主义在社会范围内膨胀 
36,
37,窗体底端
38,我的答案：D 
39,3 
40,到什么时候为止，墨索里尼已经确实成为名副其实的大独裁者？（）（1.0分）
41,1.0分 
42,窗体顶端
43,
44,A、 
45,1925年 
46,
47,B、 
48,1929年 
49,
50,C、 
51,1933年 
52,
53,D、 
54,1945年 
55,
56,窗体底端
57,我的答案：B 
58,4 
59,下列关于近卫内阁的《产业五年计划》的说法，错误的是？（）（1.0分）
60,1.0分 
61,窗体顶端
62,
63,A、 
64,国家对经济领域的控制应当放松 
65,
66,B、 
67,逐步演变为生产力扩充计划 
68,
69,C、 
70,认为国家对经济的控制应当越来越多 
71,
72,D、 
73,国家应当在经济领域全面实行法西斯化 
74,
75,窗体底端
76,我的答案：A 
77,5 
78,1926年，墨索里尼颁布了第1848号法令。其主要内容不包括以下哪项内容？（）（1.0分）
79,1.0分 
80,窗体顶端
81,
82,A、 
83,加强警察的权力 
84,
85,B、 
86,警察有自主处置和治罪权 
87,
88,C、 
89,削弱警察的配备，尽量降低警察的权力 
90,
91,D、 
92,加强警察在极权政治中的地位和作用 
93,
94,窗体底端
95,我的答案：C 
96,6 
97,党卫队骷髅队的主要职责是什么？（）（1.0分）
98,1.0分 
99,窗体顶端
100,
101,A、 
102,负责纳粹党会场秩序 
103,
104,B、 
105,监听普通民众的日常生活 
106,
107,C、 
108,负责对外战争 
109,
110,D、 
111,看管监狱、集中营 
112,
113,窗体底端
114,我的答案：D 
115,7 
116,下列关于希特勒关于冲锋队的前途发展设想，说法错误的是？（）（1.0分）
117,1.0分 
118,窗体顶端
119,
120,A、 
121,是一个党的武装 
122,
123,B、 
124,主要任务是保护纳粹的集会 
125,
126,C、 
127,通过冲锋队的暴力行为，扩大民众心理上的影响 
128,
129,D、 
130,准军事组织 
131,
132,窗体底端
133,我的答案：D 
134,8 
135,日本军部实际上是推动法西斯化的最主要力量。其主要标志是什么？（）（1.0分）
136,0.0分 
137,窗体顶端
138,
139,A、 
140,将军部人员全部纳入内阁中 
141,
142,B、 
143,赋予军方在政治生活中的发言权 
144,
145,C、 
146,确立军部领导人为内阁总理 
147,
148,D、 
149,确立了军部在政治上的主导作用 
150,
151,窗体底端
152,我的答案：B 
153,9 
154,为了确立独裁地位，希特勒做出了一系列举措。下列哪些举措不是希特勒为了独裁所做的努力？（）（1.0分）
155,1.0分 
156,窗体顶端
157,
158,A、 
159,将总统和总理两个职位合一，并由总理兼任，称为“元首” 
160,
161,B、 
162,规定纳粹党党旗是代表国家的唯一标志 
163,
164,C、 
165,成立党中央设立的全国指导处 
166,
167,D、 
168,在党内称呼自己为“元首” 
169,
170,窗体底端
171,我的答案：D 
172,10 
173,下列哪一点不属于奥斯维辛集中营的优势？（）（1.0分）
174,1.0分 
175,窗体顶端
176,
177,A、 
178,奥斯维辛集中营位于铁路枢纽上，交通方便 
179,
180,B、 
181,距离东线较远，位于内陆，不容易受到袭击 
182,
183,C、 
184,设施先进，便于屠杀 
185,
186,D、 
187,适合建造大型生产线 
188,
189,窗体底端
190,我的答案：C 
191,11 
192,意大利当时的社会党代表的是哪个群体的利益？（）（1.0分）
193,1.0分 
194,窗体顶端
195,
196,A、 
197,无政府主义者 
198,
199,B、 
200,民族资本家 
201,
202,C、 
203,工人阶级 
204,
205,D、 
206,大资产家阶级 
207,
208,窗体底端
209,我的答案：C 
210,12 
211,1925年元旦期间，意大利的法西斯党总部向全国的法西斯党分支机构发出了两份电报。以下哪个选项不符合这两份电报的内容？（）（1.0分）
212,1.0分 
213,窗体顶端
214,
215,A、 
216,查封所有在政治方面可疑的社会团体和聚会地点 
217,
218,B、 
219,解散一切以各种借口网罗捣乱分子或旨在颠覆国家政权的组织 
220,
221,C、 
222,鼓励全国各个行业组成爱国党派，参与到政府当中 
223,
224,D、 
225,解散所有的“自由意大利小组”，严禁其采取任何行动 
226,
227,窗体底端
228,我的答案：C 
229,13 
