,题目
0,
1,选择题(50分)1、中华民族“一元论”起源说认为中华民族的始祖是？ (1.00分)A．黄帝 B．伏羲 C．少典 D．炎帝正确答案： C 
2,一个民族区别的其他民族的根本标志是什么？ (1.00分)A．政治 B．经济 C．文化 D．思想3、哪一项不是唐型文化的特征？ (1.00分)A．雄阔高亢 B．相对闭塞 C．相对外倾 D．色调热烈4、蒙古人种是什么颜色的 (1.00分)A．白 B．黑 C．黄 D．棕5、以下哪个人物提出了民族大同的主张？ (1.00分)A．孙中山 B．梁启超 C．杨度 D．黄兴正确答案： D 
3, 6、马斯诺认为，人区别于动物在于人有： （） (1.00分)A．生活需要 B．生存需要 C．安全需要 D．自我实现需要7、 《离骚》是谁写的 (1.00分)A．屈原 B．顾炎武 C．东林党人D．文天祥8、以下哪个时期属于中华民族精神的锤炼时期？ (1.00分)A．秦汉时期 B．隋唐时期 C．宋元时期 D．明清时期正确答案： C 、
4, 9、中国社会最大的问题是？ (1.00分)A．诚信缺失 B．技术核心能力竞争力差 C．科技发展慢 D．创新性弱10、科学理性是在中国（）时确立的。 (1.00分)A．新文化运动 B．民国 C．五四 D．中国成立后正确答案： A 
5, 11、清政府在经济上成为帝国主义的（） (1.00分)A．守土官长 B．税吏 C．附庸 D．太上皇正确答案： B 
6, 12、二十世纪世界走向全球化的四个阶段，错误的是： （） (1.00分)A．两次世界大战 B．两大阵营划分 C．冷战 D．三个世界的划分13、民族主义最早产生在（）世纪。 (1.00分)A．16 B．17 C．18 D．19正确答案： B 
7, 14、以下属于民族精神比较的基本视角的是？ (1.00分)A．民族精神的历史渊源、寻根之比。 B．比较民族精神的内容结构和价值取向。 C．比较民族精神发展历程中代表性的人物。 D．以上说法都正确正确答案： D 
8,近代以来，越南曾是（）的殖民地。 (1.00分)A．西班牙 B．法国 C．英国 D．美国16、以下不属于对台政策的是？ (1.00分)A．坚持一个中国原则 B．争取和平统一 C．反对“台独” D．放弃使用武力17、以下关于爱国主义的说法错误的是？ (1.00分)A．爱国主义具有一种防卫的理念。 B．爱国主义对社会具有正面的作用。 C．爱国主义侧重于自己国家民族的文化。 D．爱国主义更多地表现为政治情结。18、洪秀全最先在（）发动起义。 (1.00分)A．河南 B．广东 C．湖南 D．广西正确答案： D 
9, 19、全球化是从什么时候真正开始的？ (1.00分)A．十八世纪 B．二十一世纪 C．二十世纪 D．十九世纪20、哪一项起着重要的影响作用？ (1.00分)A．制度文化 B．物质文化 C．政策文化 D．精神文化正确答案： D 
