,题目
0,姓名：
1,
2,一、 单选题（题数：50，共50.0分）
3,1元朝行省控驭不包括A、权利很大B、大权在中央C、地方分留权利D、专制  我的答案：D
4,2巡行两都是谁开创的？A、成吉思汗B、贵由C、窝阔台D、忽必烈 我的答案：D
5,3以下南宋宗室中，被俘的是： A、赵隰B、赵昀C、赵昺D、赵昰 我的答案：A
6,4关于“答剌罕”说法不正确的是A、地位比较低下B、功绩比较大C、可以和贵族一起喝酒
7,D、
8,享有免死特权
9,
10,窗体底端
11,我的答案：D
12,5
13,蒙哥汗命令忽必烈远征大理是在：
14,窗体顶端
15,ØA、
16,1252年
17,
18,ØB、
19,1253年
20,
21,ØC、
22,1254年
23,
24,ØD、
25,1255年
26,
27,窗体底端
28,我的答案：A
29,6
30,元朝官场上的文字不包括
31,窗体顶端
32,ØA、
33,波斯文
34,
35,ØB、
36,蒙古语
37,
38,ØC、
39,汉语
40,
41,ØD、
42,维吾尔语
43,
44,窗体底端
45,我的答案：D
46,7
47,镇戍军是在平定（）以后着手建立的。
48,窗体顶端
49,ØA、
50,南宋
51,
52,ØB、
53,西域
54,
55,ØC、
56,西亚东欧
57,
58,ØD、
59,中原
60,
61,窗体底端
62,我的答案：A
63,8
64,崇福司是元朝在哪一年设立的？
65,窗体顶端
66,ØA、
67,至元十三年
68,
69,ØB、
70,至元十八年
71,
72,ØC、
73,至元二十二年
74,
75,ØD、
76,至元二十六年
77,
78,窗体底端
79,我的答案：D
80,9
81,南宋的海外贸易中心是：
82,窗体顶端
83,ØA、
84,临安
85,
86,ØB、
87,广州
88,
89,ØC、
90,松江
91,
92,ØD、
93,泉州
94,
95,窗体底端
96,我的答案：D
97,10
98,对蒙古征服抵抗时间最久的是
99,窗体顶端
100,ØA、
101,西夏
102,
103,ØB、
104,金朝
105,
106,ØC、
107,南宋
108,
109,ØD、
110,波斯
111,
112,窗体底端
113,我的答案：C
114,11
115,成吉思汗征服的第二个对象是：
116,窗体顶端
117,ØA、
118,波斯
119,
120,ØB、
121,西夏
122,
123,ØC、
124,金
125,
126,ØD、
127,花剌子模
128,
129,窗体底端
130,我的答案：C
131,12
132,忽必烈时期宗教发展错误的是
133,窗体顶端
134,ØA、
135,藏传佛教有所发展
136,
137,ØB、
138,伊斯兰教发展较好
139,
140,ØC、
141,排斥其他教派
142,
143,ØD、
144,有天主教徒
145,
146,窗体底端
147,我的答案：C
148,13
149,官营手工业在元朝分为几个系统
150,窗体顶端
151,ØA、
152,1.0
153,
154,ØB、
155,2.0
156,
157,ØC、
158,3.0
159,
160,ØD、
161,4.0
162,
163,窗体底端
164,我的答案：D
165,14
166,金莲川幕府侍臣中不属于理学家群的是：
167,窗体顶端
168,ØA、
169,许衡
170,
171,ØB、
172,窦默
173,
174,ØC、
175,姚枢
176,
177,ØD、
178,郭守敬
179,
180,窗体底端
181,我的答案：D
182,15
183,是谁暗杀了阿合马？
184,窗体顶端
185,ØA、
186,真金
187,
188,ØB、
189,许衡
190,
191,ØC、
192,王著
193,
194,ØD、
195,安童
196,
197,窗体底端
198,我的答案：C
199,16
200,忽必烈在儒学方面没有采取的是：
201,窗体顶端
202,ØA、
203,设国子学
204,
205,ØB、
206,设国子监
207,
208,ØC、
209,开殿试
210,
211,ØD、
212,办书院
213,
214,窗体底端
215,我的答案：C
216,17
217,金帐汗国的创始人是＿。
218,窗体顶端
219,ØA、
220,术赤
221,
222,ØB、
223,窝阔台
224,
225,ØC、
226,托雷
227,
228,ØD、
229,察合台
230,
231,窗体底端
232,我的答案：A
233,18
234,谁杀死了桑哥
235,窗体顶端
236,ØA、
237,成吉思汗
238,
239,ØB、
240,贵由
241,
242,ØC、
243,窝阔台
244,
245,ØD、
246,忽必烈
247,
248,窗体底端
249,我的答案：D
250,19
251,马可波罗在华身份的三种说法不包括：
252,窗体顶端
253,ØA、
254,达鲁花赤
255,
256,ØB、
257,枢密副使
258,
259,ØC、
260,扬州路总管
261,
262,ØD、
263,斡脱商人
264,
265,窗体底端
266,我的答案：A
267,20
268,郭守敬设立的天文观测站有：
269,窗体顶端
270,ØA、
271,18个
272,
273,ØB、
274,27个
275,
276,ØC、
277,49个
278,
279,ØD、
280,66个
281,
282,窗体底端
283,我的答案：B
284,21
285,元武宗的“滥”政策不包括
286,窗体顶端
287,ØA、
288,滥封赏赐
289,
290,ØB、
291,滥封官职
292,
293,ØC、
294,滥封王爵
295,
296,ØD、
297,滥用人才
298,
299,窗体底端
300,我的答案：D
301,22
302,元代和明前期的一些共同点不包括：
303,窗体顶端
304,ØA、
305,分封制死灰复燃
306,
307,ØB、
308,管手工业发达
309,
310,ØC、
311,海洋贸易频繁
312,
313,ØD、
314,北方为政治中心
315,
316,窗体底端
317,我的答案：D
318,23
319,桑哥是哪个民族的
320,窗体顶端
321,ØA、
322,回族
323,
324,ØB、
325,满族
326,
327,ØC、
328,吐蕃
329,
330,ØD、
331,汉族
332,
333,窗体底端
334,我的答案：C
335,24
336,忽必烈曾设置的机构不包括：
337,窗体顶端
338,ØA、
339,劝农司
340,
341,ØB、
342,行部
343,
344,ØC、
345,钩考局
346,
347,ØD、
348,宣抚司
349,
350,窗体底端
351,我的答案：C
352,25
353,《元明戏曲中的蒙古语》是谁的著作？
354,窗体顶端
355,ØA、
356,杨志玖
357,
358,ØB、
359,萧启庆
360,
361,ØC、
362,方龄贵
363,
364,ØD、
365,陈垣
366,
367,窗体底端
368,我的答案：C
369,26
370,忽必烈重视农业的措施包括
371,窗体顶端
372,ØA、
373,设司农司
374,
375,ØB、
376,兴修水利
377,
378,ØC、
379,编写农桑辑要
380,
381,ØD、
382,都是
383,
384,窗体底端
385,我的答案：D
386,27
387,属于地方行政机构的是：
388,窗体顶端
389,ØA、
390,宣慰司
391,
392,ØB、
393,宣政院
394,
395,ØC、
396,宣徽院
397,
398,ØD、
399,通政院
400,
401,窗体底端
402,我的答案：A
403,28
404,窝阔台采纳了（）的建议，设课税所，有条件地保留了中原文明。
405,窗体顶端
406,ØA、
407,耶律楚材
408,
409,ØB、
410,丘处机
411,
412,ØC、
413,脱脱
414,
415,ØD、
416,元好问
417,
418,窗体底端
419,我的答案：A
420,29
421,大安阁位于：
422,窗体顶端
423,ØA、
424,开平
425,
426,ØB、
427,大都
428,
429,ØC、
430,京兆
431,
432,ØD、
433,燕京
434,
435,窗体底端
436,我的答案：A
437,30
438,蒙古大汗中谁最先制定年号？
439,窗体顶端
440,ØA、
441,窝阔台
442,
443,ØB、
444,贵由
445,
446,ØC、
447,蒙哥
448,
