,题目
0,一、 单选题（题数：50，共50.0分） 
1,1 
2,下列皈依了伊斯兰教的是：
3,1.0分 
4,窗体顶端
5,
6,A、 
7,忽必烈 
8,B、 
9,阿难答 
10,C、 
11,忙哥剌 
12,D、 
13,察必 
14,正确答案： B 我的答案：B 
15,窗体底端
16,2 
17,总管关中陕西的是什么机构
18,1.0分 
19,窗体顶端
20,
21,A、 
22,宣抚司 
23,B、 
24,从宜所 
25,C、 
26,藩国制 
27,D、 
28,行部 
29,正确答案： A 我的答案：A 
30,窗体底端
31,3 
32,士大夫的本业是什么
33,1.0分 
34,窗体顶端
35,
36,A、 
37,道家 
38,B、 
39,佛教 
40,C、 
41,法家 
42,D、 
43,儒家 
44,正确答案： D 我的答案：D 
45,窗体底端
46,4 
47,哪个教以回民为载体
48,1.0分 
49,窗体顶端
50,
51,A、 
52,基督教 
53,B、 
54,道教 
55,C、 
56,伊斯兰教 
57,D、 
58,佛教 
59,正确答案： C 我的答案：C 
60,窗体底端
61,5 
62,也孙铁木儿是谁的儿子？
63,1.0分 
64,窗体顶端
65,
66,A、 
67,甘麻剌 
68,B、 
69,铁穆耳 
70,C、 
71,海山 
72,D、 
73,爱育黎拔力八达 
74,正确答案： A 我的答案：A 
75,窗体底端
76,6 
77,《新元史》的作者是：
78,1.0分 
79,窗体顶端
80,
81,A、 
82,柯劭忞 
83,B、 
84,多桑 
85,C、 
86,张廷玉 
87,D、 
88,赵尔巽 
89,正确答案： A 我的答案：A 
90,窗体底端
91,7 
92,元朝时期主要的四个市舶司的位置不包括：
93,1.0分 
94,窗体顶端
95,
96,A、 
97,福州 
98,B、 
99,泉州 
100,C、 
101,庆元 
102,D、 
103,上海 
104,正确答案： A 我的答案：A 
105,窗体底端
106,8 
107,回族是西域人以＿为纽带建立起来的民族。
108,1.0分 
109,窗体顶端
110,
111,A、 
112,基督教 
113,B、 
114,伊斯兰教 
115,C、 
116,佛教 
117,D、 
118,犹太教 
119,正确答案： B 我的答案：B 
120,窗体底端
121,9 
122,元朝第二次征伐日本因为什么失败
123,1.0分 
124,窗体顶端
125,
126,A、 
127,人员不足 
128,B、 
129,补给不足 
130,C、 
131,台风 
