,题目
0,一、 单选题（题数：50，共50分）
1,1
2,同盟会成员包括哪些人
3,1.0分
4,A、
5,留学生
6,
7,B、
8,新军士官
9,
10,C、
11,新军士兵
12,
13,D、
14,都是
15,
16,正确答案： D我的答案：D
17,2
18,同盟会改组为国民党是在：
19,1.0分
20,A、
21,1911-10-1
22,
23,B、
24,1912-1-1
25,
26,C、
27,1912-8-1
28,
29,D、
30,1913-1-1
31,
32,正确答案： C我的答案：C
33,3
34,北洋派在警察界的核心成员是
35,1.0分
36,A、
37,冯国璋
38,
39,B、
40,赵秉钧
41,
42,C、
43,梁士诒
44,
45,D、
46,徐世昌
47,
48,正确答案： B我的答案：B
49,4
50,三民主义是谁提出来的
51,1.0分
52,A、
53,黄兴
54,
55,B、
56,宋教仁
57,
58,C、
59,袁世凯
60,
61,D、
62,孙中山
63,
64,正确答案： D我的答案：D
65,5
66,在张謇等人看来，什么是救亡图存的不二法门
67,1.0分
68,A、
69,开国会
70,
71,B、
72,兴行政
73,
74,C、
75,做实业
76,
77,D、
78,新式练兵
79,
80,正确答案： A我的答案：A
81,6
82,孙中山逝世于哪一年
83,1.0分
84,A、
85,1900.0
86,
87,B、
88,1925.0
89,
90,C、
91,1919.0
92,
93,D、
94,1924.0
95,
96,正确答案： B我的答案：B
97,7
98,近代中国办新式企业两大困难
99,1.0分
100,A、
101,技术
102,
103,B、
104,资金
105,
106,C、
107,都不是
108,
109,D、
110,都是
111,
112,正确答案： D我的答案：D
113,8
114,谁出任南京政府临时大总统
115,1.0分
116,A、
117,黄兴
118,
119,B、
120,宋教仁
121,
122,C、
123,袁世凯
124,
125,D、
126,孙中山
127,
128,正确答案： D我的答案：D
129,9
130,下列各项哪一项不属于宋教仁比较突出的研究内容？
131,1.0分
132,A、
133,宪政制度研究
134,
135,B、
136,边疆史地研究
137,
138,C、
139,王阳明学说研究
140,
141,D、
142,俄国革命研究
143,
144,正确答案： D我的答案：D
145,10
146,国共合作宣言中第一条是
147,1.0分
148,A、
149,反对帝国主义
150,
151,B、
152,反对封建主义
153,
154,C、
155,废除不平等条约
156,
157,D、
158,打倒军阀
159,
160,正确答案： C我的答案：C
161,11
162,《比较财政学》是谁翻译的
163,1.0分
164,A、
165,孙中山
166,
167,B、
168,袁世凯
169,
170,C、
171,宋教仁
172,
173,D、
174,毛泽东
175,
176,正确答案： C我的答案：C
177,12
178,清政府实行预备立宪的一个重要措施是在中央成立：
179,1.0分
180,A、
181,资政院
182,
183,B、
184,谘议局
185,
186,C、
187,参政院
188,
189,D、
190,议事局
191,
192,正确答案： A我的答案：A
193,13
194,孙中山经常给人题的字是什么字
195,1.0分
196,A、
197,天下为公
198,
199,B、
200,博爱
201,
202,C、
203,第一项
204,
205,D、
206,前两项
207,
208,正确答案： D我的答案：D
209,14
210,上海的实业家们的理想信念更接近
211,1.0分
212,A、
213,保守派
214,
215,B、
216,革命派
217,
218,C、
219,立宪派
220,
221,D、
222,北洋派
223,
224,正确答案： C我的答案：C
225,15
226,与袁世凯几乎同时，张之洞在南京训练的部队叫做
227,1.0分
228,A、
229,自强军
230,
231,B、
232,奋斗军
233,
234,C、
235,常胜军
236,
237,D、
238,勇敢军
239,
240,正确答案： A我的答案：A
241,16
242,民国初年，谁创办了永利碱厂，对我国化工工业的起步和发展起了非常大的作用。
243,1.0分
244,A、
245,范旭东
246,
247,B、
248,张謇
249,
250,C、
251,张之洞
252,
253,D、
254,卢作孚
255,
256,正确答案： A我的答案：A
257,17
258,民国初年的共和制是指
259,1.0分
260,A、
261,天皇制
262,
263,B、
264,内阁制
265,
266,C、
267,首相制
268,
269,D、
270,美国制的体制
271,
272,正确答案： D我的答案：D
273,18
274,中国近代第一个正式获得美国大学学位的人是
275,1.0分
276,A、
277,张謇
278,
279,B、
280,康有为
281,
282,C、
283,孙中山
284,
285,D、
286,容闳
287,
288,正确答案： D我的答案：D
289,19
290,留日新知识人思想转变的关键三年是哪三年
291,1.0分
292,A、
293,1901-1903
294,
295,B、
296,1903-1905
297,
298,C、
299,1905-1907
300,
301,D、
302,1907-1909
303,
304,正确答案： B我的答案：B
305,20
306,在一战之前，有较强反对帝国主义意识的人不包括：
307,1.0分
308,A、
309,宋教仁
310,
311,B、
312,孙中山
313,
314,C、
315,陈天华
316,
317,D、
318,章太炎
319,
320,正确答案： B我的答案：B
321,21
322,宋教仁在组织国民党的时候的目标是
323,1.0分
324,A、
325,实现以党治国
326,
327,B、
328,实现君主立宪
329,
330,C、
331,实现国共合作
332,
333,D、
334,近期赢得选举
335,
336,正确答案： D我的答案：D
337,22
338,孙中山更倾向于形容他所处的中国为
339,1.0分
340,A、
341,殖民地
342,
343,B、
344,半殖民地
345,
346,C、
347,次殖民地
348,
349,D、
350,半封建
351,
352,正确答案： C我的答案：C
353,23
354,孙中山出生地是在哪里
355,1.0分
356,A、
357,西安
358,
359,B、
360,广东
361,
362,C、
363,云南
364,
365,D、
366,贵州
367,
368,正确答案： B我的答案：B
369,24
370,关于李鸿章，以下错误的是：
371,1.0分
372,A、
373,卒于1901
374,
375,B、
376,字伯涵
377,
378,C、
379,本名章桐
380,
381,D、
382,倡导洋务
383,
384,正确答案： B我的答案：B
385,25
386,宋教仁的议会和政党理念是一种什么样的政治
387,1.0分
388,A、
389,贫民
390,
391,B、
392,精英
393,
394,C、
395,广大人民
396,
397,D、
398,大多数人的
399,
400,正确答案： B我的答案：B
401,26
402,清朝皇帝的退位诏书是谁给草拟的
403,1.0分
404,A、
405,溥仪
406,
407,B、
408,载沣
409,
410,C、
411,袁世凯
412,
413,D、
414,张謇
415,
416,正确答案： D我的答案：D
417,27
418,以下为北洋军阀头目的是：
419,1.0分
420,A、
421,段祺瑞
422,
423,B、
424,曹锟
425,
426,C、
427,吴佩孚
428,
429,D、
430,以上都是
431,
432,正确答案： D我的答案：D
433,28
434,没有斡旋参与东南互保的是：
435,1.0分
436,A、
437,刘坤一
438,
439,B、
440,张之洞
441,
442,C、
443,李鸿章
444,
445,D、
446,端方
447,
448,正确答案： D我的答案：D
449,29
450,义和团什么时候进入的北京
451,1.0分
452,A、
453,1800.0
454,
455,B、
456,1841.0
457,
458,C、
459,1889.0
460,
461,D、
462,1900.0
463,
464,正确答案： D我的答案：D
465,30
466,巴黎和会的召开是在：
467,1.0分
468,A、
469,1915年
470,
471,B、
472,1917年
473,
474,C、
475,1919年
476,
477,D、
478,1921年
479,
480,正确答案： C我的答案：C
481,31
482,谁是格致书院的成员
483,1.0分
484,A、
485,陈少白
486,
487,B、
488,康有为
489,
490,C、
491,孙中山
492,
493,D、
494,容闳
495,
496,正确答案： A我的答案：A
497,32
498,宋教仁最为关注的领土危机是：
499,0.0分
500,A、
501,新疆
502,
503,B、
504,藏南
505,
506,C、
507,外蒙古
508,
509,D、
510,A和C
511,
512,正确答案： D我的答案：C
513,33
514,宋教仁的革命三策中他认为的上策是
515,1.0分
516,A、
517,长江流域各省大举同时设立政府，然后北伐
518,
519,B、
520,在边疆设机密机关
521,
522,C、
523,在边疆省份发动起义
524,
525,D、
526,中央革命
527,
528,正确答案： D我的答案：D
529,34
530,中国新知识分子思想转变的关键三年是
531,1.0分
532,A、
533,1900年-1903年
534,
535,B、
536,1901年-1904年
537,
538,C、
539,1903年-1905年
540,
541,D、
542,1904年-1906年
543,
544,正确答案： C我的答案：C
545,35
546,同治年间的状元是谁
547,1.0分
548,A、
549,李鸿章
550,
551,B、
552,左宗棠
553,
554,C、
555,陆润庠
556,
557,D、
558,张謇
559,
560,正确答案： C我的答案：C
561,36
562,被称为“状元实业家”的是：
563,1.0分
564,A、
565,周学熙
566,
567,B、
568,张之洞
569,
570,C、
571,李鸿章
572,
573,D、
574,张謇
575,
576,正确答案： D我的答案：D
577,37
578,清廷在东三省改建行省后任命的巡抚不包括：
579,1.0分
580,A、
581,徐世昌
582,
583,B、
584,唐绍仪
585,
586,C、
587,朱家宝
588,
589,D、
590,段芝贵
591,
592,正确答案： A我的答案：A
593,38
594,清政府创立的负责鼓励新式企业的机构是（）
595,1.0分
596,A、
597,事业部
598,
599,B、
600,实业部
601,
602,C、
603,商部
604,
605,D、
606,民部
607,
608,正确答案： C我的答案：C
609,39
610,国民党成立时谁是理事长
611,1.0分
612,A、
613,孙中山
614,
615,B、
616,袁世凯
617,
618,C、
619,宋教仁
620,
621,D、
622,毛泽东
623,
624,正确答案： A我的答案：A
625,40
626,孙中山在给谁写的信中指出“我党今后之革命，非以俄为师，断无成就”
627,1.0分
628,A、
629,越飞
630,
631,B、
632,宋教仁
633,
634,C、
635,毛泽东
636,
637,D、
638,蒋介石
639,
640,正确答案： D我的答案：D
641,41
642,关于拒俄运动，以下错误的是：
643,0.0分
644,A、
645,学生运动
646,
647,B、
648,清廷压迫
649,
650,C、
651,唤醒革命
652,
653,D、
654,运动成功
655,
656,正确答案： D我的答案：B
657,42
658,袁世凯初任总统时，政坛上呈三足鼎立之势的不包括
659,1.0分
660,A、
661,同盟会
662,
663,B、
664,立宪派
665,
666,C、
667,革命派
668,
669,D、
670,北洋派
671,
672,正确答案： C我的答案：C
673,43
674,段祺瑞曾任直隶军政司（）总办。
675,1.0分
676,A、
677,督办处
678,
679,B、
680,兵备处
681,
682,C、
683,参谋处
684,
685,D、
686,教练处
687,
688,正确答案： C我的答案：C
689,44
690,咸丰同治年间，清政府曾重用了一批汉族大臣使清廷转危为安，不包括以下哪位？
691,1.0分
692,A、
693,胡仁义
694,
695,B、
696,张謇
697,
698,C、
699,曾国藩
700,
701,D、
702,左宗棠
703,
704,正确答案： B我的答案：B
705,45
706,上书失败以后，孙中山到夏威夷组织成立了：
707,1.0分
708,A、
709,光复会
710,
711,B、
712,同盟会
713,
714,C、
715,兴中会
716,
717,D、
718,华兴会
719,
720,正确答案： C我的答案：C
721,46
722,同盟会成立时的纲领不包括：
723,1.0分
724,A、
725,恢复中华
726,
727,B、
728,创立民国
729,
730,C、
731,平均地权
732,
733,D、
734,实行共和
735,
736,正确答案： D我的答案：D
737,47
738,北洋军分为：
739,1.0分
740,A、
741,三镇
742,
743,B、
744,四镇
745,
746,C、
747,六镇
748,
749,D、
750,八镇
751,
752,正确答案： C我的答案：C
753,48
754,武昌起义后，担任通州革命军总司令的是：
755,1.0分
756,A、
757,铁良
758,
759,B、
760,张詧
761,
762,C、
763,汤寿潜
764,
765,D、
766,程德全
767,
768,正确答案： B我的答案：B
769,49
770,"袁世凯设立的直隶军政司下辖三个处,下列各项中不属于其中的是："
771,1.0分
772,A、
773,参谋处
774,
775,B、
776,兵备处
777,
778,C、
779,教练处
780,
781,D、
782,军械处
783,
784,正确答案： D我的答案：D
785,50
786,袁世凯招军收什么样的人
787,1.0分
788,A、
789,吸过鸦片
790,
791,B、
792,有刑事记录
793,
794,C、
795,年龄23周岁
796,
797,D、
798,好斗之人
799,
800,正确答案： C我的答案：C
801,二、 判断题（题数：50，共50分）
802,1
803,南京临时政府成立后，参议院制定了相当于宪法的《中华民国约法》。
804,1.0分
805,正确答案：×我的答案：×
806,2
807,1906年12月，上海及江浙绅商成立预备立宪公会。
808,1.0分
809,正确答案：√我的答案：√
810,3
811,和内阁制的主张想应，宋教仁主张实行两党制。
812,1.0分
813,正确答案：√我的答案：√
814,4
815,北洋军是清季“兵为将有”的起源。
816,1.0分
817,正确答案：×我的答案：×
818,5
819,清朝灭亡后，张謇和梁启超都倾向于袁世凯。
820,1.0分
821,正确答案：√我的答案：√
822,6
823,预备立宪公会是一个准政党性质的政治结社
824,1.0分
825,正确答案：√我的答案：√
826,7
827,绅士是中国传统社会的精英，是一些有科举功名的或在商办企业中任职的职员。（）
828,0.0分
829,正确答案：×我的答案：√
830,8
831,一个统一的中国，一个具有非常强非常高的社会动员能力的中国是孙中山领导完成的。
832,1.0分
833,正确答案：×我的答案：×
834,9
835,甲午战争前，张謇决意仕途，发愿要从事教育、实业这些事业来救国。（）
836,1.0分
837,正确答案：×我的答案：×
838,10
839,宋教仁代理过国民党理事长
840,1.0分
841,正确答案：√我的答案：√
842,11
843,《汉族侵略史》生动地反映了宋教仁和他那一代人的振兴中华的愿望。（）
844,1.0分
845,正确答案：√我的答案：√
846,12
847,在近代中国大变动的时代，社会主义思想在人们心中还未占有重要的位置。
848,0.0分
849,正确答案：×我的答案：√
850,13
851,中华民国宣告成立是在1912年2月1日。
852,1.0分
853,正确答案：×我的答案：×
854,14
855,袁世凯开创的招牌式民国实际上市独裁的政治体制
856,1.0分
857,正确答案：√我的答案：√
858,15
859,中国的传统中更多的是主权的观念
860,0.0分
861,正确答案：×我的答案：√
862,16
863,革命派人士的大多数都是民族资产阶级出身。
864,1.0分
865,正确答案：×我的答案：×
866,17
867,“中华民国之主权属于国民全体”没能写进《中华民国临时约法》。
868,1.0分
869,正确答案：×我的答案：×
870,18
871,淮军是清季“兵为将有”的起源。
872,1.0分
873,正确答案：×我的答案：×
874,19
875,孙中山比同时代的许多人更多地受到了西方的影响
876,1.0分
877,正确答案：√我的答案：√
878,20
879,张謇也参见了戊戌维新变法活动。
880,1.0分
881,正确答案：×我的答案：×
882,21
883,民族主义是清末民初新知识人的基本意识。
884,1.0分
885,正确答案：√我的答案：√
886,22
887,同盟会的纲领中，没有直接关注当时中国面临的列强瓜分的形势
888,0.0分
889,正确答案：√我的答案：×
890,23
891,清末，只有张謇一位状元来办实业
892,1.0分
893,正确答案：×我的答案：×
894,24
895,北洋系作为政治派别，虽没有统一的政党，但是拥有一致的政治信仰。
896,1.0分
897,正确答案：×我的答案：×
898,25
899,张謇剪除辫发，彻彻底底转向了革命一边，也意味着他代表的立宪派的势力选择支持革命。
900,1.0分
901,正确答案：√我的答案：√
902,26
903,近代中国读书人开始加入工商业精英者的行列，甚至以工商业活动的成功为荣。这一转变是从张謇开始的。
904,1.0分
905,正确答案：√我的答案：√
906,27
907,清朝推行新政时，张之洞与刘坤一曾联名上奏《川楚会奏变法三折》而闻名全国。
908,0.0分
909,正确答案：×我的答案：√
910,28
911,孙中山是中国历史上第一个临时大总统。
912,1.0分
913,正确答案：√我的答案：√
914,29
915,孙中山还提出了节制资本和国家社会主义等思想。
916,1.0分
917,正确答案：√我的答案：√
918,30
