,题目
0,
1,得分：99 
2,一.单选题（50题，50.0分）
3,1、在宋教仁涉猎的书籍中，读（）是为了增强个人修养，为革命成功作贡献。
4,A.王阳明及心理学著作
5,B.经世之学
6,C.宪政思想
7,D.财政学
8,1.0 分
9,我的答案：A
10,2、新三民主义的内容不包括（）。
11,A.联俄
12,B.联共
13,C.团结知识分子
14,D.扶助农工
15,1.0 分
16,我的答案：C
17,3、孙中山在不同场合讲的话自相矛盾，是由于（）。
18,A.他的政治思想不坚定
19,B.他讲话是随性而发
20,C.为了争取不同势力的支持
21,D.他不擅长权术
22,1.0 分
23,我的答案：C
24,4、1904-1905年发生的日俄战争是为了争夺（）权益而发生的战争。
25,A.朝鲜
26,B.中国东北
27,C.日本和俄国
28,D.朝鲜和中国东北
29,1.0 分
30,我的答案：D
31,5、1902年12月，上海和江浙的绅商们成立了预备立宪公会，（）被选举为会长。
32,A.郑孝胥
33,B.张謇
34,C.汤寿潜
35,D.梁启超
36,1.0 分
37,我的答案：A
38,6、1894、1895这两年期间加入兴中会的人员中，（）占了绝大多数。
39,A.工人
40,B.会党
41,C.商人
42,D.农民
43,1.0 分
44,我的答案：C
45,7、（）年邮传部成立铁路总局，梁士诒任铁路局局长。
46,A.1907
47,B.1906
48,C.1908
49,D.1905
50,1.0 分
51,我的答案：A
52,8、孙中山提出的“五族共和”，包括哪五个民族？（）
53,A.汉苗蒙回藏
54,B.汉满蒙回藏
55,C.汉满蒙回壮
56,D.汉满蒙维藏
57,1.0 分
58,我的答案：B
59,9、君主制结束后，第一个基本上统治了全国的国家领导人是（）。
60,A.袁世凯
61,B.孙中山
62,C.黎元洪
63,D.冯国璋
64,1.0 分
65,我的答案：A
66,10、毛泽东说，“讲到运输工业，不能忘记（）”。
67,A.张之洞
68,B.张謇
69,C.龙璋
70,D.卢作孚
71,0.0 分
72,我的答案：A
73,11、在西方人看来，实行宪政的主要目的是（）。
74,A.维护国家政治的稳定
75,B.保证人民的参政权
76,C.保障人民的自由
77,D.限制政府的权力
78,1.0 分
79,我的答案：C
80,12、（）在共和立宪国里是政治的真正的主体。
81,A.政党
82,B.议会
83,C.政府
84,D.国民
85,1.0 分
86,我的答案：A
87,13、宋教仁主张两党制，他认为1912年以后政治上的两党是（）和（）。
88,A.立宪派、北洋派
89,B.国民党、北洋派
90,C.国民党、立宪派
91,D.立宪派、进步党
92,1.0 分
93,我的答案：C
94,14、袁世凯统练的新军的称“北洋常备军”，简称（）。
95,A.常备军
96,B.新建陆军
97,C.北洋军
98,D.新军
99,1.0 分
100,我的答案：C
101,15、甲午战争爆发时，正值慈禧太后（）大寿。
102,A.60
103,B.50
104,C.80
105,D.70
106,1.0 分
107,我的答案：A
108,16、甲午战争爆发于哪一年？（）
109,A.1895
110,B.1893
111,C.1894
112,D.1892
113,1.0 分
114,我的答案：C
115,17、以张謇为代表的立宪派，认为（）只适合推翻清政府，而（）才适合建设新的中国。
116,A.革命派、袁世凯
117,B.革命派、立宪派
118,C.袁世凯、立宪派
119,D.立宪派、袁世凯
120,1.0 分
121,我的答案：A
122,18、1913年初国会大选后，（）希望组织政党内阁却被袁世凯暗杀。
123,A.梁启超
124,B.王宠惠
125,C.蔡元培
126,D.宋教仁
127,1.0 分
128,我的答案：D
129,19、毛泽东和邓小平分别完成了（）和（）的历史使命。
130,A.破坏旧制度、统一国家
131,B.破坏旧制度、建设国家
132,C.统一国家、建设国家
133,D.统一国家、改革旧制度
134,1.0 分
135,我的答案：C
136,20、香港兴中会成立于（）。
137,A.1894年
138,B.1895年
139,C.1896年
140,D.1897年
141,1.0 分
142,我的答案：B
143,21、北洋派的核心成员不包括（）。
144,A.张謇
145,B.徐世昌
146,C.杨士骧
147,D.唐绍仪
148,1.0 分
149,我的答案：A
150,22、清末新政的模范省包括（）。
151,A.湖北省、湖南省
152,B.直隶省、湖北省
153,C.湖北省、山东省
154,D.山东省、直隶省
155,1.0 分
156,我的答案：B
157,23、在清政府推行（）的背景下，全国的新绅士、新名流等形成了全国性的集结，并开始开展各种运动。
158,A.洋务运动
159,B.预备立宪
160,C.新政
161,D.维新运动
162,1.0 分
163,我的答案：B
164,24、国民党的政治信仰的基础是（）。
165,A.个人感情
166,B.个人关系
167,C.三民主义
168,D.政治权术
169,1.0 分
170,我的答案：C
171,25、1912年（）月同盟会改组为国民党。
172,A.7
173,B.8
174,C.9
175,D.6
176,1.0 分
177,我的答案：B
