,题目
0,一、单选题
1,
2,1
3,中国影响东南亚的因素不包括()。
4,A、
5,中印文化交流
6,B、
7,移民
8,C、
9,贸易
10,D、
11,教育
12,我的答案：D
13,2
14,伊斯兰教在如下哪个东南亚国家的政治性相对较弱?()
15,A、
16,印尼
17,B、
18,文莱
19,C、
20,缅甸
21,D、
22,菲律宾
23,我的答案：C
24,3
25,爪哇人的主要食品是()及其各种制品。
26,A、
27,稻米
28,B、
29,豆类
30,C、
31,海鲜
32,D、
33,面粉
34,我的答案：A
35,4
36,越南人把长()米的漂稻称为魔鬼稻。
37,A、
38,2-3
39,B、
40,3.5-4
41,C、
42,5-6
43,D、
44,7或8
45,我的答案：D
46,5
47,"下列国家中,属于穆斯林信徒最多、穆斯林国家中领土最大的是()。"
48,A、
49,新加坡
50,B、
51,印度尼西亚
52,C、
53,阿拉伯
54,D、
55,柬埔寨
56,我的答案：B
57,6
58,文莱是一个信奉()的国家。
59,A、
60,伊斯兰教
61,B、
62,天主教
63,C、
64,基督教
65,D、
66,佛教
67,我的答案：A
68,7
69,第一本关于东南亚地区通史的一本著作是()。
70,A、
71,《东南亚通史》
72,B、
73,《东南亚史》
74,C、
75,《诸蕃志》
76,D、
77,《东南亚历史发展》
78,我的答案：B
79,8
80,用转盘制陶的技术什么时候传入东南亚国家?()
81,A、
82,秦末汉初
83,B、
84,明清
85,C、
86,唐宋
87,D、
88,隋唐
89,我的答案：A
90,9
91,"下列选项中,由东南亚传入中国的事物是()。"
92,A、
93,番薯
94,B、
95,荔枝
96,C、
97,烟叶
98,D、
99,A和C
100,我的答案：D
101,10
102,铜鼓文化的核心是它的()。
103,A、
104,鼓面
105,B、
106,纹饰
107,C、
108,鼓腰
109,D、
110,鼓耳
111,我的答案：B
112,11
113,《爪哇史颂》是麻喏巴歇宫廷诗人普拉潘查于1365年写的一本()史诗。
114,A、
115,古爪哇文
116,B、
117,喃字
118,C、
119,梵文
120,D、
121,汉文
122,我的答案：C
123,12
124,"澜沧江-湄公河各国是最早培育水稻和种植水稻的地区,可以追溯到()年前。"
125,A、
126,5000
127,B、
128,4500
129,C、
130,3500
131,D、
132,3000
133,我的答案：C
134,13
135,()是进入东南亚地区最晚的宗教。
136,A、
137,天主教
138,B、
139,基督教
140,C、
141,伊斯兰教
142,D、
143,印度教
144,我的答案：A
145,14
146,扎本族旧石器文化位于()。
147,A、
