,题目
0,
1,一、
2,1 
3,耶稣的教导中指出，作为一个基督徒，有四件事特别重要。其中不包括（）。（1.0分）
4,1.0 分 
5,A、 
6,有味的盐 
7,B、 
8,世上的光 
9,C、 
10,山上的城 
11,D、 
12,水中的舟 
13,正确答案：D 
14,2 
15,彼德拉克崇尚的三个英雄不包括（）。（1.0分）
16,1.0 分 
17,A、 
18,凯撒 
19,B、 
20,亚历山大 
21,C、 
22,所罗门 
23,D、 
24,西塞欧 
25,正确答案：C 
26,3 
27,斯特耶认为，欧洲的封建主义从政治上来理解有三大特征，其中不包括（）。（1.0分）
28,0.0 分 
29,A、 
30,地方割据 
31,B、 
32,政权掌握在私人手里 
33,C、 
34,军队通过契约掌握在私人手里 
35,D、 
36,教会势力无限制扩张 
37,正确答案：A 
38,4 
39,彼德拉克发动文艺复兴是通过（）的方式。（1.0分）
40,1.0 分 
41,A、 
42,选举 
43,B、 
44,演说 
45,C、 
46,写信 
47,D、 
48,写书 
49,正确答案：C 
50,5 
51,1602年出版的《文功武略之光荣》对贵族做出了定义。其作者是（）。（1.0分）
52,1.0 分 
53,A、 
54,威廉•塞伽 
55,B、 
56,亨利•塞伽 
57,C、 
58,理查德三世 
59,D、 
60,威廉二世 
61,正确答案：A 
62,6 
63,但丁认为，为了能够进入天堂人要竭尽所能。其关键是要有（）。（1.0分）
64,1.0 分 
65,A、 
66,善行 
67,B、 
68,诚心 
69,C、 
70,美德 
71,D、 
72,信仰 
73,正确答案：C 
74,7 
75,尼采超人的艺术哲学的原形来自于（）。（1.0分）
76,1.0 分 
77,A、 
78,古希腊艺术 
79,B、 
80,古罗马艺术 
81,C、 
82,苏格拉底思想 
83,D、 
84,柏拉图主义 
85,正确答案：D 
86,8 
87,希腊人看重的是人的（）。（1.0分）
88,1.0 分 
89,A、 
90,生命处境 
91,B、 
92,物质处境 
93,C、 
94,社会处境 
95,D、 
96,文化处境 
97,正确答案：D 
98,9 
99,奥德修斯在战术上采用的是（）。（1.0分）
100,1.0 分 
101,A、 
102,浪漫主义 
103,B、 
104,人文主义 
105,C、 
106,英雄主义 
107,D、 
108,现实主义 
109,正确答案：D 
110,10 
111,与特洛伊战争有关的三位女神不包括（）。（1.0分）
112,1.0 分 
113,A、 
114,雅典娜 
115,B、 
116,赫拉 
117,C、 
118,阿弗洛狄忒 
119,D、 
120,欧芙洛绪涅 
121,正确答案：D 
122,11 
123,关于农奴制与奴隶制，说法正确的是（）。
124,（1.0分）
125,1.0 分 
126,A、 
127,
128,奴隶社会的奴隶制等同于封建社会的农奴制
129,
130,B、 
131,
132,相较于奴隶制，农奴制的超经济强制有所增强
133,
134,C、 
135,
136,农奴不能随意屠杀，但是可以被买卖
137,
138,D、 
139,
140,农奴的自由度和奴隶相差无几
141,
142,正确答案：C 
143,12 
144,不是近代政治的要求的是（）。（1.0分）
145,1.0 分 
146,A、 
147,国家统一 
148,B、 
149,国家有主权 
150,C、 
151,完善的政府机构 
152,D、 
153,消灭国王或皇帝 
154,正确答案：D 
155,13 
156,路德认为，人与上帝交流的方式是（）。（1.0分）
157,1.0 分 
158,A、 
159,阅读《圣经》 
160,B、 
161,通过教会 
162,C、 
163,自行祈祷 
164,D、 
165,寻找机缘 
166,正确答案：A 
167,14 
168,王权的强化导致国王和政府要求收回贵族手中的三种权力。这三种权利不包括（）。（1.0分）
169,1.0 分 
170,A、 
171,行政权 
172,B、 
173,军事权 
174,C、 
175,经济权 
176,D、 
177,司法权 
178,正确答案：C 
179,15 
180,日耳曼人的扩张的信念主要来源于（）。（1.0分）
181,1.0 分 
182,A、 
183,对宗教的虔诚 
184,B、 
185,理想的促进作用 
186,C、 
187,罗马帝国的衰败 
188,D、 
189,对功利的追求 
190,正确答案：C 
191,16 
192,欧洲与美国相比，更多的是（）。（1.0分）
193,1.0 分 
194,A、 
195,政治上的前沿性 
196,B、 
197,科技上的超前性 
198,C、 
199,军事上的强大 
200,D、 
201,文化上的凝聚力 
202,正确答案：D 
203,17 
204,马丁•路德认为，基督教的教义标准应该以（）为准。（1.0分）
205,1.0 分 
206,A、 
207,教会教义 
208,B、 
209,《圣经》 
210,C、 
211,民众信仰 
212,D、 
213,社会需求 
214,正确答案：B 
215,18 
216,意大利的历史地位不包括（）。（1.0分）
217,1.0 分 
218,A、 
219,古罗马帝国的中心 
220,B、 
221,罗马教会的中心 
222,C、 
223,文艺复兴的起源地 
224,D、 
225,欧盟的起源地 
226,正确答案：D 
227,19 
228,欧洲文明的特性不包括（）。（1.0分）
229,1.0 分 
230,A、 
231,提高质量 
232,B、 
233,充分利用文学艺术的宝库 
234,C、 
235,重建“欧洲中心论” 
236,D、 
237,强调文明要素的均衡发展和同步发展 
238,正确答案：C 
239,20 
240,彼德拉克为文艺复兴做出的贡献不包括（）。（1.0分）
241,1.0 分 
242,A、 
243,全新的历史观 
244,B、 
245,注重事实 
246,C、 
247,创立世俗的教育 
248,D、 
249,完全否定君主制 
250,正确答案：D 
251,21 
252,关于欧洲的贵族，说法错误的是（）。（1.0分）
253,1.0 分 
254,A、 
255,比较独立，不完全依附于朝廷 
256,B、 
257,基本上是朝廷的官僚 
258,C、 
259,贵族的权力很大 
260,D、 
261,较为制度化 
262,正确答案：B 
263,22 
264,但丁创作能力的来源不包括（）。（1.0分）
265,1.0 分 
266,A、 
267,生活的经验 
268,B、 
269,广泛的阅读 
270,C、 
271,知识的渊博 
272,D、 
273,丰富的想象 
274,正确答案：B 
275,23 
276,布克哈特提出的“新人”身上有四个主义，其中不包括（）。（1.0分）
277,1.0 分 
278,A、 
279,人文主义 
280,B、 
281,理性主义 
282,C、 
283,理想主义 
284,D、 
285,个人主义 
286,正确答案：C 
287,24 
288,文艺复兴之后，人们最终追求的是（）。（1.0分）
289,1.0 分 
290,A、 
291,自由 
292,B、 
293,解放 
294,C、 
295,秩序 
296,D、 
297,理性 
298,正确答案：C 
299,25 
300,等级贵族形成的原因不包括（）。（1.0分）
301,1.0 分 
302,A、 
303,封建财产向私有财产转化 
304,B、 
305,地方割据加剧 
306,C、 
307,不再分封地位低下的人为骑士 
308,D、 
309,贵族的权力被限制 
310,正确答案：D 
311,26 
312,人文主义者认为中世纪知识体系存在问题的原因不包括（）。（1.0分）
313,1.0 分 
314,A、 
315,工匠缺乏实验 
316,B、 
317,神职人员忽视经世致用的学问 
318,C、 
319,学校过分专注于培养哲学家 
320,D、 
321,社会风气侧重实用而非理论 
322,正确答案：D 
323,27 
324,希腊文化认为，最为困难的是表现（）。（1.0分）
325,1.0 分 
326,A、 
327,触觉 
328,B、 
329,味觉 
330,C、 
331,心灵的感觉 
332,D、 
333,听觉 
334,正确答案：C 
335,28 
336,以希腊文化的角度来看，罗马文化主要的问题是（）。（1.0分）
337,1.0 分 
338,A、 
339,俗 
340,B、 
341,无用 
342,C、 
343,实用 
344,D、 
345,功利 
346,正确答案：A 
347,29 
348,彼德拉克认为，（）是最大的美德。（1.0分）
349,1.0 分 
350,A、 
351,让人们吃饱饭 
352,B、 
353,让孩子有学上 
354,C、 
355,让农民有地种 
356,D、 
357,让人们收入多 
358,正确答案：A 
359,30 
