,题目
0,得分：94 已完成
1,一.单选题（50题，50.0分）
2,1、（）是商周时期国家王权的象征。
3,A.罍
4,B.盨
5,C.鼎
6,D.甑
7,1.0 分
8,正确答案：C
9,我的答案：C
10,2、（）不是《墨子?所染》中提到的四位圣王之一。
11,A.武王
12,B.厉王
13,C.大禹
14,D.舜
15,1.0 分
16,正确答案：B
17,我的答案：B
18,3、玄学思辨的哲学精神的思维进路是（）。
19,A.存在本体-存在属性-色彩属性
20,B.存在本体-色彩属性-存在属性
21,C.色彩属性-存在属性-存在本体
22,D.色彩属性-存在本体-存在属性
23,1.0 分
24,正确答案：C
25,我的答案：C
26,4、下列成语中出自《旅獒》的是（）。
27,A.玩忽职守
28,B.玩岁愒时
29,C.玩世不恭
30,D.玩物丧志
31,1.0 分
32,正确答案：D
33,我的答案：D
34,5、章句训诂要解释（）。
35,A.字词
36,B.句子
37,C.章
38,D.以上都正确
39,1.0 分
40,正确答案：D
41,我的答案：D
42,6、《汉书》提到“墨家者流，盖出于（）之守”。
43,A.高庙
44,B.法庙
45,C.清庙
46,D.宗庙
47,1.0 分
48,正确答案：C
49,我的答案：C
50,7、“集谛”中的“业”不包括（）。
51,A.意
52,B.口
53,C.心
54,D.身
55,1.0 分
56,正确答案：C
57,我的答案：C
58,8、“满招损，谦受益”出自（）。
59,A.《周易》
60,B.《论语》
61,C.《道德经》
62,D.《墨子》
63,1.0 分
64,正确答案：A
65,我的答案：A
66,9、合同异学派的命题不包括（）。
67,A.日方中方睨
68,B.物方生方死
69,C.天与地卑
70,D.山与木平
71,1.0 分
72,正确答案：D
73,我的答案：D
74,10、（）提出“世事明洞皆学问，人情练达即文章”的观点。
75,A.《三国演义》
76,B.《西游记》
77,C.《红楼梦》
78,D.《水浒传》
79,1.0 分
80,正确答案：C
81,我的答案：C
82,11、纵横家的产生是受到当时掌管（）的官员的影响。（）
83,A.向下级传递国家政策
84,B.管理基层组织
85,C.朝觐、聘问、出使
86,D.教育、卫生、文化
87,1.0 分
88,正确答案：C
89,我的答案：C
90,12、下列文字中属于描述小说家的是（）。
91,A.兼儒、墨，合名、法
92,B.街谈巷语，道听途说者
93,C.盖出于清庙之守
94,D.敬授民时，此其所长也
95,1.0 分
96,正确答案：B
97,我的答案：B
98,13、《史记?五帝本纪》中记载（）“顺天地之纪”。
99,A.颛顼
100,B.黄帝
101,C.尧
102,D.喾
103,1.0 分
104,正确答案：B
105,我的答案：B
106,14、（）记载黄帝“治五气，蓺五种，抚万民，度四方”。
