,题目
0,1
1,公德的概念是谁首先提出来的（）。（1.0分）
2,1.0分
3,窗体顶端
4,A、
5,但丁
6,
7,B、
8,薄伽丘
9,
10,C、
11,彼特拉克
12,
13,D、
14,布鲁尼
15,
16,窗体底端
17,正确答案： C我的答案：C
18,2
19,但丁的作品不包括（）。（1.0分）
20,1.0分
21,窗体顶端
22,A、
23,《神曲》
24,
25,B、
26,《论世界帝国》
27,
28,C、
29,《新生》
30,
31,D、
32,《阿非利加》
33,
34,窗体底端
35,正确答案： D我的答案：D
36,3
37,下列对作品内容的描述，错误的是（）。（1.0分）
38,1.0分
39,窗体顶端
40,A、
41,《神曲》是对腐败社会扭曲了的人性的深刻揭露
42,
43,B、
44,《十日谈》批判了各类到的腐败现象
45,
46,C、
47,《信念与对应一致》对在命运摆弄下的人物的无能为力做出了自己的劝告和帮助
48,
49,D、
50,《新生》表现了文艺复兴时期的社会繁荣
51,
52,窗体底端
53,正确答案： D我的答案：D
54,4
55,下列关于布克哈特在《意大利文艺复兴时期的文化》一书中的提出的个人主义的描述错误的是（）。（1.0分）
56,1.0分
57,窗体顶端
58,A、
59,独立性
60,
61,B、
62,鲜明的个性
63,
64,C、
65,尊重人的隐私权
66,
67,D、
68,个人主义
69,
70,窗体底端
71,正确答案： D我的答案：D
72,5
73,但丁的哪一部作品可以看出他是道德论的集大成者（）。（1.0分）
74,1.0分
75,窗体顶端
76,A、
77,《神曲》
78,
79,B、
80,《君主论》
81,
82,C、
83,《秘密》
84,
85,D、
86,《新生》
87,
88,窗体底端
89,正确答案： A我的答案：A
90,6
91,“人是上帝的相像”，出自于（）。（1.0分）
92,1.0分
93,窗体顶端
94,A、
95,《十日谈》
96,
97,B、
98,《神曲》
99,
100,C、
101,《新生》
102,
103,D、
104,《圣经》
105,
106,窗体底端
107,正确答案： D我的答案：D
108,7
109,下列描述错误的是（）。（1.0分）
110,1.0分
111,窗体顶端
112,A、
113,从1300年到1375年，也就是但丁 彼特拉克和薄伽丘的时期，提倡美德和德治
114,
115,B、
116,1375年到1450年为第二个时期，提倡公共利益，要求建立自由的公民共和国
117,
118,C、
119,从1450年到1530年，君主制在欧洲占支配地位
120,
121,D、
122,公民参与政治的思想萌芽于欧洲启蒙运动
123,
124,窗体底端
125,正确答案： D我的答案：D
126,8
127,下列关于文艺复兴的描述，错误的是（）。（1.0分）
128,1.0分
129,窗体顶端
130,A、
131,1300年到1375年是文艺复兴运动的发生期
132,
133,B、
134,1450年到1530年是文艺复兴政治思想的发展期
135,
136,C、
137,1530年以后是文艺复兴的转型期
138,
139,D、
140,早期文艺复兴是指文艺复兴的发展期
141,
142,窗体底端
143,正确答案： D我的答案：D
144,9
145,市民人文主义一词的提出者是（）。（1.0分）
146,1.0分
147,窗体顶端
148,A、
149,马基雅维利
150,
151,B、
152,汉斯·巴伦
153,
154,C、
155,伊拉斯谟
156,
157,D、
158,托马斯·莫尔
159,
160,窗体底端
161,正确答案： B我的答案：B
162,10
163,“没有什么要比让一个饥饿的贫民变得不饥饿更为重要的了”这句话出自于（）。（1.0分）
164,1.0分
165,窗体顶端
166,A、
167,维基康恩
168,
169,B、
170,薄伽丘
171,
172,C、
173,维吉尔
174,
175,D、
176,但丁
177,
178,窗体底端
179,正确答案： A我的答案：A
180,11
181,最先爆发文艺复兴运动的国家是（）。（1.0分）
182,1.0分
183,窗体顶端
184,A、
185,意大利
186,
187,B、
188,德国
189,
190,C、
191,英国
192,
193,D、
194,法国
195,
196,窗体底端
197,正确答案： A我的答案：A
198,12
199,文艺复兴时期的艺术作品最鲜明的特色是（）。（1.0分）
200,1.0分
201,窗体顶端
202,A、
203,色彩明艳
204,
205,B、
206,主题宏大
207,
208,C、
209,罗马传统
210,
211,D、
212,气势恢宏
213,
214,窗体底端
215,正确答案： A我的答案：A
216,13
217,关于《神曲》，下列描述错误的是（）。（1.0分）
218,1.0分
219,窗体顶端
220,A、
221,《神曲》的作者是但丁
222,
223,B、
224,《神曲》讲的是一个人怎么脱离地狱，怎么走到炼狱，怎么上升到天堂的故事
225,
226,C、
227,但丁自己认为这部书是一个悲剧
228,
229,D、
230,《神曲》为当时社会的上层人士所接受
231,
232,窗体底端
233,正确答案： C我的答案：C
234,14
235,下列哪一部作品非彼特拉克所作（）。（1.0分）
236,1.0分
237,窗体顶端
238,A、
239,《隐喻的生活》
240,
241,B、
242,《秘密》
243,
244,C、
245,《阿非利加》
246,
247,D、
248,《迦太基》
249,
250,窗体底端
251,正确答案： D我的答案：D
252,15
253,但丁认为美德和德治有共同之处，在于（）。（1.0分）
254,1.0分
255,窗体顶端
256,A、
257,理想社会原型
258,
259,B、
260,古希腊罗马传统
261,
262,C、
263,保护人民，促进社会公共利益
264,
265,D、
266,改造社会的功能
267,
268,窗体底端
269,正确答案： C我的答案：C
270,16
271,下列说法错误的是（）。（1.0分）
272,1.0分
273,窗体顶端
274,A、
275,但丁认为政府要按照神的意志行事
276,
277,B、
278,但丁提出了建立世界帝国的理想
279,
280,C、
281,但丁认为政府只有服从理性才能实现人类的目标
282,
283,D、
284,但丁反对法治
285,
286,窗体底端
287,正确答案： D我的答案：D
288,17
289,下列描述错误的是（）。（1.0分）
290,1.0分
291,窗体顶端
292,A、
293,文艺复兴提出了文化兴国的观念
294,
295,B、
296,宗教改革以政府为社会的核心，解决了国家与教会之间的矛盾
297,
298,C、
299,启蒙运动宣扬理性和人权
300,
301,D、
302,政治运动应该先行于文化运动
303,
304,窗体底端
305,正确答案： D我的答案：D
306,18
307,关于马基雅维利的政治学，下列描述错误的是（）。（1.0分）
308,1.0分
309,窗体顶端
310,A、
311,注重现实
312,
313,B、
314,理性的
315,
316,C、
317,浪漫唯美
318,
319,D、
320,客观的
321,
322,窗体底端
323,正确答案： C我的答案：C
324,19
325,托马斯·莫尔的建立人民国家的设想具有很多新特点，下列描述错误的是（）（1.0分）
326,1.0分
327,窗体顶端
328,A、
329,他主张废除私有制度
330,
331,B、
332,他主张发展生产创造财富
333,
334,C、
335,他主张要让民众受教育
336,
337,D、
338,他认为宗教阻碍了社会的发展
339,
340,窗体底端
341,正确答案： D我的答案：D
342,20
343,下列关于新柏拉图主义的描述，错误的是（）。（1.0分）
344,1.0分
345,窗体顶端
346,A、
347,新柏拉图主义认为世间万物只是真正完美的存在的不成功的复制品
348,
349,B、
350,新柏拉图主义的发展导致人们追求神秘主义
351,
352,C、
353,新柏拉图主义强调按照原型来改造世界
354,
355,D、
356,新柏拉图主义主要靠知识和实践来获得
357,
358,窗体底端
359,正确答案： D我的答案：D
360,21
361,以下选项符合布克哈特《意大利文艺复兴时期的文化》一书的观点是（）。（1.0分）
362,1.0分
363,窗体顶端
364,A、
365,文艺复兴是近代社会开端
366,
367,B、
368,启蒙运动是近代社会开端
369,
370,C、
371,资本主义革命是近代社会的开端
372,
373,D、
374,新大陆的发现是近代社会的开端
375,
376,窗体底端
377,正确答案： A我的答案：A
378,22
379,下列关于但丁身份的描述，错误的是（）。（1.0分）
380,1.0分
381,窗体顶端
382,A、
383,执政官
384,
385,B、
386,贵族
387,
388,C、
389,流放者
390,
391,D、
392,平民
393,
394,窗体底端
395,正确答案： D我的答案：D
396,23
397,哥特式建筑是什么时期的艺术风格（）。（1.0分）
398,1.0分
399,窗体顶端
400,A、
401,文艺复兴时期
402,
403,B、
404,中世纪
405,
406,C、
407,古罗马
408,
409,D、
410,古希腊
411,
412,窗体底端
413,正确答案： B我的答案：B
414,24
415,城邦的特点，下列描述错误的是（）。（1.0分）
416,1.0分
417,窗体顶端
418,A、
419,具有完整意义上的独立性
420,
421,B、
422,经济上能够自给自足
423,
424,C、
425,城邦的统治者是通过民主程序选举出来的
426,
427,D、
428,执政官是没有期限限制的
429,
430,窗体底端
431,正确答案： D我的答案：D
432,25
433,布克哈特用来界定新人的一个重要的标准是（）。（1.0分）
434,1.0分
435,窗体顶端
436,A、
437,世俗主义
438,
439,B、
440,人道主义
441,
442,C、
443,人文主义
444,
445,D、
446,理性主义
447,
448,窗体底端
449,正确答案： D我的答案：D
450,26
451,“家庭的原则是爱，社会的原则是优秀”，主张将政治学与伦理学分开的是（）。（1.0分）
452,1.0分
453,窗体顶端
454,A、
455,但丁
456,
457,B、
458,伊拉斯谟
459,
460,C、
461,马基雅维利
462,
463,D、
464,彼特拉克
465,
466,窗体底端
467,正确答案： C我的答案：C
468,27
469,理性主义认为（）。（1.0分）
470,1.0分
471,窗体顶端
472,A、
473,知识就是力量
474,
475,B、
476,知识来源于神
477,
478,C、
479,知识是不可靠的
480,
481,D、
482,知识不具有实用性
483,
484,窗体底端
485,正确答案： A我的答案：A
486,28
487,从人文主义层面上讲，人的根本目的性是（）。（1.0分）
488,1.0分
489,窗体顶端
490,A、
491,建立起一个人间天国
492,
493,B、
494,修身养性
495,
496,C、
497,向神靠拢
498,
499,D、
500,将人道主义发扬光大
501,
502,窗体底端
503,正确答案： A我的答案：A
504,29
505,下列关于文艺复兴时期社会危机的描述，错误的是（）。（1.0分）
506,1.0分
507,窗体顶端
508,A、
509,黑死病
510,
511,B、
512,封建制度的崩溃
513,
514,C、
515,中世纪领主附庸制度的衰落
516,
517,D、
518,资本主义制度
519,
520,窗体底端
