,题目
0,一、 单选题（题数：50，共50.0分）
1,1
2,东晋十六国时期相对西晋时期而言，州的数目（），辖地逐步（）。（1.0分）
3,1.0分
4,窗体顶端
5,A、
6,减少，增大
7,B、
8,减少，减少
9,C、
10,增多，减少
11,D、
12,增多，增多
13,窗体底端
14,正确答案： C我的答案：C
15,答案解析：
16,2
17,民国初年废府，重划道区，实行（）三级制。（1.0分）
18,1.0分
19,窗体顶端
20,A、
21,省-县-道
22,B、
23,省-道-县
24,C、
25,州-道-县
26,D、
27,州-县-道
28,窗体底端
29,正确答案： B我的答案：B
30,答案解析：
31,3
32,汉朝时中国疆域和今天中国疆域相比，（）已经成为汉朝时的中国疆域。（1.0分）
33,1.0分
34,窗体顶端
35,A、
36,西藏高原
37,B、
38,蒙古高原
39,C、
40,东北地区
41,D、
42,朝鲜半岛
43,窗体底端
44,正确答案： D我的答案：D
45,答案解析：
46,4
47,关于中国的历史地理学，下列说法不正确的是（）。（1.0分）
48,1.0分
49,窗体顶端
50,A、
51,历史文献延续时间长
52,B、
53,历史文献覆盖范围广
54,C、
55,历史文献保存情况不好
56,D、
57,历史文献记录内容丰富
58,窗体底端
59,正确答案： C我的答案：C
60,答案解析：
61,5
62,北宋时期，（）并没有被统一成为其疆域。（1.0分）
63,1.0分
64,窗体顶端
65,A、
66,大理
67,B、
68,吐蕃
69,C、
70,西夏
71,D、
72,以上都是
73,窗体底端
74,正确答案： D我的答案：D
75,答案解析：
76,6
77,“中国”二字，经过考古发现，最早出现在（）的铭文上。（1.0分）
78,1.0分
79,窗体顶端
80,A、
81,四羊方尊
82,B、
83,大克鼎
84,C、
85,何尊
86,D、
87,曾侯乙尊盘
88,窗体底端
89,正确答案： C我的答案：C
90,答案解析：
91,7
92,关于中国历史地理学的学科发展历程，下列说法中正确的是（）。（1.0分）
93,1.0分
94,窗体顶端
95,A、
96,由中国传统沿革地理发展而来
97,B、
98,从西方传入近代地理学初步形成体系
99,C、
100,边疆危机、经济建设等现实需要推动了其发展和转化
101,D、
102,以上都对
103,窗体底端
104,正确答案： D我的答案：D
105,答案解析：
106,8
