,题目
0,
1,一、 单选题（题数：50，共 50.0 分）
2,1最早考察中国西部后提出“丝绸之路”这一概念的地理学家是（）。（1.0分）1.0 分
3,A、英国人
4,B、中国人
5,C、法国人
6,D、德国人
7,正确答案： D 我的答案：D
8,
9,2东汉末年，农民起义此起彼伏，为镇压起义，刺史的权力发生了哪些变化？（）（1.0分）1.0 分
10,A、亲民事
11,B、领兵马
12,C、成为最高行政长官
13,D、以上都对
14,正确答案： D 我的答案：D
15,
16,3南北朝时期，北方和南方都自称中国，其中北方称南方为（），南方称北方为（）。（1.0分）1.0 分
17,A、南蛮，北胡
18,B、南蛮，索虏
19,C、岛夷，索虏
20,D、岛夷，北胡
21,正确答案： C 我的答案：C
22,
23,4西汉刺史制度对刺史的职权有明确的规定，即（）。（1.0分）1.0 分
24,A、“奉诏四条察州”
25,B、“奉诏五条察州”
26,C、“奉诏六条察州”
27,D、“奉诏七条察州”
28,正确答案： C 我的答案：C
29,
30,5下列选项中，属于历史地理学的学科构成的是（）。（1.0分）1.0 分
31,A、历史人文（社会）地理
32,B、历史自然地理
33,C、历史地理信息系统
34,D、以上都对
35,正确答案： D 我的答案：D
36,
37,6现在的（）在宋朝时期被称为“南京”。（1.0分）1.0 分
38,A、开封
39,B、扬州
40,C、商丘
41,D、西安
42,正确答案： C 我的答案：C
43,
44,7清朝，（）下令在台湾设立台湾府，并归福建省管辖。（1.0分）1.0 分
45,A、康熙
46,B、乾隆
47,C、雍正
48,D、咸丰
49,正确答案： A 我的答案：A
50,
51,8阿斯塔那古墓群所发现的遗骸证明两千多年前（）到达过新疆地区。（1.0分）1.0 分
52,A、南亚人
53,B、中东人
54,C、欧洲白种人
55,D、非洲人
56,正确答案： C 我的答案：C
57,
58,9（）时期，唐朝击败东突厥，疆域范围扩展到蒙古高原、西伯利亚。（1.0分）1.0 分
59,A、唐高宗
60,B、唐太宗
61,C、唐玄宗
62,D、唐文宗
63,正确答案： B 我的答案：B
64,
65,10中国古时选择与维持首都时，下列选项不属于从制内角度考虑的因素和措施的是（）。（1.0分）1.0 分
66,A、位上游
67,B、四塞之地
68,C、设关隘
69,D、近边疆
70,正确答案： D 我的答案：D
71,
72,11明朝把一省之权分为三司，其中（）是本省的最高行政长官。（1.0分）1.0 分
73,A、都指挥使司
74,B、提刑按察使司
75,C、承宣布政使司
76,D、行省使司
77,正确答案： C 我的答案：C
78,
79,12中国地理上的中心是在（）附近。（1.0分）1.0 分
80,A、西安
81,B、武汉
82,C、兰州
83,D、重庆
84,正确答案： C 我的答案：C
85,
86,13柬埔寨吴哥窟的发现和（）有关。（1.0分）1.0 分
87,A、《大唐西域记》
88,B、《真腊风土记》
89,C、《经行记》
90,D、《通典》
91,正确答案： B 我的答案：B
92,
93,14宋太宗太平兴国二年，废方镇，形成（）的三级制。（1.0分）1.0 分
94,A、道-州-郡
95,B、道-州-县
96,C、路-州-县
97,D、路-州-郡
98,正确答案： C 我的答案：C
99,
100,15明朝继承了元朝对（）的统治和主权。（1.0分）1.0 分
101,A、缅甸
102,B、老挝
103,C、西藏
104,D、以上都对
105,正确答案： C 我的答案：C
106,
107,16领土是以明确的是（）为根据的，但疆域所指的境界则不一定。（1.0分）1.0 分
108,A、使用权
109,B、管辖权
110,C、主权
111,D、以上都对
112,正确答案： C 我的答案：C
113,
114,17学术界认为，“中国的历史时期”通常是指（）文明的时间段。（1.0分）1.0 分
115,A、2000年
116,B、3000年
117,C、4000年
118,D、5000年
119,正确答案： D 我的答案：D
120,
121,18中国历代首都移动轨迹的支流是（）。（1.0分）1.0 分
122,A、东西之间，由西而东
123,B、东西之间，由东而西
124,C、南北之间，由北而南
125,D、南北之间，由南而北
126,正确答案： C 我的答案：C
127,
128,19诞生于元朝的青花瓷，其蓝色釉的原料产自（）。（1.0分）1.0 分
129,A、中国
130,B、西亚
131,C、东亚
132,D、南亚
133,正确答案： B 我的答案：B
134,
135,20由于怀疑反朝残余势力在海上搞破坏活动，以及日本海盗、倭寇的骚扰，（）下令实行海禁。（1.0分）1.0 分
136,A、朱元璋
137,B、朱标
138,C、朱允炆
139,D、朱棣
140,正确答案： A 我的答案：A
