,题目
0,1
1,孔子生活在礼乐崩坏的时代，礼乐崩坏的具体表现不包括（）。（1.0分）
2,1.0分
3,窗体顶端
4,A、
5,僭越天子之礼
6,
7,B、
8,滥用权力
9,
10,C、
11,聚敛财富
12,
13,D、
14,周平王东迁
15,
16,窗体底端
17,我的答案：D
18,2
19,关于孔子对于权力的看法，下面理解不正确的是（）。（1.0分）
20,1.0分
21,窗体顶端
22,A、
23,行道需要借助权力
24,
25,B、
26,权需服从道
27,
28,C、
29,道要从于权
30,
31,D、
32,从道不从君
33,
34,窗体底端
35,我的答案：C
36,3
37,官僚制下，为了规避道德风险，设立了（）。（1.0分）
38,1.0分
39,窗体顶端
40,A、
41,直接管理制
42,
43,B、
44,委托代理制
45,
46,C、
47,科层等级制
48,
49,D、
50,监察制度
51,
52,窗体底端
53,我的答案：D
54,4
55,老子在治国问题上的基本主张是（）。（1.0分）
56,1.0分
57,窗体顶端
58,A、
59,民自化、民自正
60,
61,B、
62,国家权力高于一切
63,
64,C、
65,权力不可被限制
66,
67,D、
68,强调驾驭臣下之道
69,
70,窗体底端
71,我的答案：A
72,5
73,《周易》中讨论军队问题的是（）。（1.0分）
74,1.0分
75,窗体顶端
76,A、
77,蒙卦
78,
79,B、
80,需卦
81,
82,C、
83,讼卦
84,
85,D、
86,师卦
87,
88,窗体底端
89,我的答案：D
90,6
91,中国人通过（）实现了文明的迁跃，与周边族群拉开了距离。（1.0分）
92,1.0分
93,窗体顶端
94,A、
95,武力战争
96,
97,B、
98,创制立法
99,
100,C、
101,发展经济
102,
103,D、
104,教化百姓
105,
106,窗体底端
107,我的答案：B
108,7
109,战国时代最走红的几家思想在历史上持续的时间反而更短，根本原因是（）。（1.0分）
110,1.0分
111,窗体顶端
112,A、
113,战争不再进行
114,
115,B、
116,各国统治者后期的打压
117,
118,C、
119,后继无人
120,
121,D、
122,重术失道
123,
124,窗体底端
125,我的答案：D
126,8
127,尧舜时代确定的中国人最重要的信仰是（）。（1.0分）
128,1.0分
129,窗体顶端
130,A、
131,敬人
132,
133,B、
134,敬地
135,
136,C、
137,敬天
138,
139,D、
140,礼乐
141,
142,窗体底端
143,我的答案：C
144,9
145,四岳推荐了（）作为尧的继任者。（1.0分）
146,1.0分
147,窗体顶端
148,A、
149,朱
150,
151,B、
152,共工
153,
154,C、
155,四岳
156,
157,D、
158,舜
159,
160,窗体底端
161,我的答案：D
162,10
163,根据《尧典》与《论语·为政》的开篇记载，可以看出中国政治的基本原则是首先追求（）。（1.0分）
164,1.0分
165,窗体顶端
166,A、
167,制度
168,
169,B、
170,礼乐
171,
172,C、
173,德行
174,
175,D、
176,敬天
177,
178,窗体底端
179,我的答案：C
180,11
181,（）是中国最隆重最崇高的祭祀活动。（1.0分）
182,1.0分
183,窗体顶端
184,A、
185,祭天
186,
187,B、
188,祭地
189,
190,C、
191,祭祖
192,
193,D、
194,祭君师
195,
196,窗体底端
197,我的答案：A
198,12
199,秦的政治传统是在（）思想上建立起来的。（1.0分）
200,0.0分
201,窗体顶端
202,A、
203,儒家
204,
205,B、
206,法家
207,
208,C、
209,道家
210,
211,D、
212,兵家
213,
214,窗体底端
215,我的答案：A
216,13
217,君臣关系通过（）来确立。（1.0分）
218,1.0分
219,窗体顶端
220,A、
221,策名委质
222,
223,B、
224,自由结交
225,
226,C、
227,出卖自由
228,
229,D、
230,签订合同
231,
232,窗体底端
233,我的答案：A
234,14
235,仪礼是规范公私生活仪节的规则，下面表达仪礼的方式与其它三项不一样的是（）。（1.0分）
236,1.0分
237,窗体顶端
238,A、
239,天子用九鼎吃饭
240,
241,B、
242,臣用尊敬的眼神面对君
243,
244,C、
245,君子出行要在马车上插旗帜
246,
247,D、
248,男子戴上特定的帽子表示成年
249,
250,窗体底端
251,我的答案：B
252,15
253,中国士君子与西方哲学家相比，下面说法不正确的是（）。（1.0分）
254,1.0分
255,窗体顶端
256,A、
257,都追求真理
258,
259,B、
260,都为获得知识而努力
261,
262,C、
263,中国士君子不仅追求知识，更要去实践
264,
265,D、
266,西方哲学家不仅要追求真理，更要实践真理
267,
268,窗体底端
269,我的答案：D
270,16
271,封建社会下君臣关系可以用下面哪个词概括？（）（1.0分）
272,1.0分
273,窗体顶端
274,A、
275,紧张
276,
277,B、
278,对等
279,
280,C、
281,独断专行
282,
283,D、
284,温情
285,
286,窗体底端
287,我的答案：D
288,17
289,下面关于礼的说法不正确的是（）。（1.0分）
290,1.0分
291,窗体顶端
292,A、
293,是人们的行为规范
294,
295,B、
296,是客观存在的
297,
298,C、
299,包含了具体的身体动作
300,
301,D、
302,是内化于心的道德
303,
304,窗体底端
305,我的答案：D
306,18
307,孔子之后，中国进入了一个四民社会，即有四个职业群体，其中起领导作用的是（）。（1.0分）
308,1.0分
309,窗体顶端
310,A、
311,士
312,
313,B、
314,农
315,
316,C、
317,工
318,
319,D、
320,商
321,
322,窗体底端
323,我的答案：A
324,19
325,《礼记·乐记》：“连而不相及也，动而不相害也。”这里的“动”是指（）。（1.0分）
326,1.0分
327,窗体顶端
328,A、
329,感动
330,
331,B、
332,触动
333,
334,C、
335,互动
336,
337,D、
338,运动
339,
340,窗体底端
341,我的答案：C
342,20
343,（）确立了君子共治的政治传统。（1.0分）
344,1.0分
345,窗体顶端
346,A、
347,尧
348,
349,B、
350,舜
351,
352,C、
353,禹
354,
355,D、
356,皋陶
357,
358,窗体底端
359,我的答案：B
360,21
361,西方是法治社会，最根本的法是（）颁布的法律。（1.0分）
362,1.0分
363,窗体顶端
364,A、
365,立法机关
366,
367,B、
368,先知
369,
370,C、
371,公民
372,
373,D、
374,上帝
375,
376,窗体底端
377,我的答案：D
378,22
379,禅让制度体现出的政治原则是（）。（1.0分）
380,1.0分
381,窗体顶端
382,A、
383,治国先治家
384,
385,B、
386,人人平等
387,
388,C、
389,天下为公
390,
391,D、
392,敬天
393,
394,窗体底端
395,我的答案：C
396,23
397,下面最适合超大规模政治共同体治理模式的是（）。（1.0分）
398,1.0分
399,窗体顶端
400,A、
401,直接民主
402,
403,B、
404,代议民主
405,
406,C、
407,共和
408,
409,D、
410,君主立宪
411,
412,窗体底端
413,我的答案：C
414,24
415,“封”是指（）。（1.0分）
416,1.0分
417,窗体顶端
418,A、
419,树立某人为一邦之君
420,
421,B、
422,划分治理范围
423,
424,C、
425,分封爵位
426,
427,D、
428,确立等级制度
429,
430,窗体底端
431,我的答案：B
432,25
433,“宗族”概念的产生体现了人类联合的哪个基本原则？（1.0分）
434,1.0分
435,窗体顶端
436,A、
437,亲
438,
439,B、
440,辨别
441,
442,C、
443,平章
444,
445,D、
446,协和
447,
448,窗体底端
449,我的答案：A
450,26
451,德位相应说中，至少具有（）种德行才能治理诸侯国。（1.0分）
452,1.0分
453,窗体顶端
454,A、
455,四
456,
457,B、
458,五
459,
460,C、
461,六
462,
463,D、
464,七
465,
466,窗体底端
467,我的答案：C
468,27
469,礼在早期主要的执行方式是（）。（1.0分）
470,1.0分
471,窗体顶端
472,A、
473,第三方机构执行
474,
475,B、
476,报复
477,
478,C、
479,自我执行
480,
481,D、
482,政府执行
483,
484,窗体底端
485,我的答案：C
486,28
487,儒家与诸子百家的关系，下面理解正确的一项是（）。（1.0分）
488,0.0分
489,窗体顶端
490,A、
491,儒家与诸子百家并列
492,
493,B、
494,只有儒家有关于重建秩序的思考
495,
496,C、
497,儒家高于诸子百家
498,
499,D、
500,儒家与诸子百家都传承经学
501,
502,窗体底端
503,我的答案：A
504,29
505,战国时代世俗主义观念的流行主要是由于（）。（1.0分）
506,1.0分
507,窗体顶端
508,A、
509,君子群体追逐权力
510,
511,B、
512,神灵被证明不存在
513,
514,C、
515,祭天之礼消失
516,
517,D、
518,敬天之心衰减
519,
520,窗体底端
521,我的答案：D
522,30
523,下面对礼的功能说法不正确的一项是（）。（1.0分）
524,1.0分
525,窗体顶端
526,A、
527,形成相互协调的关系
528,
529,B、
530,规范人的行为
531,
532,C、
533,各正性命，保合太和
534,
535,D、
536,与现在的法律伦理作用不同
537,
538,窗体底端
539,我的答案：D
540,31
541,（）制作了第一部系统的刑法典《法经》。（1.0分）
542,1.0分
543,窗体顶端
544,A、
545,子夏
546,
547,B、
548,子产
549,
550,C、
551,叔向
552,
553,D、
554,李悝
555,
556,窗体底端
557,我的答案：D
558,32
559,中国依靠（）来维护社会良好的秩序。（1.0分）
560,1.0分
561,窗体顶端
562,A、
563,天文
564,
565,B、
566,人文
567,
568,C、
569,律法
570,
571,D、
572,礼乐
573,
574,窗体底端
575,我的答案：B
576,33
577,天的根本品性是（）。（1.0分）
578,1.0分
579,窗体顶端
580,A、
581,敬授民时
582,
583,B、
584,日月星辰分布
585,
586,C、
587,无所不包
588,
589,D、
590,有东西南北四端
591,
592,窗体底端
593,我的答案：C
594,34
595,苏秉琦先生从考古学上把早期中国文化划分为六个区域，其中我国境内发现的最早的玉龙雕塑属于（）。（1.0分）
596,1.0分
597,窗体顶端
598,A、
599,黄河中游文化区域
600,
601,B、
602,西南文化区域
603,
604,C、
605,长江中下游文化区域
606,
607,D、
608,北方文化区域
609,
610,窗体底端
611,我的答案：D
612,35
613,中国历史上第一位思想家是（）。（1.0分）
614,1.0分
615,窗体顶端
616,A、
617,皋陶
618,
619,B、
620,尧
621,
622,C、
623,舜
624,
625,D、
626,禹
627,
628,窗体底端
629,我的答案：A
630,36
631,（）确保了法律的正当性。（1.0分）
632,0.0分
633,窗体顶端
634,A、
635,法律排除人的主观意志
636,
637,B、
638,法律的本意是为民
639,
640,C、
641,法律的渊源在于天
642,
643,D、
644,法律由圣人制定
645,
646,窗体底端
647,我的答案：A
648,37
649,下面关于礼与法律的区别，不正确的是（）。（1.0分）
650,1.0分
651,窗体顶端
652,A、
653,礼是习惯性规则，法律则有明确的制定主体
654,
655,B、
656,礼规定了与身体相关的物质符号的使用，法律则没有
657,
658,C、
659,都规范了人的一切行为
660,
661,D、
662,都规定了人的权利和义务
663,
664,窗体底端
665,我的答案：C
666,38
667,孔子所思所想、所言所行都是围绕着（）进行的。（1.0分）
668,1.0分
669,窗体顶端
670,A、
671,开创新的社会形态
672,
673,B、
674,健全人格
675,
676,C、
677,重建礼乐秩序
678,
679,D、
680,知天命
681,
682,窗体底端
683,我的答案：C
684,39
685,礼的规则体系中，最重要的一部分是经礼，经礼主要用来规范（）。（1.0分）
686,1.0分
687,窗体顶端
688,A、
689,经书内容
690,
691,B、
692,行为习惯
693,
694,C、
695,国家法律
696,
697,D、
698,君臣关系
699,
700,窗体底端
701,我的答案：D
702,40
703,当代中国社会最大的问题，从根本上说是因为（）。（1.0分）
704,1.0分
705,窗体顶端
706,A、
707,君子匮乏
708,
709,B、
710,文明遭到了严重破坏
711,
712,C、
713,很多人放弃了儒家学说
714,
715,D、
716,教育的缺失
717,
718,窗体底端
719,我的答案：A
720,41
721,君子最初的含义是指（）。（1.0分）
722,1.0分
723,窗体顶端
724,A、
725,有健全人格的人
726,
727,B、
728,男子汉大丈夫
729,
730,C、
731,善于合群的人
732,
733,D、
734,社会领导者
735,
736,窗体底端
737,我的答案：D
738,42
739,孔子之所以能成为圣人，最重要的原因是（）。（1.0分）
740,1.0分
741,窗体顶端
742,A、
743,出生于王室家族
744,
745,B、
746,好学
747,
748,C、
749,生活在殷商周文明下
750,
751,D、
752,得到神启
753,
754,窗体底端
755,我的答案：B
756,43
757,君子靠（）来发挥领导作用。（1.0分）
758,1.0分
759,窗体顶端
760,A、
761,暴力
762,
763,B、
764,利益
765,
766,C、
767,卓越的品质
768,
769,D、
770,节制私欲
771,
772,窗体底端
773,我的答案：C
774,44
775,要成为诸子，最需要具备的是（）。（1.0分）
776,1.0分
777,窗体顶端
778,A、
779,主宰政治
780,
781,B、
782,掌握社会治理之道
783,
784,C、
785,学术的创造和传承
786,
787,D、
788,体会生命成长之道
789,
790,窗体底端
791,我的答案：C
792,45
793,广义的郡县制指的是（）。（1.0分）
794,1.0分
795,窗体顶端
796,A、
797,一定的治理范围
798,
799,B、
800,社会治理单位
801,
802,C、
803,一种政体
804,
805,D、
806,一套连贯的地方行政制度
807,
808,窗体底端
809,我的答案：C
810,46
811,中国的思想家具有（）的品质。（1.0分）
812,1.0分
813,窗体顶端
814,A、
815,重理论
816,
817,B、
818,重实践
819,
820,C、
821,实践与思想互动
822,
823,D、
824,用已经定型的思想指导实践
825,
826,窗体底端
827,我的答案：C
828,47
829,（）是一切德行之本。（1.0分）
830,1.0分
831,窗体顶端
832,A、
833,允恭
834,
835,B、
836,文思
837,
838,C、
839,敬
840,
841,D、
842,明
843,
844,窗体底端
845,我的答案：C
846,48
847,中国文明诞生之初具备的特点不包括（）。（1.0分）
848,1.0分
849,窗体顶端
850,A、
851,超大规模
852,
853,B、
854,多样聚合
855,
856,C、
857,大统一
858,
859,D、
860,成长机制
861,
862,窗体底端
863,我的答案：C
864,49
865,诸子百家兴起需要的最好的制度环境是（）。（1.0分）
866,1.0分
867,窗体顶端
868,A、
869,让学者参与到政治中
870,
871,B、
872,多种思想可以自由竞争
873,
874,C、
875,社会平等
876,
877,D、
878,专制
879,
880,窗体底端
881,我的答案：B
882,50
883,齐国设立稷下学宫的目的是（）。（1.0分）
884,1.0分
885,窗体顶端
886,A、
887,管理学术
888,
889,B、
890,控制学术
891,
892,C、
893,支持主流思想的发展
894,
895,D、
896,为学术发展提供更好的条件
897,
898,窗体底端
899,我的答案：D
900,1
901,中国从一开始就是一个一体而多元的共同体，并有一种内生的力量。（1.0分）
902,1.0分
903,窗体顶端
904,我的答案：√
905,窗体底端
906,2
907,我国经典文献中较少提到法律而多提到刑，说明我国古代对礼的执行力度较低。（）（1.0分）
908,1.0分
909,窗体顶端
910,我的答案：×
911,窗体底端
912,3
913,中国从战国时代就进入了官僚制的时代，一直延续到今天。（）（1.0分）
914,1.0分
915,窗体顶端
916,我的答案：√
917,窗体底端
918,4
919,尧之前的很多族群都信奉神灵，与尧确立的敬天是一致的。（）（1.0分）
920,1.0分
921,窗体顶端
922,我的答案：×
923,窗体底端
924,5
925,礼乐能约束人的欲望，却不能约束情感。（1.0分）
926,1.0分
927,窗体顶端
928,我的答案：×
929,窗体底端
930,6
931,战国初期的刑治不仅体现了对制度的重视，也体现了对道德提升的重视。（）（1.0分）
932,1.0分
933,窗体顶端
934,我的答案：×
935,窗体底端
936,7
937,孔子之学是合群而学，因为要成为一个合格的领导者必须要合群。（）（1.0分）
938,1.0分
939,窗体顶端
940,我的答案：√
941,窗体底端
942,8
943,战国时代变法主要解决的是国家如何治理的问题。（）（1.0分）
944,1.0分
945,窗体顶端
946,我的答案：√
947,窗体底端
948,9
949,处在封建共同体下的平民是有机会成为臣的。（）（1.0分）
950,1.0分
951,窗体顶端
952,我的答案：√
953,窗体底端
954,10
955,中国圣人主要依靠听取天文来制作人文。（1.0分）
956,1.0分
957,窗体顶端
958,我的答案：×
959,窗体底端
960,11
961,对待诸子百家思想要秉持反思的态度，因为在今天看来，这些思想都在推动中国人的精神向下堕落。（）（1.0分）
962,1.0分
963,窗体顶端
964,我的答案：×
965,窗体底端
966,12
967,大夫能成为诸侯国的统治者一般有两种途径：互相兼并以及侵占诸侯的资源。（）（1.0分）
968,1.0分
969,窗体顶端
970,我的答案：√
971,窗体底端
972,13
973,如果君对臣损害很大，臣选择报复，这在封建社会是可以接受的。（）（1.0分）
974,1.0分
975,窗体顶端
976,我的答案：√
977,窗体底端
978,14
979,中国早期的礼乐文明塑造了君子，君子也推动文明达到比较完美的状态。（）（1.0分）
980,1.0分
981,窗体顶端
982,我的答案：√
983,窗体底端
984,15
985,天下是普遍的天下，处在这个共同体下的文化也是同质的。（）（1.0分）
986,1.0分
987,窗体顶端
988,我的答案：×
989,窗体底端
990,16
991,中国三代中礼是社会关系塑造的主要机制，礼制社会下人人平等。（）（1.0分）
992,0.0分
993,窗体顶端
994,我的答案：√
995,窗体底端
996,17
997,战国是一个强权政治的时代，国王需要军队来治理国家。（）（1.0分）
998,1.0分
999,窗体顶端
1000,我的答案：×
1001,窗体底端
1002,18
1003,乐在诞生之初就只有雅乐，用以陶冶人的性情，俗乐是后来逐渐产生的。（）（1.0分）
1004,1.0分
1005,窗体顶端
1006,我的答案：×
1007,窗体底端
1008,19
1009,中国文明早期分布的格局称得上是满天星斗。（1.0分）
1010,1.0分
1011,窗体顶端
1012,我的答案：√
1013,窗体底端
1014,20
1015,《论语》之所以适用于所有人，是因为它没有要让大家信某个神，而是如何不断提升自己作为人的修养。（）（1.0分）
1016,1.0分
1017,窗体顶端
1018,我的答案：√
1019,窗体底端
1020,21
1021,中国对封建制的主流认知观点是受西方历史理论的影响。（）（1.0分）
1022,1.0分
1023,窗体顶端
1024,我的答案：√
1025,窗体底端
1026,22
1027,我们每一个人都受礼的调节和规范，没有任何例外。（）（1.0分）
1028,1.0分
1029,窗体顶端
1030,我的答案：√
1031,窗体底端
1032,23
1033,中国是世界的内部化，指的是中国在诞生之初就统一了全世界。（）（1.0分）
1034,1.0分
1035,窗体顶端
1036,我的答案：×
1037,窗体底端
1038,24
1039,孟子构建的五等爵制下，天子与公位列第一等爵。（）（1.0分）
1040,1.0分
1041,窗体顶端
1042,我的答案：×
1043,窗体底端
1044,25
1045,庄子关注自我、生命、精神超越，也是一种生存之道。（）（1.0分）
1046,1.0分
1047,窗体顶端
1048,我的答案：√
1049,窗体底端
1050,26
1051,近代中国历史上出现了几次批孔运动，对中国文化造成了严重破坏。（）（1.0分）
1052,1.0分
1053,窗体顶端
1054,我的答案：√
1055,窗体底端
1056,27
