,题目
0,一、 单选题（题数：50，共50.0分） 
1,1 
2,下列不属于考古类型学中同一概念的是
3,窗体顶端
4,
5,A、 
6,鼎 
7,
8,B、 
9,簋 
10,
11,C、 
12,壶 
13,
14,D、 
15,釜形 
16,
17,窗体底端
18,我的答案：D 
19,2 
20,谁首先提出人是由古猿演化而来的
21,窗体顶端
22,
23,A、 
24,马克思 
25,
26,B、 
27,恩格斯 
28,
29,C、 
30,达尔文 
31,
32,D、 
33,列宁 
34,
35,窗体底端
36,我的答案：C 
37,3 
38,考古学把什么的出现作为文明的标志
39,窗体顶端
40,
41,A、 
42,农村 
43,
44,B、 
45,城市 
46,
47,C、 
48,乡镇 
49,
50,D、 
51,村落 
52,
53,窗体底端
54,我的答案：B 
55,4 
56,考古类型学是在哪一年进入中国的
57,窗体顶端
58,
59,A、 
60,1911.0 
61,
62,B、 
63,1921.0 
64,
65,C、 
66,1935.0 
67,
68,D、 
69,1940.0 
70,
71,窗体底端
72,我的答案：C 
73,5 
74,下列关于考古学家应具备的素质的描述错误的是
75,窗体顶端
76,
77,A、 
78,对考古学科发展历史有基本了解 
79,
80,B、 
81,应是方法论专家 
82,
83,C、 
84,具有发掘和整理的技术 
85,
86,D、 
87,不用具备行政管理能力 
88,
89,窗体底端
90,我的答案：D 
91,6 
92,距今五千年出现了什么革命
93,窗体顶端
94,
95,A、 
96,农业革命 
97,
98,B、 
99,城市革命 
100,
101,C、 
102,工业革命 
103,
104,D、 
105,石器革命 
106,
107,窗体底端
108,我的答案：B 
109,7 
110,甲字型大墓有几条墓道
111,窗体顶端
112,
113,A、 
114,1.0 
115,
116,B、 
117,2.0 
118,
119,C、 
120,3.0 
121,
122,D、 
123,4.0 
124,
125,窗体底端
126,我的答案：A 
127,8 
128,下列对于国的概念中，哪种出现的最晚
129,窗体顶端
130,
131,A、 
132,古国 
133,
134,B、 
135,方国 
136,
137,C、 
138,王国 
139,
140,D、 
141,帝国 
142,
143,窗体底端
144,我的答案：D 
145,9 
146,威武市城标是下列哪种文物
147,窗体顶端
148,
149,A、 
150,马踏飞燕 
151,
152,B、 
153,司母戊鼎 
154,
155,C、 
156,楚大鼎 
157,
