,题目
0,
1,一、 单选题（题数：50，共 50.0 分）
2,1、葡萄酒开瓶最容易忽略的一步是 _____________ 。（1.0分）
3,A、不用开瓶器开瓶
4,B、去掉酒帽
5,C、点蜡烛
6,D、乱扔瓶塞
7,正确答案： B 
8,2、关于葡萄酒杯的说法，错误的是________？（1.0分）
9,A、球形杯的特点是杯脚长杯口大
10,B、球形杯适合于饮用烈性酒
11,C、笛型杯适合于饮用起泡酒
12,D、笛型杯杯身很长，是为了展示起泡酒细密的气泡
13,正确答案： A
14,3、世界著名葡萄酒品尝家罗伯特·帕克尔Robert Parker是哪国人 _____________ ？（1.0分）
15,A、法国
16,B、意大利
17,C、西班牙
18,D、美国
19,正确答案： D 
20,4、白葡萄酒长时间陈放会氧化 _____________ 。（1.0分）
21,A、变青绿色
22,B、变黄褐色
23,C、变酒红色
24,D、不变色
25,正确答案： B
26,5、法国什么时候开始种植酿酒葡萄？_____________（1.0分）
27,A、古罗马
28,B、中世纪
29,C、文艺复兴
30,D、十七世纪
31,正确答案： A 
32,6比诺塔吉Pinotage酿酒品种起源于 _____________ 。（1.0分）
33,A、法国
34,B、意大利
35,C、西班牙
36,D、南非
37,正确答案： D 
38,7山羊肯吃葡萄枝叶后，葡萄植株会出现什么状况 _____________ ？（1.0分）
39,A、死亡
40,B、繁茂生长
41,C、繁花似锦
42,D、结实
43,正确答案： D 
44,8现已发现关于耶稣的遗物不包括 _____________ 。（1.0分）
45,A、棺材
46,B、十字架铁钉
47,C、裹尸布
48,D、遗体
49,正确答案： D 
50,9非法猎杀大象是为了获取 _____________ 。（1.0分）
51,A、象皮
52,B、象牙
53,C、象肉
54,D、都是
55,正确答案： B 
56,10橡木桶陈酿葡萄酒的作用表现为 _____________ 。（1.0分）
57,A、通气
58,B、增色
59,C、增味
60,D、都是
61,正确答案： D
62,11中国面条估计是 _____________ 带到西方的。（1.0分）
63,A、张骞
64,B、郑和
65,C、马可波罗
66,D、麦哲伦
67,正确答案： C 
68,12谁在伊甸园偷吃了禁果 _____________ ？（1.0分）
69,A、诺亚
70,B、夏娃
71,C、巴克斯
72,D、狄俄尼索斯
73,正确答案： B 
74,13法国葡萄酒酒瓶正标上的“AOC”表示的是 _____________ 。（1.0分）
75,A、原产地酒
76,B、高质量酒
77,C、乡村酒
78,D、普通佐餐酒
79,正确答案： A 
80,14香槟葡萄酒诞生自一个 _____________ 。（1.0分）
81,A、教堂
82,B、酒庄
83,C、牧场
84,D、餐馆
85,正确答案： A 
86,15
87,璧山露德堂位于 _____________ 。（1.0分）
88,A、重庆
89,B、四川
90,C、贵州
91,D、云南
92,正确答案： A 
93,16巴克斯属于 _____________ 时代的葡萄酒神。（1.0分）
94,A、古埃及
95,B、古希腊
96,C、古罗马
97,D、中世纪
98,正确答案： C 
99,17生产优质葡萄酒的“金三角”环境因素不含 _____________ 。（1.0分）
100,A、酿酒品种
101,B、阳光
102,C、土壤
103,D、雨露
104,正确答案： A
105,18我国新疆产的葡萄酒有一个 _____________ 特点。（1.0分）
106,A、糖度高
107,B、酒度高
108,C、酸度高
109,D、酒度低
110,正确答案： B
111,19画家梵高的《红葡萄园》描写的是哪里的葡萄产区景色 _____________ ？（1.0分）
112,A、阿姆斯特丹
113,B、巴黎
114,C、波尔多
115,D、普罗旺斯
116,正确答案： D
117,20近年来哪国的葡萄酒年产量居世界第一？_____________（1.0分）
118,A、美国
119,B、西班牙
120,C、法国
121,D、意大利
122,正确答案： C
123,21葡萄属于 _____________ 植物。（1.0分）
124,A、草本
125,B、灌木
126,C、乔木
127,D、藤本
128,正确答案： D
129,22桃红(粉红)葡萄酒是 _____________ 发酵工艺生产出来的。（1.0分）
130,A、皮+籽全发酵
131,B、皮+籽半发酵
132,C、无皮+无籽全发酵
133,D、都不是
134,正确答案： B 
135,23葡萄酒在中国的传播受到了西方 _____________ 文化的促进影响。（1.0分）
136,A、文学
137,B、电影
138,C、艺术
139,D、都是
140,正确答案： D 
141,24旧世界法国波尔多葡萄酒的口感相比澳大利亚葡萄酒更加 _____________ 。（1.0分）
142,A、酸
143,B、涩
144,C、苦
145,D、都是
146,正确答案： D
