,题目
0,
1,
2,
3,一、单选题（题数：50 ，共50.0分）
4,《镜花缘》是由清代文人（）所作的长篇小说.（）
5,答案：李汝珍
6,"以下著作中,属于北宋思想家张载所著的是（）."
7,答案:《正蒙》
8,"秦汉以后,（）图书代表了中华文化的主干."
9,答案:经部
10,"4、""三玄""是魏晋时期人们对先秦典籍《老子》、（）和《周易》三部书的总称."
11,答案:《庄子》
12,"5、""朝三暮四""这一典故,源于庄子的哪篇文章?(（）"
13,答案:《齐物论》
14,6、庄子思想是对（）思想的继承和发展.
15,答案:老子
16,"7、""领如蝤蛴,齿如瓠犀""是对（）的形容."
17,答案:美女
18,"8、""饿死事小,失节事大""反映的思想内核是（）."
19,"答案:存天理,灭人欲"
20,9、《齐物论》的言述方式以（）为主.
21,答案:卮言
22,10、轴心时代理论是由以下哪位哲学家提出的?
23,答案:雅斯贝尔斯
24,11、将达尔文进化论引入中国的维新运动思想家是（）.
25,答案:严复
26,"12、关于乾卦,下列说法不正确的一项是（）."
27,答案:乾卦是易经六十四卦的第一卦
28,"13、""庄周梦蝶""故事中的""俄然觉,则蘧蘧然周也""中的""蘧蘧然""形容的是以下哪种状态?（）"
29,答案:惊疑的样子
30,"14、“君子之德风,小人之德草,草上之风,必偃.""一句出自（）."
31,答案:《论语》
32,"15、关于《齐物论》,下列说法错误的一项是（）."
33,答案:出自《道德经》
34,"16、下列词语中,与《齐物论》里""若有真宰,而不得其眹""的""真宰""意思相近的是（）."
35,答案:造物主
36,"17、下列选项中,不属于戴震主张的是(）."
37,"答案:如有物焉,得于天而具于心"
38,"18、在论语中,""学而时习之,不亦说乎?""中的""时""意思是(）."
39,答案:按时
40,19、根据“知识”和“意见”的二分法，首次将世界划分为理念世界和可感世界的古希腊哲学家是
41,答案:柏拉图
42,"20、《尚书.洪范》中“言曰从""的“从""具有两层含义,一为语言本身的通顺柔和,二为（）."
43,答案:言而有信令人顺从
44,"21、以下著作中,不属于经部的是（）."
45,答案:《周易》
46,22、“良知”“良能”是由战国时期思想家（）提出的人性论概念。
47,答案：孟子
48,23、王弼哲学的核心思想来源于以下哪部著作？（）
49,答案：《道德经》
50,24、《尚书.洪范》中“庶征”的“庶”意思是（）。
51,答案：多
52,25、“有物混成，先天地生。”一句出自（）。
53,答案：《道德经》
54,26、“非生人之行，而至死人之理”是对（）思想的批判。
55,答案：慎到
56,27、关于“天行健，君子以自强不息”，下列说法不正确的是（）。
57,答案：是《易经》坤卦的卦辞的解释
58,28、《尚书.洪范》中的“八政”不包括（）。
59,答案：牧
60,下列语句中，与“同声相应，同气相求”意思相近的一项是（）。
61,答案：物以类聚，人以群分
62,30、“韦编三绝”是（）勤读《易》书的一则典故。
63,答案：孔子
64,31、“尊生以箴寂灭，明有以反空无，主动以起颓废，率性以一情欲”是哲学家熊十力对以下哪位哲学家哲学思想的评价？（）
