,题目
0,
1,
2,一、 单选题（题数：50，共 50.0 分）
3,1下面哪一项是法国专门针对城市改造制定的文物保护法？（）
4,A、
5,《城市街区保护法》
6,B、
7,《城市规划法》
8,C、
9,《城市遗产保护法》
10,D、
11,《历史城市规划法》
12,我的答案：B
13,2下面关于意大利描述不正确的一项是？（）
14,A、
15,位于欧洲北部
16,B、
17,全称“意大利共和国”
18,C、
19,北与法国、瑞士、奥地利和斯洛文尼亚接壤
20,D、
21,古时称“威大利亚”
22,我的答案：A
23,3荷兰拥有（）个世界文化遗产。
24,A、
25,5
26,B、
27,6
28,C、
29,7
30,D、
31,8
32,我的答案：C
33,4中国营造学社成立于下面哪一年？（）
34,A、
35,1929年
36,B、
37,1919年
38,C、
39,1909年
40,D、
41,1900年
42,我的答案：A
43,5下面哪一个是法国的文化遗产？（）
44,A、
45,埃尔斯豪特的风车
46,B、
47,古罗马时期的加二桥
48,C、
49,马丘比遗址
50,D、
51,帕特农神庙
52,我的答案：B
53,6我国《文物法》中的大政方针不包括下面哪一个？（）
54,A、
55,保护为主
56,B、
57,抢救为辅
58,C、
59,合理利用
60,D、
61,加强管理
62,我的答案：B
63,7下面哪一个是最早提出、制定文化遗产保护法律和设立“文化遗产日”的国度？（）
64,A、
65,英国
66,B、
67,法国
68,C、
69,美国
70,D、
71,德国
72,我的答案：B
73,8下面哪一个城市被称为“水上都市”？（）
74,A、
75,巴黎
76,B、
77,威尼斯
78,C、
79,柏林
80,D、
81,青岛
82,我的答案：B
83,9物质文化遗产包括几类？（）
84,A、
85,2
86,B、
87,3
88,C、
89,4
90,D、
91,5
92,我的答案：C
93,10下面哪一个属于物质文化遗产？（）
94,A、
95,古庙
96,B、
97,语言
98,C、
99,宗教
100,D、
101,礼仪
102,我的答案：A
103,11美国白宫会议于下面哪一年首先提出设立“世界遗产信托基金”建议案？（）
104,A、
105,1955年
106,B、
107,1965年
108,C、
109,1975年
110,D、
111,1985年
112,我的答案：B
113,12澳门历史城区于2005年7月被列为中国第（）处世界遗产。
114,A、
115,31
116,B、
117,32
118,C、
119,33
120,D、
121,34
122,我的答案：A
123,13刚果民主共和国共有（）项自然遗产。
124,A、
125,4
126,B、
127,5
128,C、
129,6
130,D、
131,7
132,我的答案：B
133,14黄石国家公园于（）年被列入《濒危遗产名录》。
134,A、
135,1994
136,B、
137,1995
138,C、
139,1996
140,D、
141,1997
142,我的答案：B
143,15我国《文物法》中的大政方针不包括下面哪一个？（）
144,A、
145,保护为主
146,B、
147,抢救为辅
148,C、
149,合理利用
150,D、
151,加强管理
152,我的答案：B
153,16目前中国的国家级的文化名城有（）个。
154,A、
155,83
156,B、
157,93
158,C、
159,103
160,D、
161,113
162,我的答案：C
163,17生态博物馆的核心是下面哪一个？（）
164,A、
165,政府监督
166,B、
167,文物为主
168,C、
169,实地考察
170,D、
