,题目
0,
1,一、 单选题（题数：50，共50.0分）
2,1
3,音乐作品的内容与思想性不包括（）。（1.0分）
4,1.0分
5,窗体顶端
6,A、
7,表现目的
8,B、
9,深度
10,C、
11,社会称许
12,D、
13,结构设计
14,窗体底端
15,正确答案： D我的答案：D
16,2
17,弹奏钢琴时怎么表现压抑的情绪？（）（1.0分）
18,1.0分
19,窗体顶端
20,A、
21,表现情绪的转换
22,B、
23,全神贯注感受指尖的压力
24,C、
25,在旋律的最高点使用弱音
26,D、
27,在旋律的最高点释放出来
28,窗体底端
29,正确答案： C我的答案：C
30,3
31,期待心理对音乐审美的要求是（）。（1.0分）
32,1.0分
33,窗体顶端
34,A、
35,新颖独特
36,B、
37,细节精妙
38,C、
39,对比自然
40,D、
41,布局清晰
42,窗体底端
43,正确答案： C我的答案：C
44,4
45,吉特里斯对《沉思》的演绎体现了（）的情绪。（1.0分）
46,1.0分
47,窗体顶端
48,A、
49,温柔
50,B、
51,缠绵
52,C、
53,焦虑
54,D、
55,律动
56,窗体底端
57,正确答案： C我的答案：C
58,5
59,下面属于长音带给人的感受的是（）。（1.0分）
60,1.0分
61,窗体顶端
62,A、
63,事物运动上的快
64,B、
65,交往行为上的随便
66,C、
67,个性特征上的拘谨
68,D、
69,物体质量上的重
70,窗体底端
71,正确答案： D我的答案：D
72,6
73,下面哪一项不是对音乐审美的态度（）。（1.0分）
74,1.0分
75,窗体顶端
76,A、
77,多元
78,B、
79,高雅
80,C、
81,向上
82,D、
83,求新
84,窗体底端
85,正确答案： B我的答案：B
86,7
87,一种音乐如果有高音有低音，但没有中段，会给人产生一种（）（1.0分）
88,1.0分
89,窗体顶端
90,A、
91,缺失感
92,B、
93,空灵感
94,C、
95,方向感
96,D、
97,神圣感
98,窗体底端
99,正确答案： B我的答案：B
100,8
101,达利《内战的预感》通过（）来表现紧张感和冲突感。（1.0分）
102,1.0分
103,窗体顶端
104,A、
105,色彩
106,B、
107,曲线
108,C、
109,圆角
110,D、
111,锐角
112,窗体底端
113,正确答案： D我的答案：D
114,9
115,理解音乐的第一步是（）。（1.0分）
116,1.0分
117,窗体顶端
118,A、
119,读乐曲解说
120,B、
121,找背景资料
122,C、
123,听音乐
124,D、
125,抽出音乐作品中的主要特征元素
126,窗体底端
127,正确答案： C我的答案：C
128,10
129,（）产生保持性期待。（1.0分）
130,1.0分
131,窗体顶端
132,A、
133,曲式分析
134,B、
135,理性心理
136,C、
137,惯性心理
138,D、
139,感性心理
140,窗体底端
141,正确答案： C我的答案：C
142,11
143,我们不能听出音乐表现内容的原因有很多，但是不包括（）。（1.0分）
144,1.0分
145,窗体顶端
146,A、
147,音乐本身不表现什么
148,B、
149,没有关注联觉反应
150,C、
151,没有音乐细胞
152,D、
153,音乐无法让我们产生明确的联觉对应关系
154,窗体底端
155,正确答案： C我的答案：C
156,12
157,中国的民歌依靠（）获得语音的平衡。（1.0分）
158,1.0分
159,窗体顶端
160,A、
161,遣词造句
162,B、
163,改变发音
164,C、
165,衬词
166,D、
167,升降调结合
168,窗体底端
169,正确答案： C我的答案：C
170,13
171,新颖独特属于审美追求中对音乐（）的要求。（1.0分）
172,1.0分
173,窗体顶端
174,A、
175,丰富性
176,B、
177,有序性
178,C、
179,适宜性
180,D、
181,可接受性
182,窗体底端
183,正确答案： A我的答案：A
184,14
185,杜尚的作品《泉》是将一件（）放在美术馆中。（1.0分）
186,1.0分
187,窗体顶端
188,A、
189,消防栓
190,B、
191,水龙头
192,C、
193,小便器
194,D、
195,痰盂
196,窗体底端
197,正确答案： C我的答案：C
198,15
199,贝多芬《第六交响乐》是用钢琴表现（）的声音。（1.0分）
200,1.0分
201,窗体顶端
202,A、
203,赛马
204,B、
205,海浪
206,C、
207,风声
208,D、
209,鸟叫
210,窗体底端
211,正确答案： D我的答案：D
212,16
213,偶然主义违反了人类（）的本能要求。（1.0分）
214,1.0分
215,窗体顶端
216,A、
217,新颖性
218,B、
219,有序性
220,C、
221,完美性
222,D、
223,道德性
224,窗体底端
225,正确答案： B我的答案：B
226,17
227,以下哪段音乐选自《蝴蝶夫人》？（）（1.0分）
228,1.0分
