,题目
0,
1,
2,成绩：96.0分
3,
4,一、 单选题（题数：50，共50.0分）
5,1
6,“至今残破胆，应有未招魂”一句出自（）。（1.0分）
7,1.0分
8,窗体顶端
9,A、
10,李白
11,B、
12,屈原
13,C、
14,杜甫
15,D、
16,苏轼
17,窗体底端
18,正确答案： C我的答案：C
19,答案解析：
20,2
21,“天对地，雨对风，大陆对长空”摘自（）。（1.0分）
22,1.0分
23,窗体顶端
24,A、
25,《毛诗序》
26,B、
27,《诗言志辨》
28,C、
29,《诗品》
30,D、
31,《笠翁对韵》
32,窗体底端
33,正确答案： D我的答案：D
34,答案解析：
35,3
36,《诗经》中哪一部分的内容是祭祀歌颂祖先？（）（1.0分）
37,1.0分
38,窗体顶端
39,A、
40,国风
41,B、
42,正声
43,C、
44,颂
45,D、
46,雅
47,窗体底端
48,正确答案： C我的答案：C
49,答案解析：
50,4
51,“弄妆梳洗迟”的“弄”是什么意思？（）（1.0分）
52,1.0分
53,窗体顶端
54,A、
55,玩耍
56,B、
57,搅扰
58,C、
59,炫耀
60,D、
61,赏弄、观赏
62,窗体底端
63,正确答案： D我的答案：D
64,答案解析：
65,5
66,词为什么被称为“小词”？（）（1.0分）
67,0.0分
68,窗体顶端
69,A、
70,词只言志，不载道
71,B、
72,词载道，但不言志
73,C、
74,词既不言志，也不载道
75,D、
76,词是配乐演唱的
77,窗体底端
78,正确答案： C我的答案：D
79,答案解析：
80,6
81,在《离骚》中，下列不能用来喻托美德、才能的选项是（）。（1.0分）
82,1.0分
83,窗体顶端
84,A、
85,香草
86,B、
87,华服
88,C、
89,蛾眉
90,D、
91,苍天
92,窗体底端
93,正确答案： D我的答案：D
94,答案解析：
95,7
96,柳永的《定风波》的体制是什么？（）（1.0分）
97,1.0分
98,窗体顶端
99,A、
100,小令
101,B、
102,中调
103,C、
104,长调
105,D、
106,单调
107,窗体底端
108,正确答案： C我的答案：C
109,答案解析：
110,8
111,下列哪一项关于市井俗曲的描述是错误的？（）（1.0分）
112,1.0分
113,窗体顶端
114,A、
115,被人忽视，无人整理
116,B、
117,言辞低俗，错字百出
118,C、
119,无人刊刻流传
120,D、
121,当时传唱度低
122,窗体底端
123,正确答案： D我的答案：D
124,答案解析：
125,9
126,词学最早来源于（）。（1.0分）
127,1.0分
128,窗体顶端
129,A、
130,上古诗经
131,B、
132,唐代诗歌
133,C、
134,唐代小说
135,D、
136,宋人笔记
137,窗体底端
138,正确答案： D我的答案：D
139,答案解析：
140,10
141,“生而愿为之有家，良人者，所以望以终身者也”之句描述的对象是（）。（1.0分）
142,1.0分
143,窗体顶端
144,A、
145,男子
146,B、
147,父辈
148,C、
149,女子
150,D、
151,成年男女
152,窗体底端
153,正确答案： C我的答案：C
154,答案解析：
155,11
156,“一晌凭栏人不见，鲛绡掩泪思量遍”出自（）。（1.0分）
157,1.0分
