,题目
0,
1,1
2,姚斯《接受美学》认为，读诗应该分为三个层次，其中不包括（）。（1.0分）
3,1.0分
4,窗体顶端
5,A、
6,美感的感知性阅读
7,
8,B、
9,反思的说明性阅读
10,
11,C、
12,历史性的阅读
13,
14,D、
15,创新的批判性阅读
16,
17,窗体底端
18,我的答案：D
19,2
20,菩萨蛮是词牌名，又称为（）。（1.0分）
21,1.0分
22,窗体顶端
23,A、
24,《浣溪沙》
25,
26,B、
27,《西江月》
28,
29,C、
30,《子夜歌》
31,
32,D、
33,《永遇乐》
34,
35,窗体底端
36,我的答案：C
37,3
38,“上不似诗，下不类曲”出自（）。（1.0分）
39,1.0分
40,窗体顶端
41,A、
42,王国维
43,
44,B、
45,谭献跋
46,
47,C、
48,王水照
49,
50,D、
51,李笠翁
52,
53,窗体底端
54,我的答案：D
55,4
56,“植本出蓬瀛，淤泥不染清”描述的是哪一种花？（）（1.0分）
57,1.0分
58,窗体顶端
59,A、
60,牡丹花
61,
62,B、
63,牵牛花
64,
65,C、
66,菊花
67,
68,D、
69,莲花
70,
71,窗体底端
72,我的答案：D
73,5
74,王国维的三重境界说中的第二境界是（）。（1.0分）
75,1.0分
76,窗体顶端
77,A、
78,昨夜西风凋碧树，独上高楼，望尽天涯路
79,
80,B、
81,众里寻他千百度，回头蓦见，那人正在灯火阑珊处
82,
83,C、
84,梧桐昨夜西风急，淡月胧明
85,
86,D、
87,衣带渐宽终不悔，为伊消得人憔悴
88,
89,窗体底端
90,我的答案：D
91,6
92,“说桃不可直说破桃，须用红雨、刘郎等字”选自（）。（1.0分）
93,1.0分
94,窗体顶端
95,A、
96,《人间词话》
97,
98,B、
99,《典论·论文》
100,
101,C、
102,《文选》
103,
104,D、
105,《乐府指迷》
106,
107,窗体底端
108,我的答案：D
109,7
110,“秦妇吟秀才”指的是（）。（1.0分）
111,1.0分
112,窗体顶端
113,A、
114,温庭筠
115,
116,B、
117,王建
118,
119,C、
120,冯正中
121,
122,D、
123,韦庄
124,
125,窗体底端
126,我的答案：D
127,8
128,“栖栖失群鸟，日暮犹独飞”一句中的“栖栖”出自（）。（1.0分）
129,1.0分
130,窗体顶端
131,A、
132,《离骚》
133,
134,B、
135,《东轩笔记》
136,
137,C、
138,《论语》
139,
140,D、
141,《昭明文选》
142,
143,窗体底端
144,我的答案：C
145,9
146,下列哪一部著作最早收录《长门赋》？（）（1.0分）
147,1.0分
148,窗体顶端
149,A、
150,《文心雕龙》
151,
152,B、
153,《诗品》
154,
155,C、
156,《文赋》
157,
158,D、
159,《昭明文选》
160,
161,窗体底端
162,我的答案：D
163,10
164,“弄妆梳洗迟”的“弄”是什么意思？（）（1.0分）
165,1.0分
166,窗体顶端
167,A、
168,玩耍
169,
170,B、
171,搅扰
172,
173,C、
174,炫耀
175,
176,D、
177,赏弄、观赏
178,
179,窗体底端
180,我的答案：D
181,11
182,柳永的《定风波》的体制是什么？（）（1.0分）
183,1.0分
184,窗体顶端
185,A、
186,小令
187,
188,B、
189,中调
190,
191,C、
192,长调
193,
194,D、
195,单调
196,
197,窗体底端
198,我的答案：C
199,12
200,“诚之者，择善而固执之者也”出自（）。（1.0分）
201,1.0分
202,窗体顶端
203,A、
204,《论语》
205,
206,B、
207,《史记》
208,
209,C、
210,《春秋》
211,
212,D、
213,《礼记》
214,
215,窗体底端
216,我的答案：D
217,13
218,关于《尚书》的翻译，下列选项正确的是（）。（1.0分）
219,1.0分
220,窗体顶端
221,A、
222,Book of Songs
223,
224,B、
225,Book of Rites
226,
227,C、
228,Book of Change
229,
230,D、
231,Book of Documents
232,
233,窗体底端
234,我的答案：D
235,14
236,下列选项中，由曹丕著述的是（）。（1.0分）
237,1.0分
238,窗体顶端
239,A、
240,《文心雕龙》
241,
242,B、
243,《文赋》
244,
245,C、
246,《文选》
247,
248,D、
249,《典论·论文》
250,
251,窗体底端
252,我的答案：D
253,15
254,“天对地，雨对风，大陆对长空”摘自（）。（1.0分）
255,1.0分
256,窗体顶端
257,A、
258,《毛诗序》
259,
260,B、
261,《诗言志辨》
262,
263,C、
264,《诗品》
265,
266,D、
267,《笠翁对韵》
268,
269,窗体底端
270,我的答案：D
271,16
272,“建安七子”不包括（）。（1.0分）
273,1.0分
274,窗体顶端
275,A、
276,孔融
277,
278,B、
279,王粲
280,
281,C、
282,曹丕
283,
284,D、
285,应玚
286,
287,窗体底端
288,我的答案：C
289,17
290,韦庄共写了几首《菩萨蛮》？（）（1.0分）
291,1.0分
292,窗体顶端
293,A、
294,一首
295,
296,B、
297,两手
298,
299,C、
300,三首
301,
302,D、
303,五首
304,
