,题目
0,
1,96.0分
2,
3,一、 单选题（题数：50，共50.0分）
4,1
5,曹丕在《与吴质书》中为（）美志不遂而叹息也。（1.0分）
6,1.0分
7,窗体顶端
8,A、
9,屈原
10,B、
11,王粲
12,C、
13,李煜
14,D、
15,应玚
16,窗体底端
17,我的答案：D
18,2
19,认为温庭筠的《菩萨蛮》有屈原《离骚》中“初服”之意的是（）。（1.0分）
20,1.0分
21,窗体顶端
22,A、
23,王国维
24,B、
25,王水照
26,C、
27,张惠言
28,D、
29,曹丕
30,窗体底端
31,我的答案：C
32,3
33,古人有“折柳送别”的说法，是因为柳树有（）的寓意。（1.0分）
34,1.0分
35,窗体顶端
36,A、
37,相思的感情
38,B、
39,可以代表故乡
40,C、
41,“留”的谐音字
42,D、
43,A和C
44,窗体底端
45,我的答案：D
46,4
47,属于四书五经中“四书”的著作是（）。（1.0分）
48,1.0分
49,窗体顶端
50,A、
51,《诗经》
52,B、
53,《大学》
54,C、
55,《礼记》
56,D、
57,《春秋》
58,窗体底端
59,我的答案：B
60,5
61,王国维认为古今成大事业、大学问者，必有（）种境界。（1.0分）
62,1.0分
63,窗体顶端
64,A、
65,1
66,B、
67,2
68,C、
69,3
70,D、
71,4
72,窗体底端
73,我的答案：C
74,6
75,“说桃不可直说破桃，须用红雨、刘郎等字”这句话出自（）。（1.0分）
76,1.0分
77,窗体顶端
78,A、
79,《人间词话》
80,B、
81,《乐府指迷》
82,C、
83,《典论·论文》
84,D、
85,《文选》
86,窗体底端
87,我的答案：B
88,7
89,中国南北朝时期民间的音乐称为（）。（1.0分）
90,1.0分
91,窗体顶端
92,A、
93,雅乐
94,B、
95,清乐
96,C、
97,宴乐
98,D、
99,胡乐
100,窗体底端
101,我的答案：B
102,8
103,“东文学社”由（）主办。（1.0分）
104,1.0分
105,窗体顶端
106,A、
107,王国维
108,B、
109,罗振玉
110,C、
111,田岗佐代治
112,D、
113,汪廉年
114,窗体底端
115,我的答案：B
116,9
117,“诚之者，择善而固执之者也”这句话出自（）。（1.0分）
118,1.0分
119,窗体顶端
120,A、
121,《论语》
122,B、
123,《史记》
124,C、
125,《礼记》
126,D、
127,《春秋》
128,窗体底端
129,我的答案：C
130,10
131,“倚天万里须长剑”一句引用了（）的赋。（1.0分）
132,1.0分
133,窗体顶端
134,A、
135,宋玉
136,B、
137,曹丕
138,C、
139,司马相如
140,D、
141,杜牧
142,窗体底端
143,我的答案：C
144,11
145,评价李后主之词是“变伶工之词为士大夫之词”的大家是（）。（1.0分）
146,0.0分
147,窗体顶端
148,A、
149,曹丕
150,B、
151,王国维
152,C、
153,冯正中
154,D、
155,王水照
156,窗体底端
157,我的答案：C
158,12
159,“燃犀下看”这一典故出自（）。（1.0分）
160,1.0分
161,窗体顶端
162,A、
163,《史记》
164,B、
165,《诗经》
166,C、
167,《汉书》
168,D、
169,《晋书》
170,窗体底端
171,我的答案：D
172,13
173,“云鬓花颜金步摇，芙蓉帐暖度春宵”写得女子是（）。（1.0分）
174,1.0分
175,窗体顶端
176,A、
177,阿娇
178,B、
179,庄姜夫人
180,C、
181,杨贵妃
182,D、
183,歌伎
184,窗体底端
185,我的答案：C
186,14
187,下列说法中，不属于王国维的观点是（）。（1.0分）
188,1.0分
189,窗体顶端
190,A、
191,词之为体，要眇宜修
192,B、
193,能言诗之所不能言
194,C、
195,诗之境阔，词之言长
196,D、
197,能尽言诗之所能言
198,窗体底端
199,我的答案：D
200,15
201,王国维的“三境界”说，第二境界是（）。（1.0分）
202,1.0分
203,窗体顶端
204,A、
205,昨夜西风凋碧树，独上高楼，望尽天涯路
206,B、
207,衣带渐宽终不悔，为伊消得人憔悴
208,C、
209,众里寻他千百度，回头蓦见，那人正在灯火阑珊处
210,D、
211,梧桐昨夜西风急，淡月胧明
212,窗体底端
213,我的答案：B
214,16
215,对周邦彦词的评论“美成词有前后若不相蒙者”出自（）。（1.0分）
216,1.0分
217,窗体顶端
218,A、
219,《冷斋夜话》
220,B、
221,《蕙风词话》
222,C、
223,《白雨斋词话》
224,D、
225,《人间词话》
226,窗体底端
227,我的答案：C
228,17
229,中国诗词中“一晌”的意思是指（）。（1.0分）
230,1.0分
231,窗体顶端
232,A、
233,长久
234,B、
235,田亩单位
236,C、
237,短暂
238,D、
239,A和C
240,窗体底端
241,我的答案：D
242,18
243,王国维认为最早将词诗化的文人是（）。（1.0分）
244,1.0分
245,窗体顶端
246,A、
247,温庭筠
248,B、
249,韦庄
250,C、
251,苏轼
252,D、
253,李煜
254,窗体底端
255,我的答案：D
256,19
257,《离骚》诗句“众女嫉余之峨眉兮”中“峨眉”指（）。（1.0分）
258,1.0分
259,窗体顶端
260,A、
261,眉毛
262,B、
263,美女
264,C、
265,美貌
266,D、
267,才德美好的贤士
268,窗体底端
269,我的答案：D
270,20
271,被界定为导示未来的词论著作是（）。（1.0分）
272,1.0分
273,窗体顶端
274,A、
275,《人间词话》
276,B、
277,《蕙风词话》
278,C、
279,《词选序》
280,D、
281,《清代词学》
282,窗体底端
283,我的答案：A
284,21
285,周敦颐认为“自李唐”以来，世人都比较偏爱（）。（1.0分）
286,1.0分
287,窗体顶端
288,A、
289,菊花
290,B、
291,莲花
292,C、
293,牡丹
294,D、
295,梅花
296,窗体底端
297,我的答案：C
298,22
299,《诗经》中祭祀歌颂祖先的歌诗是指（）。（1.0分）
300,1.0分
301,窗体顶端
302,A、
303,国风
304,B、
305,雅
306,C、
307,正声
308,D、
309,颂
310,窗体底端
311,我的答案：D
312,23
313,王国维的《人间词话》著于（）年。（1.0分）
314,1.0分
315,窗体顶端
316,A、
317,1907年至1908年
318,B、
319,1908年
320,C、
321,1908年至1910年
322,D、
323,1910年
324,窗体底端
325,我的答案：C
326,24
327,下列选项中不属于词牌名的是（）。（1.0分）
328,1.0分
329,窗体顶端
330,A、
331,天净沙
332,B、
333,蝶恋花
334,C、
335,永遇乐
336,D、
337,西江月
338,窗体底端
339,我的答案：A
340,25
341,《词选序》的作者是（）。（1.0分）
342,1.0分
343,窗体顶端
344,A、
345,王鹏运
346,B、
347,王水照
348,C、
349,王国维
350,D、
351,张惠言
352,窗体底端
353,我的答案：D
354,26
355,被称为“秦妇吟秀才”的文人是（）。（1.0分）
356,1.0分
357,窗体顶端
358,A、
359,韦庄
360,B、
361,温庭筠
362,C、
363,王建
364,D、
365,冯正中
366,窗体底端
367,我的答案：A
368,27
369,《东轩笔记》是由（）所作。（1.0分）
370,1.0分
371,窗体顶端
372,A、
373,释惠洪
374,B、
375,魏泰
376,C、
377,王安国
378,D、
379,吕惠卿
380,窗体底端
381,我的答案：B
382,28
383,中国文学史上最早带着理论性的论词的文章是（）写的。（1.0分）
384,1.0分
385,窗体顶端
386,A、
387,张惠言
388,B、
389,李清照
390,C、
391,胡仔
392,D、
393,周济
394,窗体底端
395,我的答案：B
396,29
397,“石韫玉而山晖，水怀珠而川媚”出自（）。（1.0分）
398,1.0分
399,窗体顶端
400,A、
401,《人间词话》
402,B、
403,《文赋》
404,C、
405,《礼记》
406,D、
407,《文选》
408,窗体底端
409,我的答案：B
410,30
411,关于燕乐，说法不正确的是（）。（1.0分）
412,1.0分
413,窗体顶端
414,A、
415,集合了清乐、胡月和法曲
416,B、
417,是宋代以来的一种新兴音乐
418,C、
419,供娱乐欣赏的歌舞音乐
420,D、
421,艺术性很强
422,窗体底端
423,我的答案：B
424,31
425,《南溟》这首作品，诗名典故出自（）。（1.0分）
426,1.0分
427,窗体顶端
428,A、
429,《法华经》
430,B、
431,《山海经》
432,C、
433,《老子》
434,D、
435,《庄子》
436,窗体底端
437,我的答案：D
438,32
439,曹丕写过的文学专论有（）。（1.0分）
440,1.0分
441,窗体顶端
442,A、
443,《文心雕龙》
444,B、
445,《文赋》
446,C、
447,《典论·论文》
448,D、
449,《文选》
450,窗体底端
451,我的答案：C
452,33
453,《木兰花慢》是一首（）。（1.0分）
454,1.0分
455,窗体顶端
456,A、
457,小令
458,B、
459,乐府诗
460,C、
461,长调
462,D、
463,中调
464,窗体底端
465,我的答案：C
466,34
467,关于市井俗曲，描述不正确的是（）。（1.0分）
468,1.0分
469,窗体顶端
470,A、
471,被人忽视，无人整理
472,B、
473,言辞低俗，错字百出
474,C、
475,当时传唱度低
476,D、
477,无人刊刻流传
478,窗体底端
479,我的答案：C
480,35
481,“众芳芜秽，美人迟暮”出自（）。（1.0分）
482,1.0分
483,窗体顶端
484,A、
485,《离骚》
486,B、
487,《人间词话》
488,C、
489,《诗经》
490,D、
491,《文赋》
492,窗体底端
493,我的答案：A
494,36
495,南唐词的代表词人有一冯二李，其中不包括（）。（1.0分）
496,1.0分
497,窗体顶端
498,A、
499,冯正中
500,B、
501,李昪
502,C、
503,李璟
504,D、
505,李煜
506,窗体底端
507,我的答案：B
508,37
509,“贫而无谄，富而无骄，何如”是（）请教孔子提出的。（1.0分）
510,1.0分
511,窗体顶端
512,A、
513,子路
514,B、
515,子由
516,C、
517,子贡
518,D、
519,子夏
520,窗体底端
521,我的答案：C
522,38
523,一时代有一时代的文学，明清时期的代表是（）。（1.0分）
524,1.0分
525,窗体顶端
526,A、
527,曲
528,B、
529,词
530,C、
531,小说
532,D、
533,戏曲小说
534,窗体底端
535,我的答案：D
536,39
537,韦庄共写了（）首《菩萨蛮》。（1.0分）
538,1.0分
539,窗体顶端
540,A、
541,1
542,B、
543,3
544,C、
545,5
546,D、
547,8
548,窗体底端
549,我的答案：C
550,40
551,《尚书》在西方被翻译为（）。（1.0分）
552,1.0分
553,窗体顶端
554,A、
555,Book of Songs
556,B、
557,Book of Rites
558,C、
559,Book of Documents
560,D、
561,Book of Change
562,窗体底端
563,我的答案：C
564,41
565,“语尽而意不尽，意尽而情不尽”是对（）作品的评价。（1.0分）
566,1.0分
567,窗体顶端
568,A、
569,晏殊
570,B、
571,欧阳修
572,C、
573,宋景文
574,D、
575,吴思道
576,窗体底端
577,我的答案：D
578,42
579,认为“士要志于道”的是（）传统。（1.0分）
580,0.0分
581,窗体顶端
582,A、
583,道家
584,B、
585,法家
586,C、
587,史家
588,D、
589,儒家
590,窗体底端
591,我的答案：C
592,43
593,长调作为诗调体式之一，字数大概是（）。（1.0分）
594,1.0分
595,窗体顶端
596,A、
597,59至90个字
598,B、
599,91个字以上
600,C、
601,91至120个字
602,D、
603,121个字以上
604,窗体底端
605,我的答案：B
606,44
607,中国语言文字的特质是（）。（1.0分）
608,1.0分
609,窗体顶端
610,A、
611,独体单音
612,B、
613,单音四声
614,C、
615,破音字
616,D、
617,以上都是
618,窗体底端
619,我的答案：D
620,45
621,词句“小楼昨夜又东风”中“东风”呼应的是“春花秋月何时了，往事知多少”中的（）。（1.0分）
622,0.0分
623,窗体顶端
624,A、
625,秋月
626,B、
627,往事
628,C、
629,秋月和春花
630,D、
631,春花
632,窗体底端
633,我的答案：B
634,46
635,《长门赋》最早见于南朝文人编著的（）。（1.0分）
636,1.0分
637,窗体顶端
638,A、
639,《文心雕龙》
640,B、
641,《诗品》
642,C、
643,《昭明文选》
644,D、
645,《文赋》
646,窗体底端
647,我的答案：C
648,47
649,对石声汉描述不准确的一项是（）。（1.0分）
650,1.0分
651,窗体顶端
652,A、
653,是农业教育家和植物生理学家专家
654,B、
655,晚年完成《齐民要术今释》等著作
656,C、
657,去世于文化大革命结束的那一年
658,D、
659,是中国农史学科重要奠基人之一
660,窗体底端
661,我的答案：C
662,48
663,关于周邦彦的词，评论不正确的是（）。（1.0分）
664,1.0分
665,窗体顶端
666,A、
667,声音拗折
668,B、
669,前后句子好像不相干
670,C、
671,有出人意表之妙处
672,D、
673,直抒胸臆
674,窗体底端
675,我的答案：D
676,49
677,关于苏轼的《八声甘州·寄参寥子》，说法不正确的是（）。（1.0分）
678,0.0分
679,窗体顶端
680,A、
681,是一篇抒情写志的作品
682,B、
683,作品具有词的美感
684,C、
685,上片体现了婉约低回的情致
686,D、
687,是一首诗化的词
688,窗体底端
689,我的答案：D
690,50
691,张惠言认为欧阳修《蝶恋花·庭院深深深几许》是一首描写（）的词。（1.0分）
692,1.0分
693,窗体顶端
694,A、
695,山川
696,B、
697,怨别
698,C、
699,当时的党争
700,D、
701,闺中思妇
702,窗体底端
703,我的答案：C
