,题目
0,
1,
2,
3,一、 单选题（题数：50，共 50.0 分）
4,"1我们中国既是一个陆地型大国,同时也是一个()型的大国。（1.0分）1.0 分"
5,A、
6,陆地
7,B、
8,高原
9,C、
10,平原
11,D、
12,海洋
13,正确答案： D 我的答案：D
14,"2当前美国将继续利用台湾问题,西藏人权等问题,对我国进行牵制。不断加大对我国实施西化、分化战略的力度,加紧策划所谓的颜色()。（1.0分）1.0 分"
15,A、
16,革命
17,B、
18,生命
19,C、
20,调料
21,D、
22,亮度
23,正确答案： A 我的答案：A
24,"32009年国庆60周年大阅兵武器装备方队30个,空中梯队12个,全部是()新型装备,数量规模质量水平和信息化程度都达到世界一流水平。（1.0分）1.0 分"
25,A、
26,缴获
27,B、
28,国产
29,C、
30,购买
31,D、
32,援助
33,正确答案： B 我的答案：B
34,"4军事高技术是高技术的重要组成,军事高技术它具有高技术的一切特征,但同时它又具有()的特点。（1.0分）1.0 分"
35,A、
36,重要
37,B、
38,特殊
39,C、
40,自身
41,D、
42,复杂
43,正确答案： C 我的答案：C
44,"5跨入新世纪,世界军事革命迅猛发展,各个国家的()现代化建设进入到了一个全新的重要的发展时期。以信息技术为龙头的高新技术,正在以日新月异的蓬勃速度发展。（1.0分）1.0 分"
45,A、
46,军事
47,B、
48,经济
49,C、
50,文化
51,D、
52,体育
53,正确答案： A 我的答案：A
54,6保卫国家领土不受侵犯必须不断()国防力量;（1.0分）1.0 分
55,A、
56,简化
57,B、
58,加强
59,C、
60,淡化
61,D、
62,减少
63,正确答案： B 我的答案：B
64,"7我们对战争的分类,历史的看有冷兵器战争、有热兵器战争、还有()战争和信息化战争。（1.0分）1.0 分"
65,A、
66,机械化
67,B、
68,农业化
69,C、
70,工业化
71,D、
72,兵器化
73,正确答案： A 我的答案：A
74,"8习主席强调:牢牢把握党在新形势下的强军目标,全面加强军队的革命化、()化、正规化建设,为建设一支听党指挥、能打胜仗、作风优良的人民军队而奋斗。（1.0分）1.0 分"
75,A、
76,理想
77,B、
78,伟大
79,C、
80,情感
81,D、
82,现代
83,正确答案： D 我的答案：D
84,"9据资料记载,从1840年到1949年,列强从海上入侵我国就达()次之多。（1.0分）1.0 分"
85,A、
86,470
87,B、
88,500
89,C、
90,600
91,D、
92,700
93,正确答案： A 我的答案：A
94,"10纳米的防弹衣服不仅轻,而且()性能非常好。（1.0分）1.0 分"
95,A、
96,弹力
97,B、
98,防弹
99,C、
100,强度
101,D、
102,柔润
103,正确答案： B 我的答案：B
104,11近代以来()是西方列强中侵害中国最严重的一个国家。（1.0分）1.0 分
105,A、
106,法国
107,B、
108,德国
109,C、
110,美国
111,D、
112,日本
113,正确答案： D 我的答案：D
114,"12毛泽东指出:我们将不但有一个强大的陆军,而且要有一个强大的空军和强大的()。（1.0分）1.0 分"
115,A、
116,火箭军
117,B、
118,陆军
119,C、
