,题目
0,
1,创业人生考试满分答案
2,一、单选题 （题数：40，共 40.0 分）
3,1该门课程中谈的创业是指()。（1.0分）1.0 分
4,A、创立基业
5,B、创立事业
6,C、创立企业
7,D、创立公司
8,正确答案： C 我的答案：C
9,"2政府曾规定各种公益组织委托社会组织来做的时候,有()是管理费。（1.0分）1.0 分"
10,A、0.5
11,B、0.2
12,C、0.1
13,D、0.05
14,正确答案： C 我的答案：C
15,"3下列选项中,影响创业环境的因素不包括()。（1.0分）1.0 分"
16,A、市场
17,B、心态
18,C、行业
19,D、政策
20,正确答案： B 我的答案：B
21,4下列营销建议错误的是()。（1.0分）1.0 分
22,"A、真正走到消费者当中去,而不是自我陶醉"
23,"B、抓住消费者的痛点,把握市场机会"
24,C、追热点不要超过品牌底线
25,D、尽可能抓住机会攻击竞争对手
26,正确答案： D 我的答案：D
27,"5关于公益创业,下列选项错误的是()。（1.0分）1.0 分"
28,A、始终清晰自己的定位
29,B、始终选择适宜的生存方式
30,C、始终关注所有伙伴的福祉
31,D、始终以盈利为目的
32,正确答案： D 我的答案：D
33,"6对创业者来说,()是创业的动力。（1.0分）1.0 分"
34,A、学历
35,B、人脉
36,C、信心
37,D、市场
38,正确答案： C 我的答案：C
39,7以下()不属于投资创业公司的理想退出方式。（1.0分）1.0 分
40,A、被收购
41,B、上市
42,C、团队回购
43,D、股份分红
44,正确答案： D 我的答案：D
45,"8做企业,最重要的是一颗安静的心。这句话出自()。（1.0分）1.0 分"
46,A、刘强东
47,B、俞敏洪
48,C、马云
49,D、乔布斯
50,正确答案： C 我的答案：C
51,9冷门行业创业有何优势?()（1.0分）1.0 分
52,A、熟悉市场和技术
53,B、小区域垄断
54,C、拥有知识和技术
55,D、小行业垄断
56,正确答案： D 我的答案：D
57,10贯穿整个创业过程的支柱是()。（1.0分）1.0 分
58,A、创业精神
59,B、行业背景
60,C、众多人脉
61,D、市场潜力
62,正确答案： A 我的答案：A
63,11“足记”是用()语言记录生活的图片社交APP。（1.0分）1.0 分
64,A、表情
65,B、图片
66,C、数字
67,D、电影
68,正确答案： D 我的答案：D
69,12电子商务的要素不包括()。（1.0分）1.0 分
70,A、商城
71,B、消费者
72,C、产品
73,D、品牌
74,正确答案： D 我的答案：D
75,"13关于互联网产品设计,下列观点错误的是()。（1.0分）1.0 分"
76,A、要在某一个点上打动用户
77,"B、要持续改进,完善用户体验"
78,"C、要持续运营,积极管理维护"
79,D、要创意胜于一切
80,正确答案： D 我的答案：D
81,14以下对“天助自助者”解释正确的是()。（1.0分）1.0 分
82,A、上天总会帮助勤奋的人
83,B、上天的帮助其实就是自己帮助自己
84,"C、回归本心、回归本元,把自己能干的事情做到最好"
85,D、即使在逆境中也应该保持良好的心态
86,正确答案： C 我的答案：C
87,15创业的三个阶段不包括()。（1.0分）1.0 分
88,A、初创阶段把想法变成产品
89,B、优化和扩张阶段对正确的产品形态进行重点投入
90,C、沉潜阶段产品核心价值的验证
91,D、全面扩张阶段爆发式增长
92,正确答案： C 我的答案：C
93,16作为一个企业家应具备的素质之一“要小吏的办事能力”是指()。（1.0分）1.0 分
94,A、看透创业方向
95,"B、人要正直,没有邪恶之心"
96,C、人情练达、世事洞明
97,D、体质好
98,正确答案： C 我的答案：C
99,17中国互联网的第一次大喷发是在()。（1.0分）1.0 分
100,A、1999年
101,B、2000年
102,C、2003年
103,D、2005年
104,正确答案： B 我的答案：B
105,18O2O指的是什么?()（1.0分）1.0 分
106,A、企业对企业之间的营销关系
107,B、线上线下的商务机会
108,C、商业零售
109,D、个人与个人之间的电子商务
110,正确答案： B 我的答案：B
111,"19根据《汉书》记载,经营贸易发展生产的商祖是()。（1.0分）1.0 分"
112,A、范蠡
113,B、白圭
114,C、商鞅
115,D、张仪
116,正确答案： B 我的答案：B
117,"20关于创业心态,下列选项错误的是()。（1.0分）1.0 分"
118,A、认清自己是否适合创业
119,B、对自身进行冷静理性的评估
120,C、倾家荡产也要创业
121,D、对心态、性格、志趣、能力等方面要有超强的准备和训练
122,正确答案： C 我的答案：C
123,21创业者所说的VC资金指的是()。（1.0分）1.0 分
124,A、融资
125,B、天使投资
126,C、私募股权投资
127,D、风险投资
128,正确答案： D 我的答案：D
129,"22关于创业,下列观点错误的是()。（1.0分）1.0 分"
130,A、自己喜欢是创业的内在动力。
131,B、创业是实现自我价值的一种方式。
132,C、创业需要承担一定的风险。
