,题目
0,1
1,运营考量_____，战略考量____
2,1.2 分
3,窗体顶端
4,·        A、
5,效率，差异
6,·         
7,·        B、
8,成本，效率
9,·         
10,·        C、
11,成本，差异
12,·         
13,·        D、
14,差异，效率
15,·         
16,窗体底端
17,正确答案： A 我的答案：A
18,2
19,家电业的长虹、春兰、小天鹅、容声兴衰的例子说明？
20,1.2 分
21,窗体顶端
22,·        A、
23,市场竞争的残酷性
24,·         
25,·        B、
26,产品创新的重要性
27,·         
28,·        C、
29,单一品牌多品类衍生策略的错误性
30,·         
31,·        D、
32,市场创新的重要性
33,·         
34,窗体底端
35,正确答案： C 我的答案：C
36,3
37,战术差异可以放大竞争优势，战略差异足以创造新品类，所以什么才是品类创新的基点？
38,1.2 分
39,窗体顶端
40,·        A、
41,客户市场容量需求差异
42,·         
43,·        B、
44,市场容量
45,·         
46,·        C、
47,需求
48,·         
49,·        D、
50,差异
51,·         
52,窗体底端
53,正确答案： D 我的答案：D
54,4
55,渠道扩张的手法？
56,0.0 分
57,窗体顶端
58,·        A、
59,招商
60,·         
61,·        B、
62,分销
63,·         
64,·        C、
65,众筹
66,·         
67,·        D、
68,全选
69,·         
70,窗体底端
71,正确答案： D 我的答案：C
72,5
73,以下哪个不是美国西南航空公司采取的策略？
74,1.2 分
75,窗体顶端
76,·        A、
77,不提供行李托运
78,·         
79,·        B、
80,降低安检级别
81,·         
82,·        C、
83,廉价航空机票
84,·         
85,·        D、
86,不提供餐饮
87,·         
88,窗体底端
89,正确答案： B 我的答案：B
90,6
91,认知心理学的先驱，乔治· 米勒 GeorgeArmitage Mille发现人的心智极其有限，只 能记忆有限的信息，人们通常把信息进行分类存储，每个类别通常不能记忆几个以上的信息？ 
92,1.2 分
93,窗体顶端
94,·        A、
95,10
96,·         
97,·        B、
98,7
99,·         
100,·        C、
101,6
102,·         
103,·        D、
104,3
105,·         
106,窗体底端
107,正确答案： B 我的答案：B
108,7
109,防御战原则是什么？
110,1.2 分
111,窗体顶端
112,·        A、
113,只有市场领导者才能打防御战
114,·         
115,·        B、
116,最佳的防御就是有勇气攻击自己
117,·         
118,·        C、
119,强大进攻必须加以封锁
120,·         
121,·        D、
122,全选
123,·         
124,窗体底端
125,正确答案： D 我的答案：D
126,8
127,OPPO 充电5分钟 通话两小时广告表达的产品核心定位是？
128,1.2 分
129,窗体顶端
130,·        A、
131,定位白领
132,·         
133,·        B、
134,最快的充电能力
135,·         
136,·        C、
137,价格便宜
138,·         
139,·        D、
140,蓄电能力强
141,·         
142,窗体底端
143,正确答案： B 我的答案：B
144,9
145,提到定位理论不得不提的最著名的理论创建者们是？
146,1.2 分
147,窗体顶端
148,·        A、
149,特劳特
150,·         
151,·        B、
152,里斯
153,·         
154,·        C、
155,波特
156,·         
157,·        D、
158,全选
159,·         
160,窗体底端
161,正确答案： D 我的答案：D
162,10
163,传统媒体包括什么?
164,1.2 分
165,窗体顶端
166,·        A、
167,电视
168,·         
169,·        B、
170,报刊
171,·         
172,·        C、
173,广播
174,·         
175,·        D、
176,全选
177,·         
178,窗体底端
179,正确答案： D 我的答案：D
180,11
181,回看50年的中国商业历史，40年前最初依靠什么就能胜出？
182,1.2 分
183,窗体顶端
184,·        A、
185,渠道
186,·         
187,·        B、
188,定位
189,·         
190,·        C、
191,强用户关系
192,·         
193,·        D、
194,产品
195,·         
196,窗体底端
197,正确答案： D 我的答案：D
198,12
199,竞争中突围的两种关键形式？
200,1.2 分
201,窗体顶端
202,·        A、
203,穿越和进化
204,·         
205,·        B、
206,穿越和结盟
207,·         
208,·        C、
209,进化和多样化
210,·         
211,·        D、
212,竞争和进化
213,·         
214,窗体底端
215,正确答案： A 我的答案：A
216,13
217,商业中的“物种”泛定义为？
218,1.2 分
219,窗体顶端
220,·        A、
221,产品
222,·         
223,·        B、
224,品牌
225,·         
226,·        C、
227,商品
228,·         
229,·        D、
230,品类
231,·         
232,窗体底端
233,正确答案： D 我的答案：D
234,14
235,游击战原则？
236,1.2 分
237,窗体顶端
238,·        A、
239,找到一块小得足以守得住的阵地
240,·         
241,·        B、
242,无论多么成功，绝不能像领导者那样行动
243,·         
244,·        C、
